d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,coordinates of geographic center,population
199,28111,MS,Perry County,3,2599,Point(-89.6678 32.7364),2992333
200,51169,VA,Scott County,3,4103,Point(-78.8537 37.5215),8382993
201,26003,MI,Alger County,9,1140,Point(-85.4102 44.3467),9922576
202,42063,PA,Indiana County,4,16198,Point(-77.7996 40.8781),12802503
203,37137,NC,Pamlico County,9,2230,Point(-79.5 35.5),10042802
204,37133,NC,Onslow County,3,23670,Point(-79.5 35.5),10042802
205,20091,KS,Johnson County,1,32380,Point(-98.3804 38.4937),2911641
206,39101,OH,Marion County,4,8673,Point(-82.7937 40.2862),11613423
207,12107,FL,Putnam County,4,15220,Point(-82.4497 28.6305),20271272
208,28159,MS,Winston County,7,4070,Point(-89.6678 32.7364),2992333
209,8029,CO,Delta County,6,5300,Point(-105.5478 38.9972),5456574
210,55111,WI,Sauk County,4,6381,Point(-89.9941 44.6243),5771337
211,18111,IN,Newton County,1,1666,Point(-86.2816 39.8942),6619680
212,12037,FL,Franklin County,6,2337,Point(-82.4497 28.6305),20271272
213,27117,MN,Pipestone County,6,975,Point(-94.3053 46.2807),5489594
214,19045,IA,Clinton County,4,6272,Point(-93.496 42.0751),3046355
215,37055,NC,Dare County,5,3909,Point(-79.5 35.5),10042802
216,37099,NC,Jackson County,6,8051,Point(-79.5 35.5),10042802
217,36103,NY,Suffolk County,1,111341,Point(-75.5268 42.9538),19795791
218,16039,ID,Elmore County,4,3531,Point(-114.613 44.3509),1654930
219,30033,MT,Garfield County,9,181,Point(-109.6333 47.0527),1032949
220,5137,AR,Stone County,9,2697,Point(-92.4426 34.8938),2978204
221,51009,VA,Amherst County,3,4340,Point(-78.8537 37.5215),8382993
222,41069,OR,Wheeler County,9,258,Point(-120.5583 43.9336),4028977
223,5029,AR,Conway County,6,3903,Point(-92.4426 34.8938),2978204
224,17097,IL,Lake County,1,59478,Point(-89.1965 40.0417),12859995
225,51125,VA,Nelson County,3,1865,Point(-78.8537 37.5215),8382993
226,48477,TX,Washington County,6,4641,Point(-99.3312 31.4757),27469114
227,53027,WA,Grays Harbor County,4,10437,Point(-120.4472 47.3826),7170351
228,35037,NM,Quay County,7,2044,Point(-106.1126 34.4071),2085109
229,48451,TX,Tom Green County,3,15144,Point(-99.3312 31.4757),27469114
230,42061,PA,Huntingdon County,6,5522,Point(-77.7996 40.8781),12802503
231,47123,TN,Monroe County,6,8753,Point(-86.3505 35.858),6600299
232,27037,MN,Dakota County,1,23278,Point(-94.3053 46.2807),5489594
233,36049,NY,Lewis County,6,4191,Point(-75.5268 42.9538),19795791
234,6015,CA,Del Norte County,7,5842,Point(-119.4696 37.1841),39144818
235,8119,CO,Teller County,2,2278,Point(-105.5478 38.9972),5456574
236,29149,MO,Oregon County,9,2640,Point(-92.458 38.3566),6083672
237,29161,MO,Phelps County,5,8126,Point(-92.458 38.3566),6083672
238,31181,NE,Webster County,9,447,Point(-99.7951 41.5378),1896190
239,8033,CO,Dolores County,9,271,Point(-105.5478 38.9972),5456574
240,13011,GA,Banks County,8,2845,Point(-83.437611111 32.662027777),10214860
241,55019,WI,Clark County,8,4676,Point(-89.9941 44.6243),5771337
242,18005,IN,Bartholomew County,3,9336,Point(-86.2816 39.8942),6619680
243,17033,IL,Crawford County,6,2571,Point(-89.1965 40.0417),12859995
244,24037,MD,St. Mary's County,4,9977,Point(-76.7909 39.055),6006401
245,31023,NE,Butler County,6,702,Point(-99.7951 41.5378),1896190
246,16025,ID,Camas County,9,106,Point(-114.613 44.3509),1654930
247,38063,ND,Nelson County,8,333,Point(-100.4659 47.4501),756927
248,37015,NC,Bertie County,9,4438,Point(-79.5 35.5),10042802
249,8014,CO,Broomfield County,1,3518,Point(-105.5478 38.9972),5456574
250,56027,WY,Niobrara County,9,318,Point(-107.5512 42.9957),586107
251,17163,IL,St. Clair County,1,39745,Point(-89.1965 40.0417),12859995
252,28121,MS,Rankin County,2,13745,Point(-89.6678 32.7364),2992333
253,36085,NY,Richmond County,1,62030,Point(-75.5268 42.9538),19795791
254,51185,VA,Tazewell County,7,7281,Point(-78.8537 37.5215),8382993
255,37167,NC,Stanly County,6,7733,Point(-79.5 35.5),10042802
256,20165,KS,Rush County,9,360,Point(-98.3804 38.4937),2911641
257,20043,KS,Doniphan County,3,989,Point(-98.3804 38.4937),2911641
258,54071,WV,Pendleton County,8,1126,Point(-80.6227 38.6409),1844128
259,55097,WI,Portage County,4,7684,Point(-89.9941 44.6243),5771337
260,19031,IA,Cedar County,6,1207,Point(-93.496 42.0751),3046355
261,48251,TX,Johnson County,1,18049,Point(-99.3312 31.4757),27469114
262,49009,UT,Daggett County,8,84,Point(-111.6703 39.3055),2763885
263,28007,MS,Attala County,6,4428,Point(-89.6678 32.7364),2992333
264,55027,WI,Dodge County,4,8012,Point(-89.9941 44.6243),5771337
265,28005,MS,Amite County,8,2951,Point(-89.6678 32.7364),2992333
266,47107,TN,McMinn County,4,8740,Point(-86.3505 35.858),6600299
267,19153,IA,Polk County,2,50628,Point(-93.496 42.0751),3046355
268,31169,NE,Thayer County,9,551,Point(-99.7951 41.5378),1896190
269,21215,KY,Spencer County,1,1601,Point(-85.3021 37.5347),4425092
270,5139,AR,Union County,5,7603,Point(-92.4426 34.8938),2978204
271,54049,WV,Marion County,4,9690,Point(-80.6227 38.6409),1844128
272,8099,CO,Prowers County,7,2421,Point(-105.5478 38.9972),5456574
273,13125,GA,Glascock County,9,539,Point(-83.437611111 32.662027777),10214860
274,21033,KY,Caldwell County,6,2523,Point(-85.3021 37.5347),4425092
275,31025,NE,Cass County,2,1920,Point(-99.7951 41.5378),1896190
276,20111,KS,Lyon County,5,5212,Point(-98.3804 38.4937),2911641
277,29171,MO,Putnam County,9,837,Point(-92.458 38.3566),6083672
278,19069,IA,Franklin County,7,1157,Point(-93.496 42.0751),3046355
279,8103,CO,Rio Blanco County,9,591,Point(-105.5478 38.9972),5456574
280,21195,KY,Pike County,7,18486,Point(-85.3021 37.5347),4425092
281,29071,MO,Franklin County,1,10901,Point(-92.458 38.3566),6083672
282,16067,ID,Minidoka County,7,3243,Point(-114.613 44.3509),1654930
283,17065,IL,Hamilton County,7,1144,Point(-89.1965 40.0417),12859995
284,20061,KS,Geary County,5,4031,Point(-98.3804 38.4937),2911641
285,31017,NE,Brown County,9,401,Point(-99.7951 41.5378),1896190
286,39157,OH,Tuscarawas County,4,11525,Point(-82.7937 40.2862),11613423
287,39033,OH,Crawford County,4,5753,Point(-82.7937 40.2862),11613423
288,26141,MI,Presque Isle County,7,1852,Point(-85.4102 44.3467),9922576
289,54077,WV,Preston County,3,5455,Point(-80.6227 38.6409),1844128
290,26033,MI,Chippewa County,5,5278,Point(-85.4102 44.3467),9922576
291,51680,VA,Lynchburg city,3,12336,Point(-78.8537 37.5215),8382993
292,8053,CO,Hinsdale County,9,77,Point(-105.5478 38.9972),5456574
293,6031,CA,Kings County,3,23247,Point(-119.4696 37.1841),39144818
294,46129,SD,Walworth County,7,810,,1394928
295,2261,AK,Valdez-Cordova Census Area,9,852,Point(-152.2782 64.0685),738432
296,39113,OH,Montgomery County,2,93949,Point(-82.7937 40.2862),11613423
297,42029,PA,Chester County,1,35349,Point(-77.7996 40.8781),12802503
298,21115,KY,Johnson County,7,5814,Point(-85.3021 37.5347),4425092
299,39093,OH,Lorain County,1,36828,Point(-82.7937 40.2862),11613423
300,21207,KY,Russell County,9,4361,Point(-85.3021 37.5347),4425092
301,54001,WV,Barbour County,7,3514,Point(-80.6227 38.6409),1844128
302,51019,VA,Bedford County,3,7445,Point(-78.8537 37.5215),8382993
303,36123,NY,Yates County,6,3340,Point(-75.5268 42.9538),19795791
304,51027,VA,Buchanan County,9,5274,Point(-78.8537 37.5215),8382993
305,39099,OH,Mahoning County,2,41625,Point(-82.7937 40.2862),11613423
306,1051,AL,Elmore County,2,10316,Point(-86.8287 32.7794),4858979
307,28049,MS,Hinds County,2,48244,Point(-89.6678 32.7364),2992333
308,55125,WI,Vilas County,9,2676,Point(-89.9941 44.6243),5771337
309,46101,SD,Moody County,8,676,,1394928
310,13071,GA,Colquitt County,6,11252,Point(-83.437611111 32.662027777),10214860
311,19013,IA,Black Hawk County,3,20556,Point(-93.496 42.0751),3046355
312,53001,WA,Adams County,6,3710,Point(-120.4472 47.3826),7170351
313,13117,GA,Forsyth County,1,12468,Point(-83.437611111 32.662027777),10214860
314,48137,TX,Edwards County,9,443,Point(-99.3312 31.4757),27469114
315,53017,WA,Douglas County,3,5260,Point(-120.4472 47.3826),7170351
316,46083,SD,Lincoln County,3,2007,,1394928
317,48077,TX,Clay County,3,1345,Point(-99.3312 31.4757),27469114
318,45083,SC,Spartanburg County,2,45637,Point(-80.8964 33.9169),4896146
319,2013,AK,Aleutians East Borough,9,487,Point(-152.2782 64.0685),738432
320,53009,WA,Clallam County,5,11110,Point(-120.4472 47.3826),7170351
321,17193,IL,White County,6,2246,Point(-89.1965 40.0417),12859995
322,18009,IN,Blackford County,6,1530,Point(-86.2816 39.8942),6619680
323,1063,AL,Greene County,3,2845,Point(-86.8287 32.7794),4858979
324,48195,TX,Hansford County,7,730,Point(-99.3312 31.4757),27469114
325,26009,MI,Antrim County,9,2686,Point(-85.4102 44.3467),9922576
326,48331,TX,Milam County,6,3959,Point(-99.3312 31.4757),27469114
327,22053,LA,Jefferson Davis Parish,6,5933,,3976322
328,47187,TN,Williamson County,1,11292,Point(-86.3505 35.858),6600299
329,13197,GA,Marion County,2,1975,Point(-83.437611111 32.662027777),10214860
330,51159,VA,Richmond County,9,1399,Point(-78.8537 37.5215),8382993
331,51193,VA,Westmoreland County,7,2581,Point(-78.8537 37.5215),8382993
332,37105,NC,Lee County,4,9869,Point(-79.5 35.5),10042802
333,47133,TN,Overton County,7,4066,Point(-86.3505 35.858),6600299
334,5121,AR,Randolph County,7,3229,Point(-92.4426 34.8938),2978204
335,5037,AR,Cross County,6,3252,Point(-92.4426 34.8938),2978204
336,48131,TX,Duval County,7,2857,Point(-99.3312 31.4757),27469114
337,38015,ND,Burleigh County,3,6505,Point(-100.4659 47.4501),756927
338,12065,FL,Jefferson County,2,2398,Point(-82.4497 28.6305),20271272
339,40105,OK,Nowata County,6,1776,Point(-97.4943 35.5889),3911338
340,13103,GA,Effingham County,2,5949,Point(-83.437611111 32.662027777),10214860
341,16047,ID,Gooding County,7,2083,Point(-114.613 44.3509),1654930
342,27089,MN,Marshall County,8,903,Point(-94.3053 46.2807),5489594
343,48371,TX,Pecos County,7,2376,Point(-99.3312 31.4757),27469114
344,48411,TX,San Saba County,7,1062,Point(-99.3312 31.4757),27469114
345,22043,LA,Grant Parish,3,4160,,3976322
346,36037,NY,Genesee County,4,6475,Point(-75.5268 42.9538),19795791
347,46123,SD,Tripp County,7,928,,1394928
348,18001,IN,Adams County,6,5271,Point(-86.2816 39.8942),6619680
349,18163,IN,Vanderburgh County,2,30462,Point(-86.2816 39.8942),6619680
350,49001,UT,Beaver County,9,572,Point(-111.6703 39.3055),2763885
351,48155,TX,Foard County,9,207,Point(-99.3312 31.4757),27469114
352,5141,AR,Van Buren County,8,2737,Point(-92.4426 34.8938),2978204
353,54057,WV,Mineral County,3,4156,Point(-80.6227 38.6409),1844128
354,21149,KY,McLean County,3,1619,Point(-85.3021 37.5347),4425092
355,18029,IN,Dearborn County,1,3988,Point(-86.2816 39.8942),6619680
356,26073,MI,Isabella County,5,15118,Point(-85.4102 44.3467),9922576
357,47111,TN,Macon County,1,4117,Point(-86.3505 35.858),6600299
358,24025,MD,Harford County,1,17769,Point(-76.7909 39.055),6006401
359,26039,MI,Crawford County,7,2892,Point(-85.4102 44.3467),9922576
360,48467,TX,Van Zandt County,6,7921,Point(-99.3312 31.4757),27469114
361,2158,AK,Kusilvak Census Area,9,3033,Point(-152.2782 64.0685),738432
362,51063,VA,Floyd County,8,2129,Point(-78.8537 37.5215),8382993
363,29229,MO,Wright County,6,4355,Point(-92.458 38.3566),6083672
364,39095,OH,Lucas County,2,83600,Point(-82.7937 40.2862),11613423
365,39035,OH,Cuyahoga County,1,223636,Point(-82.7937 40.2862),11613423
366,17179,IL,Tazewell County,2,11526,Point(-89.1965 40.0417),12859995
367,18131,IN,Pulaski County,6,1435,Point(-86.2816 39.8942),6619680
368,40141,OK,Tillman County,6,1689,Point(-97.4943 35.5889),3911338
369,28135,MS,Tallahatchie County,7,4430,Point(-89.6678 32.7364),2992333
370,51115,VA,Mathews County,1,880,Point(-78.8537 37.5215),8382993
371,12111,FL,St. Lucie County,2,51657,Point(-82.4497 28.6305),20271272
372,30059,MT,Meagher County,9,322,Point(-109.6333 47.0527),1032949
373,41053,OR,Polk County,2,9681,Point(-120.5583 43.9336),4028977
374,38053,ND,McKenzie County,9,981,Point(-100.4659 47.4501),756927
375,34017,NJ,Hudson County,1,104660,Point(-74.6728 40.1907),8958013
376,48269,TX,King County,9,31,Point(-99.3312 31.4757),27469114
377,37065,NC,Edgecombe County,3,12514,Point(-79.5 35.5),10042802
378,18091,IN,La Porte County,3,16218,Point(-86.2816 39.8942),6619680
379,28085,MS,Lincoln County,6,6763,Point(-89.6678 32.7364),2992333
