d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,capital
80,22057,LA,Lafourche Parish,3,16447,
81,19053,IA,Decatur County,9,1469,Des Moines
82,13195,GA,Madison County,3,4255,Atlanta
83,51097,VA,King and Queen County,1,960,Richmond
84,28033,MS,DeSoto County,1,17819,Jackson
85,21239,KY,Woodford County,2,3099,Frankfort
86,27141,MN,Sherburne County,1,5703,Saint Paul
87,5067,AR,Jackson County,6,3587,Little Rock
88,45065,SC,McCormick County,8,1538,Columbia
89,31015,NE,Boyd County,9,283,Lincoln
90,38071,ND,Ramsey County,7,1556,Bismarck
91,55049,WI,Iowa County,2,2063,Madison
92,13263,GA,Talbot County,8,1447,Atlanta
93,26013,MI,Baraga County,9,1235,Lansing
94,12059,FL,Holmes County,6,4276,Tallahassee
95,21063,KY,Elliott County,9,1998,Frankfort
96,42099,PA,Perry County,2,4082,Harrisburg
97,54103,WV,Wetzel County,6,3023,Charleston
98,26087,MI,Lapeer County,1,9324,Lansing
99,6045,CA,Mendocino County,4,16366,Sacramento
100,19113,IA,Linn County,3,21613,Des Moines
101,54091,WV,Taylor County,6,2678,Charleston
102,31045,NE,Dawes County,7,1366,Lincoln
103,40065,OK,Jackson County,5,4756,Oklahoma City
104,13181,GA,Lincoln County,8,1479,Atlanta
105,48167,TX,Galveston County,1,41747,Austin
106,38007,ND,Billings County,9,83,Bismarck
107,36091,NY,Saratoga County,2,14094,Albany
108,1103,AL,Morgan County,3,18457,Montgomery
109,46053,SD,Gregory County,9,655,
110,1127,AL,Walker County,1,13097,Montgomery
111,27131,MN,Rice County,4,5673,Saint Paul
112,28035,MS,Forrest County,3,18514,Jackson
113,33015,NH,Rockingham County,1,12681,Concord
114,25005,MA,Bristol County,1,58070,Boston
115,48267,TX,Kimble County,7,848,Austin
116,13211,GA,Morgan County,6,2358,Atlanta
117,1105,AL,Perry County,8,3066,Montgomery
118,27053,MN,Hennepin County,1,132137,Saint Paul
119,8035,CO,Douglas County,1,11114,Denver
120,42039,PA,Crawford County,4,11832,Harrisburg
121,45069,SC,Marlboro County,6,6743,Columbia
122,48299,TX,Llano County,7,2701,Austin
123,53051,WA,Pend Oreille County,8,2103,Olympia
124,48487,TX,Wilbarger County,6,1981,Austin
125,37191,NC,Wayne County,3,24889,Raleigh
126,51199,VA,York County,1,3417,Richmond
127,27085,MN,McLeod County,6,2613,Saint Paul
128,48335,TX,Mitchell County,7,1473,Austin
129,2050,AK,Bethel Census Area,7,4502,Juneau
130,48291,TX,Liberty County,1,12164,Austin
131,28125,MS,Sharkey County,9,1567,Jackson
132,6067,CA,Sacramento County,1,243760,Sacramento
133,51031,VA,Campbell County,3,7220,Richmond
134,31053,NE,Dodge County,4,4131,Lincoln
135,48389,TX,Reeves County,7,2943,Austin
136,47103,TN,Lincoln County,6,5546,Nashville
137,40019,OK,Carter County,5,7799,Oklahoma City
138,39085,OH,Lake County,1,19364,Columbus
139,51195,VA,Wise County,7,8525,Richmond
140,47077,TN,Henderson County,6,4777,Nashville
141,31141,NE,Platte County,5,2920,Lincoln
142,6061,CA,Placer County,1,27340,Sacramento
143,13165,GA,Jenkins County,6,2606,Atlanta
144,49049,UT,Utah County,2,66112,Salt Lake City
145,28161,MS,Yalobusha County,7,2812,Jackson
146,34005,NJ,Burlington County,1,27083,Trenton
147,17019,IL,Champaign County,3,36364,Springfield
148,13061,GA,Clay County,9,1040,Atlanta
149,37053,NC,Currituck County,1,2616,Raleigh
150,17011,IL,Bureau County,6,3775,Springfield
151,31109,NE,Lancaster County,2,35993,Lincoln
152,39141,OH,Ross County,4,13224,Columbus
153,37107,NC,Lenoir County,4,11637,Raleigh
154,30019,MT,Daniels County,9,176,Helena
155,2110,AK,Juneau Borough,5,2334,Juneau
156,47091,TN,Johnson County,6,4038,Nashville
157,48143,TX,Erath County,7,7361,Austin
158,20161,KS,Riley County,5,11709,Topeka
159,5077,AR,Lee County,6,2701,Little Rock
160,27103,MN,Nicollet County,5,2490,Saint Paul
161,1091,AL,Marengo County,7,5003,Montgomery
162,30063,MT,Missoula County,3,17206,Helena
163,48185,TX,Grimes County,6,4124,Austin
164,47167,TN,Tipton County,1,9698,Nashville
165,26093,MI,Livingston County,1,10912,Lansing
166,48259,TX,Kendall County,1,3119,Austin
167,56039,WY,Teton County,7,1680,Cheyenne
168,5093,AR,Mississippi County,4,10307,Little Rock
169,22019,LA,Calcasieu Parish,3,39035,
170,48243,TX,Jeff Davis County,9,274,Austin
171,6027,CA,Inyo County,7,2184,Sacramento
172,48093,TX,Comanche County,7,2271,Austin
173,1001,AL,Autauga County,2,7444,Montgomery
174,19183,IA,Washington County,3,2161,Des Moines
175,8003,CO,Alamosa County,7,3816,Denver
176,31087,NE,Hitchcock County,9,360,Lincoln
177,29061,MO,Daviess County,8,1357,Jefferson City
178,26025,MI,Calhoun County,3,21973,Lansing
179,9013,CT,Tolland County,1,9786,Hartford
180,29069,MO,Dunklin County,7,8089,Jefferson City
181,24041,MD,Talbot County,6,3827,Annapolis
182,13115,GA,Floyd County,3,14596,Atlanta
183,48401,TX,Rusk County,3,7461,Austin
184,1065,AL,Hale County,3,3495,Montgomery
185,54013,WV,Calhoun County,8,1586,Charleston
186,48043,TX,Brewster County,7,1365,Austin
187,1029,AL,Cleburne County,8,2527,Montgomery
188,4005,AZ,Coconino County,3,23116,Phoenix
189,8023,CO,Costilla County,9,1128,Denver
190,6075,CA,San Francisco County,1,87690,Sacramento
191,48019,TX,Bandera County,1,3138,Austin
192,17181,IL,Union County,7,2957,Springfield
193,5087,AR,Madison County,2,2910,Little Rock
194,51133,VA,Northumberland County,9,1632,Richmond
195,8061,CO,Kiowa County,9,189,Denver
196,48165,TX,Gaines County,7,2982,Austin
197,6007,CA,Butte County,3,43428,Sacramento
198,13213,GA,Murray County,3,7055,Atlanta
199,28111,MS,Perry County,3,2599,Jackson
200,51169,VA,Scott County,3,4103,Richmond
201,26003,MI,Alger County,9,1140,Lansing
202,42063,PA,Indiana County,4,16198,Harrisburg
203,37137,NC,Pamlico County,9,2230,Raleigh
204,37133,NC,Onslow County,3,23670,Raleigh
205,20091,KS,Johnson County,1,32380,Topeka
206,39101,OH,Marion County,4,8673,Columbus
207,12107,FL,Putnam County,4,15220,Tallahassee
208,28159,MS,Winston County,7,4070,Jackson
209,8029,CO,Delta County,6,5300,Denver
210,55111,WI,Sauk County,4,6381,Madison
211,18111,IN,Newton County,1,1666,Indianapolis
212,12037,FL,Franklin County,6,2337,Tallahassee
213,27117,MN,Pipestone County,6,975,Saint Paul
214,19045,IA,Clinton County,4,6272,Des Moines
215,37055,NC,Dare County,5,3909,Raleigh
216,37099,NC,Jackson County,6,8051,Raleigh
217,36103,NY,Suffolk County,1,111341,Albany
218,16039,ID,Elmore County,4,3531,Boise
219,30033,MT,Garfield County,9,181,Helena
220,5137,AR,Stone County,9,2697,Little Rock
221,51009,VA,Amherst County,3,4340,Richmond
222,41069,OR,Wheeler County,9,258,Salem
223,5029,AR,Conway County,6,3903,Little Rock
224,17097,IL,Lake County,1,59478,Springfield
225,51125,VA,Nelson County,3,1865,Richmond
226,48477,TX,Washington County,6,4641,Austin
227,53027,WA,Grays Harbor County,4,10437,Olympia
228,35037,NM,Quay County,7,2044,Santa Fe
229,48451,TX,Tom Green County,3,15144,Austin
230,42061,PA,Huntingdon County,6,5522,Harrisburg
231,47123,TN,Monroe County,6,8753,Nashville
232,27037,MN,Dakota County,1,23278,Saint Paul
233,36049,NY,Lewis County,6,4191,Albany
234,6015,CA,Del Norte County,7,5842,Sacramento
235,8119,CO,Teller County,2,2278,Denver
236,29149,MO,Oregon County,9,2640,Jefferson City
237,29161,MO,Phelps County,5,8126,Jefferson City
238,31181,NE,Webster County,9,447,Lincoln
239,8033,CO,Dolores County,9,271,Denver
240,13011,GA,Banks County,8,2845,Atlanta
241,55019,WI,Clark County,8,4676,Madison
242,18005,IN,Bartholomew County,3,9336,Indianapolis
243,17033,IL,Crawford County,6,2571,Springfield
244,24037,MD,St. Mary's County,4,9977,Annapolis
245,31023,NE,Butler County,6,702,Lincoln
246,16025,ID,Camas County,9,106,Boise
247,38063,ND,Nelson County,8,333,Bismarck
248,37015,NC,Bertie County,9,4438,Raleigh
249,8014,CO,Broomfield County,1,3518,Denver
250,56027,WY,Niobrara County,9,318,Cheyenne
251,17163,IL,St. Clair County,1,39745,Springfield
252,28121,MS,Rankin County,2,13745,Jackson
253,36085,NY,Richmond County,1,62030,Albany
254,51185,VA,Tazewell County,7,7281,Richmond
255,37167,NC,Stanly County,6,7733,Raleigh
256,20165,KS,Rush County,9,360,Topeka
257,20043,KS,Doniphan County,3,989,Topeka
258,54071,WV,Pendleton County,8,1126,Charleston
259,55097,WI,Portage County,4,7684,Madison
260,19031,IA,Cedar County,6,1207,Des Moines
261,48251,TX,Johnson County,1,18049,Austin
262,49009,UT,Daggett County,8,84,Salt Lake City
263,28007,MS,Attala County,6,4428,Jackson
264,55027,WI,Dodge County,4,8012,Madison
265,28005,MS,Amite County,8,2951,Jackson
266,47107,TN,McMinn County,4,8740,Nashville
267,19153,IA,Polk County,2,50628,Des Moines
268,31169,NE,Thayer County,9,551,Lincoln
269,21215,KY,Spencer County,1,1601,Frankfort
270,5139,AR,Union County,5,7603,Little Rock
271,54049,WV,Marion County,4,9690,Charleston
272,8099,CO,Prowers County,7,2421,Denver
273,13125,GA,Glascock County,9,539,Atlanta
274,21033,KY,Caldwell County,6,2523,Frankfort
275,31025,NE,Cass County,2,1920,Lincoln
276,20111,KS,Lyon County,5,5212,Topeka
277,29171,MO,Putnam County,9,837,Jefferson City
278,19069,IA,Franklin County,7,1157,Des Moines
279,8103,CO,Rio Blanco County,9,591,Denver
280,21195,KY,Pike County,7,18486,Frankfort
281,29071,MO,Franklin County,1,10901,Jefferson City
282,16067,ID,Minidoka County,7,3243,Boise
283,17065,IL,Hamilton County,7,1144,Springfield
284,20061,KS,Geary County,5,4031,Topeka
285,31017,NE,Brown County,9,401,Lincoln
286,39157,OH,Tuscarawas County,4,11525,Columbus
287,39033,OH,Crawford County,4,5753,Columbus
288,26141,MI,Presque Isle County,7,1852,Lansing
289,54077,WV,Preston County,3,5455,Charleston
290,26033,MI,Chippewa County,5,5278,Lansing
291,51680,VA,Lynchburg city,3,12336,Richmond
292,8053,CO,Hinsdale County,9,77,Denver
293,6031,CA,Kings County,3,23247,Sacramento
294,46129,SD,Walworth County,7,810,
295,2261,AK,Valdez-Cordova Census Area,9,852,Juneau
296,39113,OH,Montgomery County,2,93949,Columbus
297,42029,PA,Chester County,1,35349,Harrisburg
298,21115,KY,Johnson County,7,5814,Frankfort
299,39093,OH,Lorain County,1,36828,Columbus
300,21207,KY,Russell County,9,4361,Frankfort
301,54001,WV,Barbour County,7,3514,Charleston
302,51019,VA,Bedford County,3,7445,Richmond
303,36123,NY,Yates County,6,3340,Albany
304,51027,VA,Buchanan County,9,5274,Richmond
305,39099,OH,Mahoning County,2,41625,Columbus
306,1051,AL,Elmore County,2,10316,Montgomery
307,28049,MS,Hinds County,2,48244,Jackson
308,55125,WI,Vilas County,9,2676,Madison
309,46101,SD,Moody County,8,676,
310,13071,GA,Colquitt County,6,11252,Atlanta
311,19013,IA,Black Hawk County,3,20556,Des Moines
312,53001,WA,Adams County,6,3710,Olympia
313,13117,GA,Forsyth County,1,12468,Atlanta
314,48137,TX,Edwards County,9,443,Austin
315,53017,WA,Douglas County,3,5260,Olympia
316,46083,SD,Lincoln County,3,2007,
317,48077,TX,Clay County,3,1345,Austin
318,45083,SC,Spartanburg County,2,45637,Columbia
319,2013,AK,Aleutians East Borough,9,487,Juneau
320,53009,WA,Clallam County,5,11110,Olympia
321,17193,IL,White County,6,2246,Springfield
322,18009,IN,Blackford County,6,1530,Indianapolis
323,1063,AL,Greene County,3,2845,Montgomery
324,48195,TX,Hansford County,7,730,Austin
325,26009,MI,Antrim County,9,2686,Lansing
326,48331,TX,Milam County,6,3959,Austin
327,22053,LA,Jefferson Davis Parish,6,5933,
328,47187,TN,Williamson County,1,11292,Nashville
329,13197,GA,Marion County,2,1975,Atlanta
330,51159,VA,Richmond County,9,1399,Richmond
331,51193,VA,Westmoreland County,7,2581,Richmond
332,37105,NC,Lee County,4,9869,Raleigh
333,47133,TN,Overton County,7,4066,Nashville
334,5121,AR,Randolph County,7,3229,Little Rock
335,5037,AR,Cross County,6,3252,Little Rock
336,48131,TX,Duval County,7,2857,Austin
337,38015,ND,Burleigh County,3,6505,Bismarck
338,12065,FL,Jefferson County,2,2398,Tallahassee
339,40105,OK,Nowata County,6,1776,Oklahoma City
340,13103,GA,Effingham County,2,5949,Atlanta
341,16047,ID,Gooding County,7,2083,Boise
342,27089,MN,Marshall County,8,903,Saint Paul
343,48371,TX,Pecos County,7,2376,Austin
344,48411,TX,San Saba County,7,1062,Austin
345,22043,LA,Grant Parish,3,4160,
346,36037,NY,Genesee County,4,6475,Albany
347,46123,SD,Tripp County,7,928,
348,18001,IN,Adams County,6,5271,Indianapolis
349,18163,IN,Vanderburgh County,2,30462,Indianapolis
350,49001,UT,Beaver County,9,572,Salt Lake City
351,48155,TX,Foard County,9,207,Austin
352,5141,AR,Van Buren County,8,2737,Little Rock
353,54057,WV,Mineral County,3,4156,Charleston
354,21149,KY,McLean County,3,1619,Frankfort
355,18029,IN,Dearborn County,1,3988,Indianapolis
356,26073,MI,Isabella County,5,15118,Lansing
357,47111,TN,Macon County,1,4117,Nashville
358,24025,MD,Harford County,1,17769,Annapolis
359,26039,MI,Crawford County,7,2892,Lansing
360,48467,TX,Van Zandt County,6,7921,Austin
361,2158,AK,Kusilvak Census Area,9,3033,Juneau
362,51063,VA,Floyd County,8,2129,Richmond
363,29229,MO,Wright County,6,4355,Jefferson City
364,39095,OH,Lucas County,2,83600,Columbus
365,39035,OH,Cuyahoga County,1,223636,Columbus
366,17179,IL,Tazewell County,2,11526,Springfield
367,18131,IN,Pulaski County,6,1435,Indianapolis
368,40141,OK,Tillman County,6,1689,Oklahoma City
369,28135,MS,Tallahatchie County,7,4430,Jackson
370,51115,VA,Mathews County,1,880,Richmond
371,12111,FL,St. Lucie County,2,51657,Tallahassee
372,30059,MT,Meagher County,9,322,Helena
373,41053,OR,Polk County,2,9681,Salem
374,38053,ND,McKenzie County,9,981,Bismarck
375,34017,NJ,Hudson County,1,104660,Trenton
376,48269,TX,King County,9,31,Austin
377,37065,NC,Edgecombe County,3,12514,Raleigh
378,18091,IN,La Porte County,3,16218,Indianapolis
379,28085,MS,Lincoln County,6,6763,Jackson
380,26023,MI,Branch County,6,6969,Lansing
381,17187,IL,Warren County,7,2213,Springfield
382,5071,AR,Johnson County,6,4699,Little Rock
383,31139,NE,Pierce County,9,674,Lincoln
384,50005,VT,Caledonia County,7,3929,Montpelier
385,28103,MS,Noxubee County,7,3434,Jackson
386,37063,NC,Durham County,2,47269,Raleigh
387,13231,GA,Pike County,1,2074,Atlanta
388,26017,MI,Bay County,3,15716,Lansing
389,51073,VA,Gloucester County,1,3449,Richmond
390,17131,IL,Mercer County,2,1581,Springfield
391,56023,WY,Lincoln County,7,1631,Cheyenne
392,18137,IN,Ripley County,6,3448,Indianapolis
393,48341,TX,Moore County,6,2596,Austin
394,5143,AR,Washington County,2,34567,Little Rock
395,27029,MN,Clearwater County,8,1432,Saint Paul
396,47113,TN,Madison County,3,17777,Nashville
397,29179,MO,Reynolds County,9,1397,Jefferson City
398,35033,NM,Mora County,8,1130,Santa Fe
399,46085,SD,Lyman County,9,860,
400,13099,GA,Early County,6,3210,Atlanta
401,13253,GA,Seminole County,6,1948,Atlanta
402,6005,CA,Amador County,6,3846,Sacramento
403,18147,IN,Spencer County,8,1847,Indianapolis
404,28063,MS,Jefferson County,7,2321,Jackson
405,47131,TN,Obion County,7,5604,Nashville
406,17027,IL,Clinton County,1,3330,Springfield
407,13139,GA,Hall County,3,26561,Atlanta
408,46049,SD,Faulk County,9,298,
409,38095,ND,Towner County,9,238,Bismarck
410,13085,GA,Dawson County,1,2373,Atlanta
411,46127,SD,Union County,3,981,
412,48027,TX,Bell County,2,42739,Austin
413,13305,GA,Wayne County,6,6217,Atlanta
414,13023,GA,Bleckley County,6,2514,Atlanta
415,30049,MT,Lewis and Clark County,5,6858,Helena
416,50013,VT,Grand Isle County,3,609,Montpelier
417,13153,GA,Houston County,3,22347,Atlanta
418,5113,AR,Polk County,7,4660,Little Rock
419,37147,NC,Pitt County,3,36594,Raleigh
420,29041,MO,Chariton County,9,966,Jefferson City
421,48275,TX,Knox County,9,781,Austin
422,40087,OK,McClain County,1,4137,Oklahoma City
423,29007,MO,Audrain County,6,4019,Jefferson City
424,48391,TX,Refugio County,6,1128,Austin
425,20089,KS,Jewell County,9,363,Topeka
426,45045,SC,Greenville County,2,53113,Columbia
427,17045,IL,Edgar County,6,2350,Springfield
428,21091,KY,Hancock County,3,1100,Frankfort
429,31037,NE,Colfax County,7,1005,Lincoln
430,48099,TX,Coryell County,2,8991,Austin
431,1061,AL,Geneva County,3,5495,Montgomery
432,17047,IL,Edwards County,9,715,Springfield
433,13295,GA,Walker County,2,12349,Atlanta
434,51089,VA,Henry County,4,9333,Richmond
435,32005,NV,Douglas County,4,4631,Carson City
436,5135,AR,Sharp County,7,3610,Little Rock
437,39007,OH,Ashtabula County,4,17202,Columbus
438,8113,CO,San Miguel County,9,811,Denver
439,12021,FL,Collier County,2,41076,Tallahassee
440,26117,MI,Montcalm County,6,9381,Lansing
441,40121,OK,Pittsburg County,5,6007,Oklahoma City
442,8079,CO,Mineral County,9,68,Denver
443,16075,ID,Payette County,6,3639,Boise
444,42069,PA,Lackawanna County,2,28739,Harrisburg
445,28123,MS,Scott County,6,6303,Jackson
446,29223,MO,Wayne County,9,3370,Jefferson City
447,24510,MD,Baltimore city,1,128752,Annapolis
448,31047,NE,Dawson County,7,2966,Lincoln
449,42083,PA,Mc Kean County,7,6711,Harrisburg
450,16021,ID,Boundary County,7,1973,Boise
451,29173,MO,Ralls County,9,1109,Jefferson City
452,16073,ID,Owyhee County,2,1942,Boise
453,39001,OH,Adams County,6,5543,Columbus
454,2070,AK,Dillingham Census Area,9,965,Juneau
455,15009,HI,Maui County,5,15578,Honolulu
456,1097,AL,Mobile County,2,79364,Montgomery
457,17021,IL,Christian County,6,4013,Springfield
458,30035,MT,Glacier County,7,3792,Helena
459,28099,MS,Neshoba County,7,6517,Jackson
460,37011,NC,Avery County,8,2985,Raleigh
461,27087,MN,Mahnomen County,8,941,Saint Paul
462,18073,IN,Jasper County,1,3032,Indianapolis
463,27025,MN,Chisago County,1,3554,Saint Paul
464,29185,MO,St. Clair County,8,1868,Jefferson City
465,13043,GA,Candler County,7,2647,Atlanta
466,31175,NE,Valley County,9,479,Lincoln
467,22007,LA,Assumption Parish,6,4761,
468,38061,ND,Mountrail County,9,964,Bismarck
469,18141,IN,St. Joseph County,2,41889,Indianapolis
470,26035,MI,Clare County,7,6496,Lansing
471,13243,GA,Randolph County,6,2063,Atlanta
472,20095,KS,Kingman County,6,778,Topeka
473,55099,WI,Price County,9,1482,Madison
474,20121,KS,Miami County,1,2644,Topeka
475,55015,WI,Calumet County,3,2462,Madison
476,17025,IL,Clay County,7,2085,Springfield
477,21233,KY,Webster County,2,2311,Frankfort
478,36045,NY,Jefferson County,4,16468,Albany
479,17175,IL,Stark County,2,652,Springfield
480,39065,OH,Hardin County,6,3906,Columbus
481,12019,FL,Clay County,1,19785,Tallahassee
482,22055,LA,Lafayette Parish,3,42781,
483,21213,KY,Simpson County,6,2663,Frankfort
484,35023,NM,Hidalgo County,7,1129,Santa Fe
485,31099,NE,Kearney County,7,584,Lincoln
486,51145,VA,Powhatan County,1,1779,Richmond
487,56037,WY,Sweetwater County,5,4264,Cheyenne
488,51085,VA,Hanover County,1,5900,Richmond
489,37059,NC,Davie County,2,4820,Raleigh
490,22033,LA,East Baton Rouge Parish,2,86888,
491,21155,KY,Marion County,6,3750,Frankfort
492,39153,OH,Summit County,2,72687,Columbus
493,35049,NM,Santa Fe County,3,20463,Santa Fe
494,8001,CO,Adams County,1,57811,Denver
495,42087,PA,Mifflin County,4,6711,Harrisburg
496,19059,IA,Dickinson County,7,1332,Des Moines
497,25023,MA,Plymouth County,1,39977,Boston
498,47159,TN,Smith County,1,2801,Nashville
499,31123,NE,Morrill County,9,775,Lincoln
500,26061,MI,Houghton County,5,6762,Lansing
501,42051,PA,Fayette County,1,22645,Harrisburg
502,48029,TX,Bexar County,1,306859,Austin
503,35017,NM,Grant County,7,6308,Santa Fe
504,28113,MS,Pike County,7,11649,Jackson
505,13255,GA,Spalding County,1,14243,Atlanta
506,47041,TN,DeKalb County,6,3760,Nashville
507,27105,MN,Nobles County,7,2500,Saint Paul
508,19055,IA,Delaware County,6,1626,Des Moines
509,34025,NJ,Monmouth County,1,43866,Trenton
510,41015,OR,Curry County,7,3171,Salem
511,53041,WA,Lewis County,4,11155,Olympia
512,42043,PA,Dauphin County,2,30247,Harrisburg
513,29121,MO,Macon County,7,2416,Jefferson City
514,33013,NH,Merrimack County,4,10532,Concord
515,17107,IL,Logan County,6,3450,Springfield
516,17183,IL,Vermilion County,3,15183,Springfield
517,31127,NE,Nemaha County,7,868,Lincoln
518,17015,IL,Carroll County,7,1798,Springfield
519,19163,IA,Scott County,2,22602,Des Moines
520,31049,NE,Deuel County,9,213,Lincoln
521,48145,TX,Falls County,6,3915,Austin
522,5005,AR,Baxter County,7,5144,Little Rock
523,39131,OH,Pike County,7,5660,Columbus
524,16019,ID,Bonneville County,3,13072,Boise
525,12007,FL,Bradford County,6,4392,Tallahassee
526,19115,IA,Louisa County,8,1253,Des Moines
527,21123,KY,Larue County,3,2312,Frankfort
528,21205,KY,Rowan County,7,5389,Frankfort
529,55033,WI,Dunn County,6,5164,Madison
530,16041,ID,Franklin County,3,1239,Boise
531,48465,TX,Val Verde County,5,9703,Austin
532,27061,MN,Itasca County,6,5898,Saint Paul
533,53013,WA,Columbia County,6,543,Olympia
534,38089,ND,Stark County,7,2433,Bismarck
535,21131,KY,Leslie County,9,3265,Frankfort
536,46009,SD,Bon Homme County,9,811,
537,50007,VT,Chittenden County,3,14667,Montpelier
538,30017,MT,Custer County,7,1318,Helena
539,37037,NC,Chatham County,2,8384,Raleigh
540,1113,AL,Russell County,2,11108,Montgomery
541,34021,NJ,Mercer County,2,39066,Trenton
542,48479,TX,Webb County,3,85150,Austin
543,39167,OH,Washington County,3,8100,Columbus
544,16055,ID,Kootenai County,3,22165,Boise
545,41061,OR,Union County,7,4058,Salem
546,36113,NY,Warren County,3,7479,Albany
547,18107,IN,Montgomery County,6,4157,Indianapolis
548,13311,GA,White County,8,4030,Atlanta
549,47001,TN,Anderson County,2,10753,Nashville
550,26095,MI,Luce County,7,1092,Lansing
551,19173,IA,Taylor County,9,751,Des Moines
552,51127,VA,New Kent County,1,1202,Richmond
553,54093,WV,Tucker County,9,1067,Charleston
554,40045,OK,Ellis County,9,523,Oklahoma City
555,2020,AK,Anchorage Borough,2,21108,Juneau
556,48469,TX,Victoria County,3,12900,Austin
557,31163,NE,Sherman County,9,368,Lincoln
558,13111,GA,Fannin County,8,3485,Atlanta
559,39151,OH,Stark County,2,48072,Columbus
560,35059,NM,Union County,9,705,Santa Fe
561,21025,KY,Breathitt County,7,4466,Frankfort
562,19149,IA,Plymouth County,6,2091,Des Moines
563,10005,DE,Sussex County,4,25212,Dover
564,6105,CA,Trinity County,8,2668,Sacramento
565,20125,KS,Montgomery County,5,5953,Topeka
566,26165,MI,Wexford County,7,5812,Lansing
567,20101,KS,Lane County,9,164,Topeka
568,5011,AR,Bradley County,6,2544,Little Rock
569,26129,MI,Ogemaw County,9,3564,Lansing
570,23017,ME,Oxford County,6,7565,Augusta
571,28155,MS,Webster County,9,2002,Jackson
