d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,population,short name
64,31039,NE,Cuming County,7,772,1896190,NE
65,19015,IA,Boone County,6,2389,3046355,IA
66,37075,NC,Graham County,9,1675,10042802,NC
67,1089,AL,Madison County,2,47081,4858979,AL
68,53073,WA,Whatcom County,3,32082,7170351,Wash.
69,20167,KS,Russell County,7,1002,2911641,KS
70,48395,TX,Robertson County,3,3097,27469114,ustx
71,12081,FL,Manatee County,2,47042,20271272,Fla.
72,18171,IN,Warren County,8,731,6619680,IN
73,48123,TX,DeWitt County,6,3462,27469114,ustx
74,48133,TX,Eastland County,6,3475,27469114,ustx
75,26123,MI,Newaygo County,2,8101,9922576,MI
76,21227,KY,Warren County,3,22037,4425092,KY
77,5129,AR,Searcy County,9,1814,2978204,AR
78,12013,FL,Calhoun County,6,2742,20271272,Fla.
79,55035,WI,Eau Claire County,3,12783,5771337,WI
80,22057,LA,Lafourche Parish,3,16447,3976322,LA
81,19053,IA,Decatur County,9,1469,3046355,IA
82,13195,GA,Madison County,3,4255,10214860,GA
83,51097,VA,King and Queen County,1,960,8382993,VA
84,28033,MS,DeSoto County,1,17819,2992333,MS
85,21239,KY,Woodford County,2,3099,4425092,KY
86,27141,MN,Sherburne County,1,5703,5489594,MN
87,5067,AR,Jackson County,6,3587,2978204,AR
88,45065,SC,McCormick County,8,1538,4896146,SC
89,31015,NE,Boyd County,9,283,1896190,NE
90,38071,ND,Ramsey County,7,1556,756927,ND
91,55049,WI,Iowa County,2,2063,5771337,WI
92,13263,GA,Talbot County,8,1447,10214860,GA
93,26013,MI,Baraga County,9,1235,9922576,MI
94,12059,FL,Holmes County,6,4276,20271272,Fla.
95,21063,KY,Elliott County,9,1998,4425092,KY
96,42099,PA,Perry County,2,4082,12802503,PA
97,54103,WV,Wetzel County,6,3023,1844128,WV
98,26087,MI,Lapeer County,1,9324,9922576,MI
99,6045,CA,Mendocino County,4,16366,39144818,Cal.
100,19113,IA,Linn County,3,21613,3046355,IA
101,54091,WV,Taylor County,6,2678,1844128,WV
102,31045,NE,Dawes County,7,1366,1896190,NE
103,40065,OK,Jackson County,5,4756,3911338,OK
104,13181,GA,Lincoln County,8,1479,10214860,GA
105,48167,TX,Galveston County,1,41747,27469114,ustx
106,38007,ND,Billings County,9,83,756927,ND
107,36091,NY,Saratoga County,2,14094,19795791,N.Y.
108,1103,AL,Morgan County,3,18457,4858979,AL
109,46053,SD,Gregory County,9,655,1394928,
110,1127,AL,Walker County,1,13097,4858979,AL
111,27131,MN,Rice County,4,5673,5489594,MN
112,28035,MS,Forrest County,3,18514,2992333,MS
113,33015,NH,Rockingham County,1,12681,1330608,NH
114,25005,MA,Bristol County,1,58070,6794422,MA
115,48267,TX,Kimble County,7,848,27469114,ustx
116,13211,GA,Morgan County,6,2358,10214860,GA
117,1105,AL,Perry County,8,3066,4858979,AL
118,27053,MN,Hennepin County,1,132137,5489594,MN
119,8035,CO,Douglas County,1,11114,5456574,Colo.
120,42039,PA,Crawford County,4,11832,12802503,PA
121,45069,SC,Marlboro County,6,6743,4896146,SC
122,48299,TX,Llano County,7,2701,27469114,ustx
123,53051,WA,Pend Oreille County,8,2103,7170351,Wash.
124,48487,TX,Wilbarger County,6,1981,27469114,ustx
125,37191,NC,Wayne County,3,24889,10042802,NC
126,51199,VA,York County,1,3417,8382993,VA
127,27085,MN,McLeod County,6,2613,5489594,MN
128,48335,TX,Mitchell County,7,1473,27469114,ustx
129,2050,AK,Bethel Census Area,7,4502,738432,AK
130,48291,TX,Liberty County,1,12164,27469114,ustx
131,28125,MS,Sharkey County,9,1567,2992333,MS
132,6067,CA,Sacramento County,1,243760,39144818,Cal.
133,51031,VA,Campbell County,3,7220,8382993,VA
134,31053,NE,Dodge County,4,4131,1896190,NE
135,48389,TX,Reeves County,7,2943,27469114,ustx
136,47103,TN,Lincoln County,6,5546,6600299,TN
137,40019,OK,Carter County,5,7799,3911338,OK
138,39085,OH,Lake County,1,19364,11613423,OH
139,51195,VA,Wise County,7,8525,8382993,VA
140,47077,TN,Henderson County,6,4777,6600299,TN
141,31141,NE,Platte County,5,2920,1896190,NE
142,6061,CA,Placer County,1,27340,39144818,Cal.
143,13165,GA,Jenkins County,6,2606,10214860,GA
144,49049,UT,Utah County,2,66112,2763885,UT
145,28161,MS,Yalobusha County,7,2812,2992333,MS
146,34005,NJ,Burlington County,1,27083,8958013,NJ
147,17019,IL,Champaign County,3,36364,12859995,IL
148,13061,GA,Clay County,9,1040,10214860,GA
149,37053,NC,Currituck County,1,2616,10042802,NC
150,17011,IL,Bureau County,6,3775,12859995,IL
151,31109,NE,Lancaster County,2,35993,1896190,NE
152,39141,OH,Ross County,4,13224,11613423,OH
153,37107,NC,Lenoir County,4,11637,10042802,NC
154,30019,MT,Daniels County,9,176,1032949,MT
155,2110,AK,Juneau Borough,5,2334,738432,AK
156,47091,TN,Johnson County,6,4038,6600299,TN
157,48143,TX,Erath County,7,7361,27469114,ustx
158,20161,KS,Riley County,5,11709,2911641,KS
159,5077,AR,Lee County,6,2701,2978204,AR
160,27103,MN,Nicollet County,5,2490,5489594,MN
161,1091,AL,Marengo County,7,5003,4858979,AL
162,30063,MT,Missoula County,3,17206,1032949,MT
163,48185,TX,Grimes County,6,4124,27469114,ustx
164,47167,TN,Tipton County,1,9698,6600299,TN
165,26093,MI,Livingston County,1,10912,9922576,MI
166,48259,TX,Kendall County,1,3119,27469114,ustx
167,56039,WY,Teton County,7,1680,586107,WY
168,5093,AR,Mississippi County,4,10307,2978204,AR
169,22019,LA,Calcasieu Parish,3,39035,3976322,LA
170,48243,TX,Jeff Davis County,9,274,27469114,ustx
171,6027,CA,Inyo County,7,2184,39144818,Cal.
172,48093,TX,Comanche County,7,2271,27469114,ustx
173,1001,AL,Autauga County,2,7444,4858979,AL
174,19183,IA,Washington County,3,2161,3046355,IA
175,8003,CO,Alamosa County,7,3816,5456574,Colo.
176,31087,NE,Hitchcock County,9,360,1896190,NE
177,29061,MO,Daviess County,8,1357,6083672,MO
178,26025,MI,Calhoun County,3,21973,9922576,MI
179,9013,CT,Tolland County,1,9786,3590886,Ct.
180,29069,MO,Dunklin County,7,8089,6083672,MO
181,24041,MD,Talbot County,6,3827,6006401,Md.
182,13115,GA,Floyd County,3,14596,10214860,GA
183,48401,TX,Rusk County,3,7461,27469114,ustx
184,1065,AL,Hale County,3,3495,4858979,AL
185,54013,WV,Calhoun County,8,1586,1844128,WV
186,48043,TX,Brewster County,7,1365,27469114,ustx
187,1029,AL,Cleburne County,8,2527,4858979,AL
188,4005,AZ,Coconino County,3,23116,6828065,AZ
189,8023,CO,Costilla County,9,1128,5456574,Colo.
190,6075,CA,San Francisco County,1,87690,39144818,Cal.
191,48019,TX,Bandera County,1,3138,27469114,ustx
192,17181,IL,Union County,7,2957,12859995,IL
193,5087,AR,Madison County,2,2910,2978204,AR
194,51133,VA,Northumberland County,9,1632,8382993,VA
195,8061,CO,Kiowa County,9,189,5456574,Colo.
196,48165,TX,Gaines County,7,2982,27469114,ustx
197,6007,CA,Butte County,3,43428,39144818,Cal.
198,13213,GA,Murray County,3,7055,10214860,GA
199,28111,MS,Perry County,3,2599,2992333,MS
200,51169,VA,Scott County,3,4103,8382993,VA
201,26003,MI,Alger County,9,1140,9922576,MI
202,42063,PA,Indiana County,4,16198,12802503,PA
203,37137,NC,Pamlico County,9,2230,10042802,NC
204,37133,NC,Onslow County,3,23670,10042802,NC
205,20091,KS,Johnson County,1,32380,2911641,KS
206,39101,OH,Marion County,4,8673,11613423,OH
207,12107,FL,Putnam County,4,15220,20271272,Fla.
208,28159,MS,Winston County,7,4070,2992333,MS
209,8029,CO,Delta County,6,5300,5456574,Colo.
210,55111,WI,Sauk County,4,6381,5771337,WI
211,18111,IN,Newton County,1,1666,6619680,IN
212,12037,FL,Franklin County,6,2337,20271272,Fla.
213,27117,MN,Pipestone County,6,975,5489594,MN
214,19045,IA,Clinton County,4,6272,3046355,IA
215,37055,NC,Dare County,5,3909,10042802,NC
216,37099,NC,Jackson County,6,8051,10042802,NC
217,36103,NY,Suffolk County,1,111341,19795791,N.Y.
218,16039,ID,Elmore County,4,3531,1654930,ID
219,30033,MT,Garfield County,9,181,1032949,MT
220,5137,AR,Stone County,9,2697,2978204,AR
221,51009,VA,Amherst County,3,4340,8382993,VA
222,41069,OR,Wheeler County,9,258,4028977,OR
223,5029,AR,Conway County,6,3903,2978204,AR
224,17097,IL,Lake County,1,59478,12859995,IL
225,51125,VA,Nelson County,3,1865,8382993,VA
226,48477,TX,Washington County,6,4641,27469114,ustx
227,53027,WA,Grays Harbor County,4,10437,7170351,Wash.
228,35037,NM,Quay County,7,2044,2085109,NM
229,48451,TX,Tom Green County,3,15144,27469114,ustx
230,42061,PA,Huntingdon County,6,5522,12802503,PA
231,47123,TN,Monroe County,6,8753,6600299,TN
232,27037,MN,Dakota County,1,23278,5489594,MN
233,36049,NY,Lewis County,6,4191,19795791,N.Y.
234,6015,CA,Del Norte County,7,5842,39144818,Cal.
235,8119,CO,Teller County,2,2278,5456574,Colo.
236,29149,MO,Oregon County,9,2640,6083672,MO
237,29161,MO,Phelps County,5,8126,6083672,MO
238,31181,NE,Webster County,9,447,1896190,NE
239,8033,CO,Dolores County,9,271,5456574,Colo.
240,13011,GA,Banks County,8,2845,10214860,GA
241,55019,WI,Clark County,8,4676,5771337,WI
242,18005,IN,Bartholomew County,3,9336,6619680,IN
243,17033,IL,Crawford County,6,2571,12859995,IL
244,24037,MD,St. Mary's County,4,9977,6006401,Md.
245,31023,NE,Butler County,6,702,1896190,NE
246,16025,ID,Camas County,9,106,1654930,ID
247,38063,ND,Nelson County,8,333,756927,ND
248,37015,NC,Bertie County,9,4438,10042802,NC
249,8014,CO,Broomfield County,1,3518,5456574,Colo.
250,56027,WY,Niobrara County,9,318,586107,WY
251,17163,IL,St. Clair County,1,39745,12859995,IL
252,28121,MS,Rankin County,2,13745,2992333,MS
253,36085,NY,Richmond County,1,62030,19795791,N.Y.
254,51185,VA,Tazewell County,7,7281,8382993,VA
255,37167,NC,Stanly County,6,7733,10042802,NC
256,20165,KS,Rush County,9,360,2911641,KS
257,20043,KS,Doniphan County,3,989,2911641,KS
258,54071,WV,Pendleton County,8,1126,1844128,WV
259,55097,WI,Portage County,4,7684,5771337,WI
260,19031,IA,Cedar County,6,1207,3046355,IA
261,48251,TX,Johnson County,1,18049,27469114,ustx
262,49009,UT,Daggett County,8,84,2763885,UT
263,28007,MS,Attala County,6,4428,2992333,MS
264,55027,WI,Dodge County,4,8012,5771337,WI
265,28005,MS,Amite County,8,2951,2992333,MS
266,47107,TN,McMinn County,4,8740,6600299,TN
267,19153,IA,Polk County,2,50628,3046355,IA
268,31169,NE,Thayer County,9,551,1896190,NE
269,21215,KY,Spencer County,1,1601,4425092,KY
270,5139,AR,Union County,5,7603,2978204,AR
271,54049,WV,Marion County,4,9690,1844128,WV
272,8099,CO,Prowers County,7,2421,5456574,Colo.
273,13125,GA,Glascock County,9,539,10214860,GA
274,21033,KY,Caldwell County,6,2523,4425092,KY
275,31025,NE,Cass County,2,1920,1896190,NE
276,20111,KS,Lyon County,5,5212,2911641,KS
277,29171,MO,Putnam County,9,837,6083672,MO
278,19069,IA,Franklin County,7,1157,3046355,IA
279,8103,CO,Rio Blanco County,9,591,5456574,Colo.
280,21195,KY,Pike County,7,18486,4425092,KY
281,29071,MO,Franklin County,1,10901,6083672,MO
282,16067,ID,Minidoka County,7,3243,1654930,ID
283,17065,IL,Hamilton County,7,1144,12859995,IL
284,20061,KS,Geary County,5,4031,2911641,KS
285,31017,NE,Brown County,9,401,1896190,NE
286,39157,OH,Tuscarawas County,4,11525,11613423,OH
287,39033,OH,Crawford County,4,5753,11613423,OH
288,26141,MI,Presque Isle County,7,1852,9922576,MI
289,54077,WV,Preston County,3,5455,1844128,WV
290,26033,MI,Chippewa County,5,5278,9922576,MI
291,51680,VA,Lynchburg city,3,12336,8382993,VA
292,8053,CO,Hinsdale County,9,77,5456574,Colo.
293,6031,CA,Kings County,3,23247,39144818,Cal.
294,46129,SD,Walworth County,7,810,1394928,
295,2261,AK,Valdez-Cordova Census Area,9,852,738432,AK
296,39113,OH,Montgomery County,2,93949,11613423,OH
297,42029,PA,Chester County,1,35349,12802503,PA
298,21115,KY,Johnson County,7,5814,4425092,KY
299,39093,OH,Lorain County,1,36828,11613423,OH
300,21207,KY,Russell County,9,4361,4425092,KY
301,54001,WV,Barbour County,7,3514,1844128,WV
302,51019,VA,Bedford County,3,7445,8382993,VA
303,36123,NY,Yates County,6,3340,19795791,N.Y.
304,51027,VA,Buchanan County,9,5274,8382993,VA
305,39099,OH,Mahoning County,2,41625,11613423,OH
306,1051,AL,Elmore County,2,10316,4858979,AL
307,28049,MS,Hinds County,2,48244,2992333,MS
308,55125,WI,Vilas County,9,2676,5771337,WI
309,46101,SD,Moody County,8,676,1394928,
310,13071,GA,Colquitt County,6,11252,10214860,GA
311,19013,IA,Black Hawk County,3,20556,3046355,IA
312,53001,WA,Adams County,6,3710,7170351,Wash.
313,13117,GA,Forsyth County,1,12468,10214860,GA
314,48137,TX,Edwards County,9,443,27469114,ustx
315,53017,WA,Douglas County,3,5260,7170351,Wash.
316,46083,SD,Lincoln County,3,2007,1394928,
317,48077,TX,Clay County,3,1345,27469114,ustx
318,45083,SC,Spartanburg County,2,45637,4896146,SC
319,2013,AK,Aleutians East Borough,9,487,738432,AK
320,53009,WA,Clallam County,5,11110,7170351,Wash.
321,17193,IL,White County,6,2246,12859995,IL
322,18009,IN,Blackford County,6,1530,6619680,IN
323,1063,AL,Greene County,3,2845,4858979,AL
324,48195,TX,Hansford County,7,730,27469114,ustx
325,26009,MI,Antrim County,9,2686,9922576,MI
326,48331,TX,Milam County,6,3959,27469114,ustx
327,22053,LA,Jefferson Davis Parish,6,5933,3976322,LA
328,47187,TN,Williamson County,1,11292,6600299,TN
329,13197,GA,Marion County,2,1975,10214860,GA
330,51159,VA,Richmond County,9,1399,8382993,VA
331,51193,VA,Westmoreland County,7,2581,8382993,VA
332,37105,NC,Lee County,4,9869,10042802,NC
333,47133,TN,Overton County,7,4066,6600299,TN
334,5121,AR,Randolph County,7,3229,2978204,AR
335,5037,AR,Cross County,6,3252,2978204,AR
336,48131,TX,Duval County,7,2857,27469114,ustx
337,38015,ND,Burleigh County,3,6505,756927,ND
338,12065,FL,Jefferson County,2,2398,20271272,Fla.
339,40105,OK,Nowata County,6,1776,3911338,OK
340,13103,GA,Effingham County,2,5949,10214860,GA
341,16047,ID,Gooding County,7,2083,1654930,ID
342,27089,MN,Marshall County,8,903,5489594,MN
343,48371,TX,Pecos County,7,2376,27469114,ustx
344,48411,TX,San Saba County,7,1062,27469114,ustx
345,22043,LA,Grant Parish,3,4160,3976322,LA
346,36037,NY,Genesee County,4,6475,19795791,N.Y.
347,46123,SD,Tripp County,7,928,1394928,
348,18001,IN,Adams County,6,5271,6619680,IN
349,18163,IN,Vanderburgh County,2,30462,6619680,IN
350,49001,UT,Beaver County,9,572,2763885,UT
351,48155,TX,Foard County,9,207,27469114,ustx
352,5141,AR,Van Buren County,8,2737,2978204,AR
353,54057,WV,Mineral County,3,4156,1844128,WV
354,21149,KY,McLean County,3,1619,4425092,KY
355,18029,IN,Dearborn County,1,3988,6619680,IN
356,26073,MI,Isabella County,5,15118,9922576,MI
357,47111,TN,Macon County,1,4117,6600299,TN
358,24025,MD,Harford County,1,17769,6006401,Md.
359,26039,MI,Crawford County,7,2892,9922576,MI
360,48467,TX,Van Zandt County,6,7921,27469114,ustx
361,2158,AK,Kusilvak Census Area,9,3033,738432,AK
362,51063,VA,Floyd County,8,2129,8382993,VA
363,29229,MO,Wright County,6,4355,6083672,MO
364,39095,OH,Lucas County,2,83600,11613423,OH
365,39035,OH,Cuyahoga County,1,223636,11613423,OH
366,17179,IL,Tazewell County,2,11526,12859995,IL
367,18131,IN,Pulaski County,6,1435,6619680,IN
368,40141,OK,Tillman County,6,1689,3911338,OK
369,28135,MS,Tallahatchie County,7,4430,2992333,MS
370,51115,VA,Mathews County,1,880,8382993,VA
371,12111,FL,St. Lucie County,2,51657,20271272,Fla.
372,30059,MT,Meagher County,9,322,1032949,MT
373,41053,OR,Polk County,2,9681,4028977,OR
374,38053,ND,McKenzie County,9,981,756927,ND
375,34017,NJ,Hudson County,1,104660,8958013,NJ
376,48269,TX,King County,9,31,27469114,ustx
377,37065,NC,Edgecombe County,3,12514,10042802,NC
378,18091,IN,La Porte County,3,16218,6619680,IN
379,28085,MS,Lincoln County,6,6763,2992333,MS
380,26023,MI,Branch County,6,6969,9922576,MI
381,17187,IL,Warren County,7,2213,12859995,IL
382,5071,AR,Johnson County,6,4699,2978204,AR
383,31139,NE,Pierce County,9,674,1896190,NE
384,50005,VT,Caledonia County,7,3929,626042,VT
385,28103,MS,Noxubee County,7,3434,2992333,MS
386,37063,NC,Durham County,2,47269,10042802,NC
387,13231,GA,Pike County,1,2074,10214860,GA
388,26017,MI,Bay County,3,15716,9922576,MI
389,51073,VA,Gloucester County,1,3449,8382993,VA
390,17131,IL,Mercer County,2,1581,12859995,IL
391,56023,WY,Lincoln County,7,1631,586107,WY
392,18137,IN,Ripley County,6,3448,6619680,IN
393,48341,TX,Moore County,6,2596,27469114,ustx
394,5143,AR,Washington County,2,34567,2978204,AR
395,27029,MN,Clearwater County,8,1432,5489594,MN
396,47113,TN,Madison County,3,17777,6600299,TN
397,29179,MO,Reynolds County,9,1397,6083672,MO
398,35033,NM,Mora County,8,1130,2085109,NM
399,46085,SD,Lyman County,9,860,1394928,
400,13099,GA,Early County,6,3210,10214860,GA
401,13253,GA,Seminole County,6,1948,10214860,GA
402,6005,CA,Amador County,6,3846,39144818,Cal.
403,18147,IN,Spencer County,8,1847,6619680,IN
404,28063,MS,Jefferson County,7,2321,2992333,MS
405,47131,TN,Obion County,7,5604,6600299,TN
406,17027,IL,Clinton County,1,3330,12859995,IL
407,13139,GA,Hall County,3,26561,10214860,GA
408,46049,SD,Faulk County,9,298,1394928,
409,38095,ND,Towner County,9,238,756927,ND
410,13085,GA,Dawson County,1,2373,10214860,GA
411,46127,SD,Union County,3,981,1394928,
412,48027,TX,Bell County,2,42739,27469114,ustx
413,13305,GA,Wayne County,6,6217,10214860,GA
414,13023,GA,Bleckley County,6,2514,10214860,GA
415,30049,MT,Lewis and Clark County,5,6858,1032949,MT
416,50013,VT,Grand Isle County,3,609,626042,VT
417,13153,GA,Houston County,3,22347,10214860,GA
418,5113,AR,Polk County,7,4660,2978204,AR
419,37147,NC,Pitt County,3,36594,10042802,NC
420,29041,MO,Chariton County,9,966,6083672,MO
421,48275,TX,Knox County,9,781,27469114,ustx
422,40087,OK,McClain County,1,4137,3911338,OK
423,29007,MO,Audrain County,6,4019,6083672,MO
424,48391,TX,Refugio County,6,1128,27469114,ustx
425,20089,KS,Jewell County,9,363,2911641,KS
426,45045,SC,Greenville County,2,53113,4896146,SC
427,17045,IL,Edgar County,6,2350,12859995,IL
428,21091,KY,Hancock County,3,1100,4425092,KY
429,31037,NE,Colfax County,7,1005,1896190,NE
430,48099,TX,Coryell County,2,8991,27469114,ustx
431,1061,AL,Geneva County,3,5495,4858979,AL
432,17047,IL,Edwards County,9,715,12859995,IL
433,13295,GA,Walker County,2,12349,10214860,GA
434,51089,VA,Henry County,4,9333,8382993,VA
435,32005,NV,Douglas County,4,4631,2890845,NV
436,5135,AR,Sharp County,7,3610,2978204,AR
437,39007,OH,Ashtabula County,4,17202,11613423,OH
438,8113,CO,San Miguel County,9,811,5456574,Colo.
439,12021,FL,Collier County,2,41076,20271272,Fla.
440,26117,MI,Montcalm County,6,9381,9922576,MI
441,40121,OK,Pittsburg County,5,6007,3911338,OK
442,8079,CO,Mineral County,9,68,5456574,Colo.
443,16075,ID,Payette County,6,3639,1654930,ID
444,42069,PA,Lackawanna County,2,28739,12802503,PA
445,28123,MS,Scott County,6,6303,2992333,MS
446,29223,MO,Wayne County,9,3370,6083672,MO
447,24510,MD,Baltimore city,1,128752,6006401,Md.
448,31047,NE,Dawson County,7,2966,1896190,NE
449,42083,PA,Mc Kean County,7,6711,12802503,PA
450,16021,ID,Boundary County,7,1973,1654930,ID
451,29173,MO,Ralls County,9,1109,6083672,MO
452,16073,ID,Owyhee County,2,1942,1654930,ID
453,39001,OH,Adams County,6,5543,11613423,OH
454,2070,AK,Dillingham Census Area,9,965,738432,AK
455,15009,HI,Maui County,5,15578,1431603,HI
456,1097,AL,Mobile County,2,79364,4858979,AL
457,17021,IL,Christian County,6,4013,12859995,IL
458,30035,MT,Glacier County,7,3792,1032949,MT
459,28099,MS,Neshoba County,7,6517,2992333,MS
460,37011,NC,Avery County,8,2985,10042802,NC
461,27087,MN,Mahnomen County,8,941,5489594,MN
462,18073,IN,Jasper County,1,3032,6619680,IN
463,27025,MN,Chisago County,1,3554,5489594,MN
464,29185,MO,St. Clair County,8,1868,6083672,MO
465,13043,GA,Candler County,7,2647,10214860,GA
466,31175,NE,Valley County,9,479,1896190,NE
467,22007,LA,Assumption Parish,6,4761,3976322,LA
468,38061,ND,Mountrail County,9,964,756927,ND
469,18141,IN,St. Joseph County,2,41889,6619680,IN
470,26035,MI,Clare County,7,6496,9922576,MI
471,13243,GA,Randolph County,6,2063,10214860,GA
472,20095,KS,Kingman County,6,778,2911641,KS
473,55099,WI,Price County,9,1482,5771337,WI
474,20121,KS,Miami County,1,2644,2911641,KS
475,55015,WI,Calumet County,3,2462,5771337,WI
476,17025,IL,Clay County,7,2085,12859995,IL
477,21233,KY,Webster County,2,2311,4425092,KY
478,36045,NY,Jefferson County,4,16468,19795791,N.Y.
479,17175,IL,Stark County,2,652,12859995,IL
480,39065,OH,Hardin County,6,3906,11613423,OH
481,12019,FL,Clay County,1,19785,20271272,Fla.
482,22055,LA,Lafayette Parish,3,42781,3976322,LA
483,21213,KY,Simpson County,6,2663,4425092,KY
484,35023,NM,Hidalgo County,7,1129,2085109,NM
485,31099,NE,Kearney County,7,584,1896190,NE
486,51145,VA,Powhatan County,1,1779,8382993,VA
487,56037,WY,Sweetwater County,5,4264,586107,WY
488,51085,VA,Hanover County,1,5900,8382993,VA
489,37059,NC,Davie County,2,4820,10042802,NC
490,22033,LA,East Baton Rouge Parish,2,86888,3976322,LA
491,21155,KY,Marion County,6,3750,4425092,KY
492,39153,OH,Summit County,2,72687,11613423,OH
493,35049,NM,Santa Fe County,3,20463,2085109,NM
494,8001,CO,Adams County,1,57811,5456574,Colo.
495,42087,PA,Mifflin County,4,6711,12802503,PA
496,19059,IA,Dickinson County,7,1332,3046355,IA
497,25023,MA,Plymouth County,1,39977,6794422,MA
498,47159,TN,Smith County,1,2801,6600299,TN
499,31123,NE,Morrill County,9,775,1896190,NE
500,26061,MI,Houghton County,5,6762,9922576,MI
501,42051,PA,Fayette County,1,22645,12802503,PA
502,48029,TX,Bexar County,1,306859,27469114,ustx
503,35017,NM,Grant County,7,6308,2085109,NM
504,28113,MS,Pike County,7,11649,2992333,MS
505,13255,GA,Spalding County,1,14243,10214860,GA
506,47041,TN,DeKalb County,6,3760,6600299,TN
507,27105,MN,Nobles County,7,2500,5489594,MN
508,19055,IA,Delaware County,6,1626,3046355,IA
509,34025,NJ,Monmouth County,1,43866,8958013,NJ
510,41015,OR,Curry County,7,3171,4028977,OR
511,53041,WA,Lewis County,4,11155,7170351,Wash.
512,42043,PA,Dauphin County,2,30247,12802503,PA
513,29121,MO,Macon County,7,2416,6083672,MO
514,33013,NH,Merrimack County,4,10532,1330608,NH
515,17107,IL,Logan County,6,3450,12859995,IL
516,17183,IL,Vermilion County,3,15183,12859995,IL
517,31127,NE,Nemaha County,7,868,1896190,NE
518,17015,IL,Carroll County,7,1798,12859995,IL
519,19163,IA,Scott County,2,22602,3046355,IA
520,31049,NE,Deuel County,9,213,1896190,NE
521,48145,TX,Falls County,6,3915,27469114,ustx
522,5005,AR,Baxter County,7,5144,2978204,AR
523,39131,OH,Pike County,7,5660,11613423,OH
524,16019,ID,Bonneville County,3,13072,1654930,ID
525,12007,FL,Bradford County,6,4392,20271272,Fla.
526,19115,IA,Louisa County,8,1253,3046355,IA
527,21123,KY,Larue County,3,2312,4425092,KY
528,21205,KY,Rowan County,7,5389,4425092,KY
529,55033,WI,Dunn County,6,5164,5771337,WI
