d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,area
55,21183,KY,Ohio County,6,4865,104659
56,13123,GA,Gilmer County,6,4490,153909
57,46093,SD,Meade County,3,2666,964.497168
58,19159,IA,Ringgold County,9,696,145746
59,42129,PA,Westmoreland County,1,34269,119283
60,13105,GA,Elbert County,6,4197,153909
61,51077,VA,Grayson County,9,2593,110862
62,55077,WI,Marquette County,8,1781,169640
63,47017,TN,Carroll County,6,4894,109247
64,31039,NE,Cuming County,7,772,200520
65,19015,IA,Boone County,6,2389,145746
66,37075,NC,Graham County,9,1675,139390
67,1089,AL,Madison County,2,47081,135765
68,53073,WA,Whatcom County,3,32082,184827
69,20167,KS,Russell County,7,1002,213100
70,48395,TX,Robertson County,3,3097,696241
71,12081,FL,Manatee County,2,47042,170304
72,18171,IN,Warren County,8,731,94321
73,48123,TX,DeWitt County,6,3462,696241
74,48133,TX,Eastland County,6,3475,696241
75,26123,MI,Newaygo County,2,8101,250493
76,21227,KY,Warren County,3,22037,104659
77,5129,AR,Searcy County,9,1814,137733
78,12013,FL,Calhoun County,6,2742,170304
79,55035,WI,Eau Claire County,3,12783,169640
80,22057,LA,Lafourche Parish,3,16447,1302.15171
81,19053,IA,Decatur County,9,1469,145746
82,13195,GA,Madison County,3,4255,153909
83,51097,VA,King and Queen County,1,960,110862
84,28033,MS,DeSoto County,1,17819,125443
85,21239,KY,Woodford County,2,3099,104659
86,27141,MN,Sherburne County,1,5703,225163
87,5067,AR,Jackson County,6,3587,137733
88,45065,SC,McCormick County,8,1538,82931
89,31015,NE,Boyd County,9,283,200520
90,38071,ND,Ramsey County,7,1556,183108
91,55049,WI,Iowa County,2,2063,169640
92,13263,GA,Talbot County,8,1447,153909
93,26013,MI,Baraga County,9,1235,250493
94,12059,FL,Holmes County,6,4276,170304
95,21063,KY,Elliott County,9,1998,104659
96,42099,PA,Perry County,2,4082,119283
97,54103,WV,Wetzel County,6,3023,62755
98,26087,MI,Lapeer County,1,9324,250493
99,6045,CA,Mendocino County,4,16366,423970
100,19113,IA,Linn County,3,21613,145746
101,54091,WV,Taylor County,6,2678,62755
102,31045,NE,Dawes County,7,1366,200520
103,40065,OK,Jackson County,5,4756,181195
104,13181,GA,Lincoln County,8,1479,153909
105,48167,TX,Galveston County,1,41747,696241
106,38007,ND,Billings County,9,83,183108
107,36091,NY,Saratoga County,2,14094,141300
108,1103,AL,Morgan County,3,18457,135765
109,46053,SD,Gregory County,9,655,964.497168
110,1127,AL,Walker County,1,13097,135765
111,27131,MN,Rice County,4,5673,225163
112,28035,MS,Forrest County,3,18514,125443
113,33015,NH,Rockingham County,1,12681,24214
114,25005,MA,Bristol County,1,58070,27336
115,48267,TX,Kimble County,7,848,696241
116,13211,GA,Morgan County,6,2358,153909
117,1105,AL,Perry County,8,3066,135765
118,27053,MN,Hennepin County,1,132137,225163
119,8035,CO,Douglas County,1,11114,269837
120,42039,PA,Crawford County,4,11832,119283
121,45069,SC,Marlboro County,6,6743,82931
122,48299,TX,Llano County,7,2701,696241
123,53051,WA,Pend Oreille County,8,2103,184827
124,48487,TX,Wilbarger County,6,1981,696241
125,37191,NC,Wayne County,3,24889,139390
126,51199,VA,York County,1,3417,110862
127,27085,MN,McLeod County,6,2613,225163
128,48335,TX,Mitchell County,7,1473,696241
129,2050,AK,Bethel Census Area,7,4502,1717856
130,48291,TX,Liberty County,1,12164,696241
131,28125,MS,Sharkey County,9,1567,125443
132,6067,CA,Sacramento County,1,243760,423970
133,51031,VA,Campbell County,3,7220,110862
134,31053,NE,Dodge County,4,4131,200520
135,48389,TX,Reeves County,7,2943,696241
136,47103,TN,Lincoln County,6,5546,109247
137,40019,OK,Carter County,5,7799,181195
138,39085,OH,Lake County,1,19364,116096
139,51195,VA,Wise County,7,8525,110862
140,47077,TN,Henderson County,6,4777,109247
141,31141,NE,Platte County,5,2920,200520
142,6061,CA,Placer County,1,27340,423970
143,13165,GA,Jenkins County,6,2606,153909
144,49049,UT,Utah County,2,66112,219653
145,28161,MS,Yalobusha County,7,2812,125443
146,34005,NJ,Burlington County,1,27083,22591.4
147,17019,IL,Champaign County,3,36364,149998
148,13061,GA,Clay County,9,1040,153909
149,37053,NC,Currituck County,1,2616,139390
150,17011,IL,Bureau County,6,3775,149998
151,31109,NE,Lancaster County,2,35993,200520
152,39141,OH,Ross County,4,13224,116096
153,37107,NC,Lenoir County,4,11637,139390
154,30019,MT,Daniels County,9,176,381154
155,2110,AK,Juneau Borough,5,2334,1717856
156,47091,TN,Johnson County,6,4038,109247
157,48143,TX,Erath County,7,7361,696241
158,20161,KS,Riley County,5,11709,213100
159,5077,AR,Lee County,6,2701,137733
160,27103,MN,Nicollet County,5,2490,225163
161,1091,AL,Marengo County,7,5003,135765
162,30063,MT,Missoula County,3,17206,381154
163,48185,TX,Grimes County,6,4124,696241
164,47167,TN,Tipton County,1,9698,109247
165,26093,MI,Livingston County,1,10912,250493
166,48259,TX,Kendall County,1,3119,696241
167,56039,WY,Teton County,7,1680,253348
168,5093,AR,Mississippi County,4,10307,137733
169,22019,LA,Calcasieu Parish,3,39035,1302.15171
170,48243,TX,Jeff Davis County,9,274,696241
171,6027,CA,Inyo County,7,2184,423970
172,48093,TX,Comanche County,7,2271,696241
173,1001,AL,Autauga County,2,7444,135765
174,19183,IA,Washington County,3,2161,145746
175,8003,CO,Alamosa County,7,3816,269837
176,31087,NE,Hitchcock County,9,360,200520
177,29061,MO,Daviess County,8,1357,181533
178,26025,MI,Calhoun County,3,21973,250493
179,9013,CT,Tolland County,1,9786,14357
180,29069,MO,Dunklin County,7,8089,181533
181,24041,MD,Talbot County,6,3827,32133
182,13115,GA,Floyd County,3,14596,153909
183,48401,TX,Rusk County,3,7461,696241
184,1065,AL,Hale County,3,3495,135765
185,54013,WV,Calhoun County,8,1586,62755
186,48043,TX,Brewster County,7,1365,696241
187,1029,AL,Cleburne County,8,2527,135765
188,4005,AZ,Coconino County,3,23116,295234
189,8023,CO,Costilla County,9,1128,269837
190,6075,CA,San Francisco County,1,87690,423970
191,48019,TX,Bandera County,1,3138,696241
192,17181,IL,Union County,7,2957,149998
193,5087,AR,Madison County,2,2910,137733
194,51133,VA,Northumberland County,9,1632,110862
195,8061,CO,Kiowa County,9,189,269837
196,48165,TX,Gaines County,7,2982,696241
197,6007,CA,Butte County,3,43428,423970
198,13213,GA,Murray County,3,7055,153909
199,28111,MS,Perry County,3,2599,125443
200,51169,VA,Scott County,3,4103,110862
201,26003,MI,Alger County,9,1140,250493
202,42063,PA,Indiana County,4,16198,119283
203,37137,NC,Pamlico County,9,2230,139390
204,37133,NC,Onslow County,3,23670,139390
205,20091,KS,Johnson County,1,32380,213100
206,39101,OH,Marion County,4,8673,116096
207,12107,FL,Putnam County,4,15220,170304
208,28159,MS,Winston County,7,4070,125443
209,8029,CO,Delta County,6,5300,269837
210,55111,WI,Sauk County,4,6381,169640
211,18111,IN,Newton County,1,1666,94321
212,12037,FL,Franklin County,6,2337,170304
213,27117,MN,Pipestone County,6,975,225163
214,19045,IA,Clinton County,4,6272,145746
215,37055,NC,Dare County,5,3909,139390
216,37099,NC,Jackson County,6,8051,139390
217,36103,NY,Suffolk County,1,111341,141300
218,16039,ID,Elmore County,4,3531,216699
219,30033,MT,Garfield County,9,181,381154
220,5137,AR,Stone County,9,2697,137733
221,51009,VA,Amherst County,3,4340,110862
222,41069,OR,Wheeler County,9,258,255026
223,5029,AR,Conway County,6,3903,137733
224,17097,IL,Lake County,1,59478,149998
225,51125,VA,Nelson County,3,1865,110862
226,48477,TX,Washington County,6,4641,696241
227,53027,WA,Grays Harbor County,4,10437,184827
228,35037,NM,Quay County,7,2044,315194
229,48451,TX,Tom Green County,3,15144,696241
230,42061,PA,Huntingdon County,6,5522,119283
231,47123,TN,Monroe County,6,8753,109247
232,27037,MN,Dakota County,1,23278,225163
233,36049,NY,Lewis County,6,4191,141300
234,6015,CA,Del Norte County,7,5842,423970
235,8119,CO,Teller County,2,2278,269837
236,29149,MO,Oregon County,9,2640,181533
237,29161,MO,Phelps County,5,8126,181533
238,31181,NE,Webster County,9,447,200520
239,8033,CO,Dolores County,9,271,269837
240,13011,GA,Banks County,8,2845,153909
241,55019,WI,Clark County,8,4676,169640
242,18005,IN,Bartholomew County,3,9336,94321
243,17033,IL,Crawford County,6,2571,149998
244,24037,MD,St. Mary's County,4,9977,32133
245,31023,NE,Butler County,6,702,200520
246,16025,ID,Camas County,9,106,216699
247,38063,ND,Nelson County,8,333,183108
248,37015,NC,Bertie County,9,4438,139390
249,8014,CO,Broomfield County,1,3518,269837
250,56027,WY,Niobrara County,9,318,253348
251,17163,IL,St. Clair County,1,39745,149998
252,28121,MS,Rankin County,2,13745,125443
253,36085,NY,Richmond County,1,62030,141300
254,51185,VA,Tazewell County,7,7281,110862
255,37167,NC,Stanly County,6,7733,139390
256,20165,KS,Rush County,9,360,213100
257,20043,KS,Doniphan County,3,989,213100
258,54071,WV,Pendleton County,8,1126,62755
259,55097,WI,Portage County,4,7684,169640
260,19031,IA,Cedar County,6,1207,145746
261,48251,TX,Johnson County,1,18049,696241
262,49009,UT,Daggett County,8,84,219653
263,28007,MS,Attala County,6,4428,125443
264,55027,WI,Dodge County,4,8012,169640
265,28005,MS,Amite County,8,2951,125443
266,47107,TN,McMinn County,4,8740,109247
267,19153,IA,Polk County,2,50628,145746
268,31169,NE,Thayer County,9,551,200520
269,21215,KY,Spencer County,1,1601,104659
270,5139,AR,Union County,5,7603,137733
271,54049,WV,Marion County,4,9690,62755
272,8099,CO,Prowers County,7,2421,269837
273,13125,GA,Glascock County,9,539,153909
274,21033,KY,Caldwell County,6,2523,104659
275,31025,NE,Cass County,2,1920,200520
276,20111,KS,Lyon County,5,5212,213100
277,29171,MO,Putnam County,9,837,181533
278,19069,IA,Franklin County,7,1157,145746
279,8103,CO,Rio Blanco County,9,591,269837
280,21195,KY,Pike County,7,18486,104659
281,29071,MO,Franklin County,1,10901,181533
282,16067,ID,Minidoka County,7,3243,216699
283,17065,IL,Hamilton County,7,1144,149998
284,20061,KS,Geary County,5,4031,213100
285,31017,NE,Brown County,9,401,200520
286,39157,OH,Tuscarawas County,4,11525,116096
287,39033,OH,Crawford County,4,5753,116096
288,26141,MI,Presque Isle County,7,1852,250493
289,54077,WV,Preston County,3,5455,62755
290,26033,MI,Chippewa County,5,5278,250493
291,51680,VA,Lynchburg city,3,12336,110862
292,8053,CO,Hinsdale County,9,77,269837
293,6031,CA,Kings County,3,23247,423970
294,46129,SD,Walworth County,7,810,964.497168
295,2261,AK,Valdez-Cordova Census Area,9,852,1717856
296,39113,OH,Montgomery County,2,93949,116096
297,42029,PA,Chester County,1,35349,119283
298,21115,KY,Johnson County,7,5814,104659
299,39093,OH,Lorain County,1,36828,116096
300,21207,KY,Russell County,9,4361,104659
301,54001,WV,Barbour County,7,3514,62755
302,51019,VA,Bedford County,3,7445,110862
303,36123,NY,Yates County,6,3340,141300
304,51027,VA,Buchanan County,9,5274,110862
305,39099,OH,Mahoning County,2,41625,116096
306,1051,AL,Elmore County,2,10316,135765
307,28049,MS,Hinds County,2,48244,125443
308,55125,WI,Vilas County,9,2676,169640
309,46101,SD,Moody County,8,676,964.497168
310,13071,GA,Colquitt County,6,11252,153909
311,19013,IA,Black Hawk County,3,20556,145746
312,53001,WA,Adams County,6,3710,184827
313,13117,GA,Forsyth County,1,12468,153909
314,48137,TX,Edwards County,9,443,696241
315,53017,WA,Douglas County,3,5260,184827
316,46083,SD,Lincoln County,3,2007,964.497168
317,48077,TX,Clay County,3,1345,696241
318,45083,SC,Spartanburg County,2,45637,82931
319,2013,AK,Aleutians East Borough,9,487,1717856
320,53009,WA,Clallam County,5,11110,184827
321,17193,IL,White County,6,2246,149998
322,18009,IN,Blackford County,6,1530,94321
323,1063,AL,Greene County,3,2845,135765
324,48195,TX,Hansford County,7,730,696241
325,26009,MI,Antrim County,9,2686,250493
326,48331,TX,Milam County,6,3959,696241
327,22053,LA,Jefferson Davis Parish,6,5933,1302.15171
328,47187,TN,Williamson County,1,11292,109247
329,13197,GA,Marion County,2,1975,153909
330,51159,VA,Richmond County,9,1399,110862
331,51193,VA,Westmoreland County,7,2581,110862
332,37105,NC,Lee County,4,9869,139390
333,47133,TN,Overton County,7,4066,109247
334,5121,AR,Randolph County,7,3229,137733
335,5037,AR,Cross County,6,3252,137733
336,48131,TX,Duval County,7,2857,696241
337,38015,ND,Burleigh County,3,6505,183108
338,12065,FL,Jefferson County,2,2398,170304
339,40105,OK,Nowata County,6,1776,181195
340,13103,GA,Effingham County,2,5949,153909
341,16047,ID,Gooding County,7,2083,216699
342,27089,MN,Marshall County,8,903,225163
343,48371,TX,Pecos County,7,2376,696241
344,48411,TX,San Saba County,7,1062,696241
345,22043,LA,Grant Parish,3,4160,1302.15171
346,36037,NY,Genesee County,4,6475,141300
347,46123,SD,Tripp County,7,928,964.497168
348,18001,IN,Adams County,6,5271,94321
349,18163,IN,Vanderburgh County,2,30462,94321
350,49001,UT,Beaver County,9,572,219653
351,48155,TX,Foard County,9,207,696241
352,5141,AR,Van Buren County,8,2737,137733
353,54057,WV,Mineral County,3,4156,62755
354,21149,KY,McLean County,3,1619,104659
355,18029,IN,Dearborn County,1,3988,94321
356,26073,MI,Isabella County,5,15118,250493
357,47111,TN,Macon County,1,4117,109247
358,24025,MD,Harford County,1,17769,32133
359,26039,MI,Crawford County,7,2892,250493
360,48467,TX,Van Zandt County,6,7921,696241
361,2158,AK,Kusilvak Census Area,9,3033,1717856
362,51063,VA,Floyd County,8,2129,110862
363,29229,MO,Wright County,6,4355,181533
364,39095,OH,Lucas County,2,83600,116096
365,39035,OH,Cuyahoga County,1,223636,116096
366,17179,IL,Tazewell County,2,11526,149998
367,18131,IN,Pulaski County,6,1435,94321
368,40141,OK,Tillman County,6,1689,181195
369,28135,MS,Tallahatchie County,7,4430,125443
370,51115,VA,Mathews County,1,880,110862
371,12111,FL,St. Lucie County,2,51657,170304
372,30059,MT,Meagher County,9,322,381154
373,41053,OR,Polk County,2,9681,255026
374,38053,ND,McKenzie County,9,981,183108
375,34017,NJ,Hudson County,1,104660,22591.4
376,48269,TX,King County,9,31,696241
377,37065,NC,Edgecombe County,3,12514,139390
378,18091,IN,La Porte County,3,16218,94321
379,28085,MS,Lincoln County,6,6763,125443
380,26023,MI,Branch County,6,6969,250493
381,17187,IL,Warren County,7,2213,149998
382,5071,AR,Johnson County,6,4699,137733
383,31139,NE,Pierce County,9,674,200520
384,50005,VT,Caledonia County,7,3929,24923
385,28103,MS,Noxubee County,7,3434,125443
386,37063,NC,Durham County,2,47269,139390
387,13231,GA,Pike County,1,2074,153909
388,26017,MI,Bay County,3,15716,250493
389,51073,VA,Gloucester County,1,3449,110862
390,17131,IL,Mercer County,2,1581,149998
391,56023,WY,Lincoln County,7,1631,253348
392,18137,IN,Ripley County,6,3448,94321
393,48341,TX,Moore County,6,2596,696241
394,5143,AR,Washington County,2,34567,137733
395,27029,MN,Clearwater County,8,1432,225163
396,47113,TN,Madison County,3,17777,109247
397,29179,MO,Reynolds County,9,1397,181533
398,35033,NM,Mora County,8,1130,315194
399,46085,SD,Lyman County,9,860,964.497168
400,13099,GA,Early County,6,3210,153909
401,13253,GA,Seminole County,6,1948,153909
402,6005,CA,Amador County,6,3846,423970
403,18147,IN,Spencer County,8,1847,94321
404,28063,MS,Jefferson County,7,2321,125443
405,47131,TN,Obion County,7,5604,109247
406,17027,IL,Clinton County,1,3330,149998
407,13139,GA,Hall County,3,26561,153909
408,46049,SD,Faulk County,9,298,964.497168
409,38095,ND,Towner County,9,238,183108
410,13085,GA,Dawson County,1,2373,153909
411,46127,SD,Union County,3,981,964.497168
412,48027,TX,Bell County,2,42739,696241
413,13305,GA,Wayne County,6,6217,153909
414,13023,GA,Bleckley County,6,2514,153909
415,30049,MT,Lewis and Clark County,5,6858,381154
416,50013,VT,Grand Isle County,3,609,24923
417,13153,GA,Houston County,3,22347,153909
418,5113,AR,Polk County,7,4660,137733
419,37147,NC,Pitt County,3,36594,139390
420,29041,MO,Chariton County,9,966,181533
421,48275,TX,Knox County,9,781,696241
422,40087,OK,McClain County,1,4137,181195
423,29007,MO,Audrain County,6,4019,181533
424,48391,TX,Refugio County,6,1128,696241
425,20089,KS,Jewell County,9,363,213100
426,45045,SC,Greenville County,2,53113,82931
427,17045,IL,Edgar County,6,2350,149998
428,21091,KY,Hancock County,3,1100,104659
429,31037,NE,Colfax County,7,1005,200520
430,48099,TX,Coryell County,2,8991,696241
431,1061,AL,Geneva County,3,5495,135765
432,17047,IL,Edwards County,9,715,149998
433,13295,GA,Walker County,2,12349,153909
434,51089,VA,Henry County,4,9333,110862
435,32005,NV,Douglas County,4,4631,286380
436,5135,AR,Sharp County,7,3610,137733
437,39007,OH,Ashtabula County,4,17202,116096
438,8113,CO,San Miguel County,9,811,269837
439,12021,FL,Collier County,2,41076,170304
440,26117,MI,Montcalm County,6,9381,250493
441,40121,OK,Pittsburg County,5,6007,181195
442,8079,CO,Mineral County,9,68,269837
443,16075,ID,Payette County,6,3639,216699
444,42069,PA,Lackawanna County,2,28739,119283
445,28123,MS,Scott County,6,6303,125443
446,29223,MO,Wayne County,9,3370,181533
447,24510,MD,Baltimore city,1,128752,32133
448,31047,NE,Dawson County,7,2966,200520
449,42083,PA,Mc Kean County,7,6711,119283
450,16021,ID,Boundary County,7,1973,216699
451,29173,MO,Ralls County,9,1109,181533
452,16073,ID,Owyhee County,2,1942,216699
453,39001,OH,Adams County,6,5543,116096
454,2070,AK,Dillingham Census Area,9,965,1717856
455,15009,HI,Maui County,5,15578,28311
456,1097,AL,Mobile County,2,79364,135765
457,17021,IL,Christian County,6,4013,149998
458,30035,MT,Glacier County,7,3792,381154
459,28099,MS,Neshoba County,7,6517,125443
460,37011,NC,Avery County,8,2985,139390
461,27087,MN,Mahnomen County,8,941,225163
462,18073,IN,Jasper County,1,3032,94321
463,27025,MN,Chisago County,1,3554,225163
464,29185,MO,St. Clair County,8,1868,181533
465,13043,GA,Candler County,7,2647,153909
466,31175,NE,Valley County,9,479,200520
467,22007,LA,Assumption Parish,6,4761,1302.15171
468,38061,ND,Mountrail County,9,964,183108
469,18141,IN,St. Joseph County,2,41889,94321
470,26035,MI,Clare County,7,6496,250493
471,13243,GA,Randolph County,6,2063,153909
472,20095,KS,Kingman County,6,778,213100
473,55099,WI,Price County,9,1482,169640
474,20121,KS,Miami County,1,2644,213100
475,55015,WI,Calumet County,3,2462,169640
476,17025,IL,Clay County,7,2085,149998
477,21233,KY,Webster County,2,2311,104659
478,36045,NY,Jefferson County,4,16468,141300
479,17175,IL,Stark County,2,652,149998
480,39065,OH,Hardin County,6,3906,116096
481,12019,FL,Clay County,1,19785,170304
482,22055,LA,Lafayette Parish,3,42781,1302.15171
483,21213,KY,Simpson County,6,2663,104659
484,35023,NM,Hidalgo County,7,1129,315194
485,31099,NE,Kearney County,7,584,200520
486,51145,VA,Powhatan County,1,1779,110862
487,56037,WY,Sweetwater County,5,4264,253348
488,51085,VA,Hanover County,1,5900,110862
489,37059,NC,Davie County,2,4820,139390
490,22033,LA,East Baton Rouge Parish,2,86888,1302.15171
491,21155,KY,Marion County,6,3750,104659
492,39153,OH,Summit County,2,72687,116096
493,35049,NM,Santa Fe County,3,20463,315194
494,8001,CO,Adams County,1,57811,269837
495,42087,PA,Mifflin County,4,6711,119283
496,19059,IA,Dickinson County,7,1332,145746
497,25023,MA,Plymouth County,1,39977,27336
498,47159,TN,Smith County,1,2801,109247
499,31123,NE,Morrill County,9,775,200520
500,26061,MI,Houghton County,5,6762,250493
501,42051,PA,Fayette County,1,22645,119283
502,48029,TX,Bexar County,1,306859,696241
503,35017,NM,Grant County,7,6308,315194
504,28113,MS,Pike County,7,11649,125443
505,13255,GA,Spalding County,1,14243,153909
506,47041,TN,DeKalb County,6,3760,109247
507,27105,MN,Nobles County,7,2500,225163
508,19055,IA,Delaware County,6,1626,145746
509,34025,NJ,Monmouth County,1,43866,22591.4
510,41015,OR,Curry County,7,3171,255026
511,53041,WA,Lewis County,4,11155,184827
512,42043,PA,Dauphin County,2,30247,119283
513,29121,MO,Macon County,7,2416,181533
514,33013,NH,Merrimack County,4,10532,24214
515,17107,IL,Logan County,6,3450,149998
516,17183,IL,Vermilion County,3,15183,149998
517,31127,NE,Nemaha County,7,868,200520
518,17015,IL,Carroll County,7,1798,149998
519,19163,IA,Scott County,2,22602,145746
520,31049,NE,Deuel County,9,213,200520
521,48145,TX,Falls County,6,3915,696241
522,5005,AR,Baxter County,7,5144,137733
523,39131,OH,Pike County,7,5660,116096
524,16019,ID,Bonneville County,3,13072,216699
525,12007,FL,Bradford County,6,4392,170304
526,19115,IA,Louisa County,8,1253,145746
527,21123,KY,Larue County,3,2312,104659
528,21205,KY,Rowan County,7,5389,104659
529,55033,WI,Dunn County,6,5164,169640
530,16041,ID,Franklin County,3,1239,216699
531,48465,TX,Val Verde County,5,9703,696241
532,27061,MN,Itasca County,6,5898,225163
533,53013,WA,Columbia County,6,543,184827
534,38089,ND,Stark County,7,2433,183108
535,21131,KY,Leslie County,9,3265,104659
536,46009,SD,Bon Homme County,9,811,964.497168
537,50007,VT,Chittenden County,3,14667,24923
538,30017,MT,Custer County,7,1318,381154
539,37037,NC,Chatham County,2,8384,139390
540,1113,AL,Russell County,2,11108,135765
541,34021,NJ,Mercer County,2,39066,22591.4
542,48479,TX,Webb County,3,85150,696241
543,39167,OH,Washington County,3,8100,116096
544,16055,ID,Kootenai County,3,22165,216699
545,41061,OR,Union County,7,4058,255026
546,36113,NY,Warren County,3,7479,141300
547,18107,IN,Montgomery County,6,4157,94321
548,13311,GA,White County,8,4030,153909
549,47001,TN,Anderson County,2,10753,109247
550,26095,MI,Luce County,7,1092,250493
551,19173,IA,Taylor County,9,751,145746
552,51127,VA,New Kent County,1,1202,110862
553,54093,WV,Tucker County,9,1067,62755
554,40045,OK,Ellis County,9,523,181195
555,2020,AK,Anchorage Borough,2,21108,1717856
556,48469,TX,Victoria County,3,12900,696241
557,31163,NE,Sherman County,9,368,200520
558,13111,GA,Fannin County,8,3485,153909
559,39151,OH,Stark County,2,48072,116096
560,35059,NM,Union County,9,705,315194
561,21025,KY,Breathitt County,7,4466,104659
562,19149,IA,Plymouth County,6,2091,145746
563,10005,DE,Sussex County,4,25212,6452
564,6105,CA,Trinity County,8,2668,423970
565,20125,KS,Montgomery County,5,5953,213100
566,26165,MI,Wexford County,7,5812,250493
567,20101,KS,Lane County,9,164,213100
568,5011,AR,Bradley County,6,2544,137733
569,26129,MI,Ogemaw County,9,3564,250493
570,23017,ME,Oxford County,6,7565,91646
571,28155,MS,Webster County,9,2002,125443
572,39061,OH,Hamilton County,1,126002,116096
573,42023,PA,Cameron County,7,655,119283
574,13183,GA,Long County,3,3365,153909
575,51775,VA,Salem city,2,2160,110862
576,41029,OR,Jackson County,3,31189,255026
577,18019,IN,Clark County,1,11983,94321
578,36017,NY,Chenango County,6,7248,141300
579,36093,NY,Schenectady County,2,17158,141300
580,33011,NH,Hillsborough County,2,31972,24214
581,21171,KY,Monroe County,9,2409,104659
582,18077,IN,Jefferson County,6,4061,94321
583,21169,KY,Metcalfe County,9,2244,104659
584,26135,MI,Oscoda County,9,1522,250493
585,12093,FL,Okeechobee County,4,7547,170304
586,5059,AR,Hot Spring County,6,4541,137733
587,27107,MN,Norman County,8,777,225163
588,42071,PA,Lancaster County,2,56082,119283
589,30071,MT,Phillips County,9,631,381154
590,46025,SD,Clark County,9,398,964.497168
591,12103,FL,Pinellas County,1,125923,170304
592,48365,TX,Panola County,6,3598,696241
593,1059,AL,Franklin County,6,6272,135765
594,48205,TX,Hartley County,9,452,696241
595,1045,AL,Dale County,4,9936,135765
596,22109,LA,Terrebonne Parish,3,23521,1302.15171
597,32009,NV,Esmeralda County,9,117,286380
598,35011,NM,DeBaca County,9,378,315194
599,13079,GA,Crawford County,3,2355,153909
600,42033,PA,Clearfield County,4,10543,119283
601,13159,GA,Jasper County,1,2282,153909
602,1087,AL,Macon County,6,5183,135765
603,2240,AK,Southeast Fairbanks Census Area,8,804,1717856
604,31159,NE,Seward County,2,1252,200520
605,17043,IL,DuPage County,1,64330,149998
606,28037,MS,Franklin County,9,1554,125443
607,48359,TX,Oldham County,8,261,696241
608,8085,CO,Montrose County,7,6716,269837
609,25011,MA,Franklin County,2,6926,27336
610,46021,SD,Campbell County,9,131,964.497168
611,18149,IN,Starke County,6,3694,94321
612,53059,WA,Skamania County,1,1543,184827
613,20011,KS,Bourbon County,6,2465,213100
614,13307,GA,Webster County,8,539,153909
615,48449,TX,Titus County,7,4749,696241
616,54097,WV,Upshur County,7,4705,62755
617,19005,IA,Allamakee County,6,1786,145746
618,47095,TN,Lake County,9,2151,109247
619,47163,TN,Sullivan County,3,25304,109247
620,41027,OR,Hood River County,6,2459,255026
621,31155,NE,Saunders County,2,1524,200520
622,38069,ND,Pierce County,7,522,183108
623,21101,KY,Henderson County,2,7739,104659
624,31111,NE,Lincoln County,5,3272,200520
625,20175,KS,Seward County,7,3017,213100
626,26127,MI,Oceana County,8,4630,250493
627,42121,PA,Venango County,4,7507,119283
628,32011,NV,Eureka County,9,189,286380
