d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,shares border with
199,28111,MS,Perry County,3,2599,7
200,51169,VA,Scott County,3,4103,7
201,26003,MI,Alger County,9,1140,5
202,42063,PA,Indiana County,4,16198,5
203,37137,NC,Pamlico County,9,2230,4
204,37133,NC,Onslow County,3,23670,4
205,20091,KS,Johnson County,1,32380,6
206,39101,OH,Marion County,4,8673,
207,12107,FL,Putnam County,4,15220,7
208,28159,MS,Winston County,7,4070,1
209,8029,CO,Delta County,6,5300,1
210,55111,WI,Sauk County,4,6381,7
211,18111,IN,Newton County,1,1666,6
212,12037,FL,Franklin County,6,2337,6
213,27117,MN,Pipestone County,6,975,1
214,19045,IA,Clinton County,4,6272,7
215,37055,NC,Dare County,5,3909,3
216,37099,NC,Jackson County,6,8051,4
217,36103,NY,Suffolk County,1,111341,1
218,16039,ID,Elmore County,4,3531,2
219,30033,MT,Garfield County,9,181,6
220,5137,AR,Stone County,9,2697,2
221,51009,VA,Amherst County,3,4340,6
222,41069,OR,Wheeler County,9,258,
223,5029,AR,Conway County,6,3903,2
224,17097,IL,Lake County,1,59478,6
225,51125,VA,Nelson County,3,1865,6
226,48477,TX,Washington County,6,4641,16
227,53027,WA,Grays Harbor County,4,10437,5
228,35037,NM,Quay County,7,2044,10
229,48451,TX,Tom Green County,3,15144,4
230,42061,PA,Huntingdon County,6,5522,7
231,47123,TN,Monroe County,6,8753,2
232,27037,MN,Dakota County,1,23278,7
233,36049,NY,Lewis County,6,4191,8
234,6015,CA,Del Norte County,7,5842,4
235,8119,CO,Teller County,2,2278,2
236,29149,MO,Oregon County,9,2640,2
237,29161,MO,Phelps County,5,8126,6
238,31181,NE,Webster County,9,447,7
239,8033,CO,Dolores County,9,271,3
240,13011,GA,Banks County,8,2845,6
241,55019,WI,Clark County,8,4676,5
242,18005,IN,Bartholomew County,3,9336,6
243,17033,IL,Crawford County,6,2571,2
244,24037,MD,St. Mary's County,4,9977,6
245,31023,NE,Butler County,6,702,7
246,16025,ID,Camas County,9,106,2
247,38063,ND,Nelson County,8,333,6
248,37015,NC,Bertie County,9,4438,6
249,8014,CO,Broomfield County,1,3518,
250,56027,WY,Niobrara County,9,318,7
251,17163,IL,St. Clair County,1,39745,3
252,28121,MS,Rankin County,2,13745,5
253,36085,NY,Richmond County,1,62030,6
254,51185,VA,Tazewell County,7,7281,6
255,37167,NC,Stanly County,6,7733,6
256,20165,KS,Rush County,9,360,6
257,20043,KS,Doniphan County,3,989,2
258,54071,WV,Pendleton County,8,1126,7
259,55097,WI,Portage County,4,7684,6
260,19031,IA,Cedar County,6,1207,2
261,48251,TX,Johnson County,1,18049,6
262,49009,UT,Daggett County,8,84,2
263,28007,MS,Attala County,6,4428,3
264,55027,WI,Dodge County,4,8012,7
265,28005,MS,Amite County,8,2951,7
266,47107,TN,McMinn County,4,8740,6
267,19153,IA,Polk County,2,50628,3
268,31169,NE,Thayer County,9,551,2
269,21215,KY,Spencer County,1,1601,1
270,5139,AR,Union County,5,7603,
271,54049,WV,Marion County,4,9690,
272,8099,CO,Prowers County,7,2421,2
273,13125,GA,Glascock County,9,539,4
274,21033,KY,Caldwell County,6,2523,6
275,31025,NE,Cass County,2,1920,8
276,20111,KS,Lyon County,5,5212,7
277,29171,MO,Putnam County,9,837,7
278,19069,IA,Franklin County,7,1157,6
279,8103,CO,Rio Blanco County,9,591,2
280,21195,KY,Pike County,7,18486,8
281,29071,MO,Franklin County,1,10901,6
282,16067,ID,Minidoka County,7,3243,2
283,17065,IL,Hamilton County,7,1144,7
284,20061,KS,Geary County,5,4031,2
285,31017,NE,Brown County,9,401,7
286,39157,OH,Tuscarawas County,4,11525,6
287,39033,OH,Crawford County,4,5753,2
288,26141,MI,Presque Isle County,7,1852,5
289,54077,WV,Preston County,3,5455,7
290,26033,MI,Chippewa County,5,5278,3
291,51680,VA,Lynchburg city,3,12336,
292,8053,CO,Hinsdale County,9,77,7
293,6031,CA,Kings County,3,23247,5
294,46129,SD,Walworth County,7,810,7
295,2261,AK,Valdez-Cordova Census Area,9,852,1
296,39113,OH,Montgomery County,2,93949,9
297,42029,PA,Chester County,1,35349,6
298,21115,KY,Johnson County,7,5814,6
299,39093,OH,Lorain County,1,36828,5
300,21207,KY,Russell County,9,4361,7
301,54001,WV,Barbour County,7,3514,6
302,51019,VA,Bedford County,3,7445,6
303,36123,NY,Yates County,6,3340,4
304,51027,VA,Buchanan County,9,5274,6
305,39099,OH,Mahoning County,2,41625,6
306,1051,AL,Elmore County,2,10316,2
307,28049,MS,Hinds County,2,48244,3
308,55125,WI,Vilas County,9,2676,6
309,46101,SD,Moody County,8,676,4
310,13071,GA,Colquitt County,6,11252,6
311,19013,IA,Black Hawk County,3,20556,6
312,53001,WA,Adams County,6,3710,6
313,13117,GA,Forsyth County,1,12468,7
314,48137,TX,Edwards County,9,443,6
315,53017,WA,Douglas County,3,5260,4
316,46083,SD,Lincoln County,3,2007,6
317,48077,TX,Clay County,3,1345,20
318,45083,SC,Spartanburg County,2,45637,6
319,2013,AK,Aleutians East Borough,9,487,1
320,53009,WA,Clallam County,5,11110,1
321,17193,IL,White County,6,2246,7
322,18009,IN,Blackford County,6,1530,4
323,1063,AL,Greene County,3,2845,6
324,48195,TX,Hansford County,7,730,5
325,26009,MI,Antrim County,9,2686,5
326,48331,TX,Milam County,6,3959,6
327,22053,LA,Jefferson Davis Parish,6,5933,2
328,47187,TN,Williamson County,1,11292,7
329,13197,GA,Marion County,2,1975,
330,51159,VA,Richmond County,9,1399,6
331,51193,VA,Westmoreland County,7,2581,8
332,37105,NC,Lee County,4,9869,4
333,47133,TN,Overton County,7,4066,5
334,5121,AR,Randolph County,7,3229,7
335,5037,AR,Cross County,6,3252,2
336,48131,TX,Duval County,7,2857,4
337,38015,ND,Burleigh County,3,6505,4
338,12065,FL,Jefferson County,2,2398,6
339,40105,OK,Nowata County,6,1776,5
340,13103,GA,Effingham County,2,5949,6
341,16047,ID,Gooding County,7,2083,2
342,27089,MN,Marshall County,8,903,2
343,48371,TX,Pecos County,7,2376,7
344,48411,TX,San Saba County,7,1062,7
345,22043,LA,Grant Parish,3,4160,4
346,36037,NY,Genesee County,4,6475,3
347,46123,SD,Tripp County,7,928,3
348,18001,IN,Adams County,6,5271,6
349,18163,IN,Vanderburgh County,2,30462,1
350,49001,UT,Beaver County,9,572,5
351,48155,TX,Foard County,9,207,3
352,5141,AR,Van Buren County,8,2737,6
353,54057,WV,Mineral County,3,4156,5
354,21149,KY,McLean County,3,1619,3
355,18029,IN,Dearborn County,1,3988,6
356,26073,MI,Isabella County,5,15118,2
357,47111,TN,Macon County,1,4117,7
358,24025,MD,Harford County,1,17769,5
359,26039,MI,Crawford County,7,2892,2
360,48467,TX,Van Zandt County,6,7921,6
361,2158,AK,Kusilvak Census Area,9,3033,1
362,51063,VA,Floyd County,8,2129,5
363,29229,MO,Wright County,6,4355,6
364,39095,OH,Lucas County,2,83600,6
365,39035,OH,Cuyahoga County,1,223636,6
366,17179,IL,Tazewell County,2,11526,6
367,18131,IN,Pulaski County,6,1435,3
368,40141,OK,Tillman County,6,1689,6
369,28135,MS,Tallahatchie County,7,4430,2
370,51115,VA,Mathews County,1,880,3
371,12111,FL,St. Lucie County,2,51657,3
372,30059,MT,Meagher County,9,322,8
373,41053,OR,Polk County,2,9681,3
374,38053,ND,McKenzie County,9,981,7
375,34017,NJ,Hudson County,1,104660,7
376,48269,TX,King County,9,31,5
377,37065,NC,Edgecombe County,3,12514,5
378,18091,IN,La Porte County,3,16218,1
379,28085,MS,Lincoln County,6,6763,6
380,26023,MI,Branch County,6,6969,4
381,17187,IL,Warren County,7,2213,4
382,5071,AR,Johnson County,6,4699,6
383,31139,NE,Pierce County,9,674,6
384,50005,VT,Caledonia County,7,3929,6
385,28103,MS,Noxubee County,7,3434,2
386,37063,NC,Durham County,2,47269,5
387,13231,GA,Pike County,1,2074,8
388,26017,MI,Bay County,3,15716,2
389,51073,VA,Gloucester County,1,3449,7
390,17131,IL,Mercer County,2,1581,7
391,56023,WY,Lincoln County,7,1631,6
392,18137,IN,Ripley County,6,3448,2
393,48341,TX,Moore County,6,2596,9
394,5143,AR,Washington County,2,34567,16
395,27029,MN,Clearwater County,8,1432,2
396,47113,TN,Madison County,3,17777,5
397,29179,MO,Reynolds County,9,1397,2
398,35033,NM,Mora County,8,1130,5
399,46085,SD,Lyman County,9,860,10
400,13099,GA,Early County,6,3210,7
401,13253,GA,Seminole County,6,1948,4
402,6005,CA,Amador County,6,3846,5
403,18147,IN,Spencer County,8,1847,1
404,28063,MS,Jefferson County,7,2321,6
405,47131,TN,Obion County,7,5604,6
406,17027,IL,Clinton County,1,3330,7
407,13139,GA,Hall County,3,26561,9
408,46049,SD,Faulk County,9,298,5
409,38095,ND,Towner County,9,238,8
410,13085,GA,Dawson County,1,2373,2
411,46127,SD,Union County,3,981,
412,48027,TX,Bell County,2,42739,7
413,13305,GA,Wayne County,6,6217,3
414,13023,GA,Bleckley County,6,2514,6
415,30049,MT,Lewis and Clark County,5,6858,7
416,50013,VT,Grand Isle County,3,609,4
417,13153,GA,Houston County,3,22347,7
418,5113,AR,Polk County,7,4660,3
419,37147,NC,Pitt County,3,36594,7
420,29041,MO,Chariton County,9,966,7
421,48275,TX,Knox County,9,781,3
422,40087,OK,McClain County,1,4137,5
423,29007,MO,Audrain County,6,4019,8
424,48391,TX,Refugio County,6,1128,6
425,20089,KS,Jewell County,9,363,7
426,45045,SC,Greenville County,2,53113,8
427,17045,IL,Edgar County,6,2350,6
428,21091,KY,Hancock County,3,1100,4
429,31037,NE,Colfax County,7,1005,5
430,48099,TX,Coryell County,2,8991,2
431,1061,AL,Geneva County,3,5495,2
432,17047,IL,Edwards County,9,715,6
433,13295,GA,Walker County,2,12349,2
434,51089,VA,Henry County,4,9333,1
435,32005,NV,Douglas County,4,4631,4
436,5135,AR,Sharp County,7,3610,2
437,39007,OH,Ashtabula County,4,17202,5
438,8113,CO,San Miguel County,9,811,3
439,12021,FL,Collier County,2,41076,5
440,26117,MI,Montcalm County,6,9381,2
441,40121,OK,Pittsburg County,5,6007,7
442,8079,CO,Mineral County,9,68,5
443,16075,ID,Payette County,6,3639,2
444,42069,PA,Lackawanna County,2,28739,5
445,28123,MS,Scott County,6,6303,7
446,29223,MO,Wayne County,9,3370,3
447,24510,MD,Baltimore city,1,128752,3
448,31047,NE,Dawson County,7,2966,2
449,42083,PA,Mc Kean County,7,6711,
450,16021,ID,Boundary County,7,1973,3
451,29173,MO,Ralls County,9,1109,5
452,16073,ID,Owyhee County,2,1942,3
453,39001,OH,Adams County,6,5543,6
454,2070,AK,Dillingham Census Area,9,965,1
455,15009,HI,Maui County,5,15578,2
456,1097,AL,Mobile County,2,79364,2
457,17021,IL,Christian County,6,4013,3
458,30035,MT,Glacier County,7,3792,3
459,28099,MS,Neshoba County,7,6517,4
460,37011,NC,Avery County,8,2985,7
461,27087,MN,Mahnomen County,8,941,4
462,18073,IN,Jasper County,1,3032,2
463,27025,MN,Chisago County,1,3554,5
464,29185,MO,St. Clair County,8,1868,3
465,13043,GA,Candler County,7,2647,5
466,31175,NE,Valley County,9,479,6
467,22007,LA,Assumption Parish,6,4761,8
468,38061,ND,Mountrail County,9,964,6
469,18141,IN,St. Joseph County,2,41889,1
470,26035,MI,Clare County,7,6496,2
471,13243,GA,Randolph County,6,2063,7
472,20095,KS,Kingman County,6,778,6
473,55099,WI,Price County,9,1482,8
474,20121,KS,Miami County,1,2644,5
475,55015,WI,Calumet County,3,2462,6
476,17025,IL,Clay County,7,2085,20
477,21233,KY,Webster County,2,2311,7
478,36045,NY,Jefferson County,4,16468,6
479,17175,IL,Stark County,2,652,8
480,39065,OH,Hardin County,6,3906,8
481,12019,FL,Clay County,1,19785,20
482,22055,LA,Lafayette Parish,3,42781,5
483,21213,KY,Simpson County,6,2663,3
484,35023,NM,Hidalgo County,7,1129,1
485,31099,NE,Kearney County,7,584,2
486,51145,VA,Powhatan County,1,1779,5
487,56037,WY,Sweetwater County,5,4264,8
488,51085,VA,Hanover County,1,5900,7
489,37059,NC,Davie County,2,4820,5
490,22033,LA,East Baton Rouge Parish,2,86888,2
491,21155,KY,Marion County,6,3750,
492,39153,OH,Summit County,2,72687,8
493,35049,NM,Santa Fe County,3,20463,7
494,8001,CO,Adams County,1,57811,6
495,42087,PA,Mifflin County,4,6711,5
496,19059,IA,Dickinson County,7,1332,3
497,25023,MA,Plymouth County,1,39977,4
498,47159,TN,Smith County,1,2801,7
499,31123,NE,Morrill County,9,775,2
500,26061,MI,Houghton County,5,6762,4
501,42051,PA,Fayette County,1,22645,5
502,48029,TX,Bexar County,1,306859,7
503,35017,NM,Grant County,7,6308,8
504,28113,MS,Pike County,7,11649,8
505,13255,GA,Spalding County,1,14243,8
506,47041,TN,DeKalb County,6,3760,5
507,27105,MN,Nobles County,7,2500,2
508,19055,IA,Delaware County,6,1626,8
509,34025,NJ,Monmouth County,1,43866,3
510,41015,OR,Curry County,7,3171,2
511,53041,WA,Lewis County,4,11155,8
512,42043,PA,Dauphin County,2,30247,8
513,29121,MO,Macon County,7,2416,7
514,33013,NH,Merrimack County,4,10532,6
515,17107,IL,Logan County,6,3450,4
516,17183,IL,Vermilion County,3,15183,8
517,31127,NE,Nemaha County,7,868,6
518,17015,IL,Carroll County,7,1798,24
519,19163,IA,Scott County,2,22602,7
520,31049,NE,Deuel County,9,213,7
521,48145,TX,Falls County,6,3915,5
522,5005,AR,Baxter County,7,5144,6
523,39131,OH,Pike County,7,5660,8
524,16019,ID,Bonneville County,3,13072,3
525,12007,FL,Bradford County,6,4392,7
526,19115,IA,Louisa County,8,1253,6
527,21123,KY,Larue County,3,2312,
528,21205,KY,Rowan County,7,5389,7
529,55033,WI,Dunn County,6,5164,7
530,16041,ID,Franklin County,3,1239,6
531,48465,TX,Val Verde County,5,9703,6
532,27061,MN,Itasca County,6,5898,2
533,53013,WA,Columbia County,6,543,7
534,38089,ND,Stark County,7,2433,8
535,21131,KY,Leslie County,9,3265,4
536,46009,SD,Bon Homme County,9,811,4
537,50007,VT,Chittenden County,3,14667,7
538,30017,MT,Custer County,7,1318,2
539,37037,NC,Chatham County,2,8384,3
540,1113,AL,Russell County,2,11108,7
541,34021,NJ,Mercer County,2,39066,7
542,48479,TX,Webb County,3,85150,3
543,39167,OH,Washington County,3,8100,16
544,16055,ID,Kootenai County,3,22165,2
545,41061,OR,Union County,7,4058,
546,36113,NY,Warren County,3,7479,4
547,18107,IN,Montgomery County,6,4157,9
548,13311,GA,White County,8,4030,7
549,47001,TN,Anderson County,2,10753,6
550,26095,MI,Luce County,7,1092,2
551,19173,IA,Taylor County,9,751,6
552,51127,VA,New Kent County,1,1202,6
553,54093,WV,Tucker County,9,1067,4
554,40045,OK,Ellis County,9,523,7
555,2020,AK,Anchorage Borough,2,21108,
556,48469,TX,Victoria County,3,12900,6
557,31163,NE,Sherman County,9,368,1
558,13111,GA,Fannin County,8,3485,7
559,39151,OH,Stark County,2,48072,8
560,35059,NM,Union County,9,705,
561,21025,KY,Breathitt County,7,4466,6
562,19149,IA,Plymouth County,6,2091,4
563,10005,DE,Sussex County,4,25212,5
564,6105,CA,Trinity County,8,2668,5
565,20125,KS,Montgomery County,5,5953,9
566,26165,MI,Wexford County,7,5812,7
567,20101,KS,Lane County,9,164,6
568,5011,AR,Bradley County,6,2544,6
569,26129,MI,Ogemaw County,9,3564,4
570,23017,ME,Oxford County,6,7565,6
571,28155,MS,Webster County,9,2002,7
572,39061,OH,Hamilton County,1,126002,7
573,42023,PA,Cameron County,7,655,1
574,13183,GA,Long County,3,3365,4
575,51775,VA,Salem city,2,2160,
576,41029,OR,Jackson County,3,31189,4
577,18019,IN,Clark County,1,11983,5
578,36017,NY,Chenango County,6,7248,5
579,36093,NY,Schenectady County,2,17158,4
580,33011,NH,Hillsborough County,2,31972,7
581,21171,KY,Monroe County,9,2409,2
582,18077,IN,Jefferson County,6,4061,6
583,21169,KY,Metcalfe County,9,2244,6
584,26135,MI,Oscoda County,9,1522,8
585,12093,FL,Okeechobee County,4,7547,9
586,5059,AR,Hot Spring County,6,4541,2
587,27107,MN,Norman County,8,777,3
588,42071,PA,Lancaster County,2,56082,7
589,30071,MT,Phillips County,9,631,5
590,46025,SD,Clark County,9,398,5
591,12103,FL,Pinellas County,1,125923,2
592,48365,TX,Panola County,6,3598,1
593,1059,AL,Franklin County,6,6272,6
594,48205,TX,Hartley County,9,452,5
595,1045,AL,Dale County,4,9936,1
596,22109,LA,Terrebonne Parish,3,23521,3
597,32009,NV,Esmeralda County,9,117,4
598,35011,NM,DeBaca County,9,378,2
599,13079,GA,Crawford County,3,2355,2
600,42033,PA,Clearfield County,4,10543,8
601,13159,GA,Jasper County,1,2282,2
602,1087,AL,Macon County,6,5183,7
603,2240,AK,Southeast Fairbanks Census Area,8,804,5
604,31159,NE,Seward County,2,1252,12
605,17043,IL,DuPage County,1,64330,2
606,28037,MS,Franklin County,9,1554,6
607,48359,TX,Oldham County,8,261,3
608,8085,CO,Montrose County,7,6716,4
609,25011,MA,Franklin County,2,6926,6
610,46021,SD,Campbell County,9,131,6
611,18149,IN,Starke County,6,3694,2
612,53059,WA,Skamania County,1,1543,7
613,20011,KS,Bourbon County,6,2465,3
614,13307,GA,Webster County,8,539,7
615,48449,TX,Titus County,7,4749,2
616,54097,WV,Upshur County,7,4705,5
617,19005,IA,Allamakee County,6,1786,6
618,47095,TN,Lake County,9,2151,6
619,47163,TN,Sullivan County,3,25304,5
620,41027,OR,Hood River County,6,2459,5
621,31155,NE,Saunders County,2,1524,2
622,38069,ND,Pierce County,7,522,6
623,21101,KY,Henderson County,2,7739,6
624,31111,NE,Lincoln County,5,3272,6
625,20175,KS,Seward County,7,3017,12
626,26127,MI,Oceana County,8,4630,2
627,42121,PA,Venango County,4,7507,6
628,32011,NV,Eureka County,9,189,2
629,54031,WV,Hardy County,8,2096,7
630,21137,KY,Lincoln County,7,5499,6
631,6081,CA,San Mateo County,1,50438,4
632,15007,HI,Kauai County,5,5716,1
633,27057,MN,Hubbard County,7,2677,5
634,42017,PA,Bucks County,1,40872,8
635,18129,IN,Posey County,2,2192,6
636,51810,VA,Virginia Beach city,1,36494,
637,39119,OH,Muskingum County,4,12435,6
638,42103,PA,Pike County,1,5397,8
639,48505,TX,Zapata County,6,4162,2
640,47039,TN,Decatur County,9,2164,6
641,37193,NC,Wilkes County,6,11378,8
642,53067,WA,Thurston County,3,28354,4
643,34041,NJ,Warren County,2,8708,4
644,8065,CO,Lake County,7,1093,6
645,13283,GA,Treutlen County,7,1717,6
646,13285,GA,Troup County,4,13731,6
647,31055,NE,Douglas County,2,67359,4
648,27125,MN,Red Lake County,8,390,1
649,45009,SC,Bamberg County,7,3885,6
650,12073,FL,Leon County,2,52124,7
651,21061,KY,Edmonson County,3,2668,1
652,48053,TX,Burnet County,6,5181,7
653,47009,TN,Blount County,2,14401,6
654,17125,IL,Mason County,6,1996,5
655,47105,TN,Loudon County,2,5414,5
656,48393,TX,Roberts County,9,60,2
657,19073,IA,Greene County,6,998,6
658,37177,NC,Tyrrell County,9,966,7
659,21173,KY,Montgomery County,6,4881,9
660,48115,TX,Dawson County,7,2508,2
661,5125,AR,Saline County,2,10160,3
662,48213,TX,Henderson County,4,13151,6
