d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,motto text,population
120,42039,PA,Crawford County,4,11832,"Virtue, liberty, and independence",24543
121,45069,SC,Marlboro County,6,6743,Dum spiro spero,28003
122,48299,TX,Llano County,7,2701,Friendship,19444
123,53051,WA,Pend Oreille County,8,2103,bye and bye,12896
124,48487,TX,Wilbarger County,6,1981,Friendship,13131
125,37191,NC,Wayne County,3,24889,Esse quam videri,1775273
126,51199,VA,York County,1,3417,Sic semper tyrannis,199431
127,27085,MN,McLeod County,6,2613,LՃtoile du Nord,35918
128,48335,TX,Mitchell County,7,1473,Friendship,15328
129,2050,AK,Bethel Census Area,7,4502,North to the Future,17758
130,48291,TX,Liberty County,1,12164,Friendship,76907
131,28125,MS,Sharkey County,9,1567,Virtute et armis,4708
132,6067,CA,Sacramento County,1,243760,Eureka,1462131
133,51031,VA,Campbell County,3,7220,Sic semper tyrannis,48176
134,31053,NE,Dodge County,4,4131,Equality before the law,88344
135,48389,TX,Reeves County,7,2943,Friendship,13965
136,47103,TN,Lincoln County,6,5546,Agriculture and Commerce,5245
137,40019,OK,Carter County,5,7799,Labor omnia vincit,1174
138,39085,OH,Lake County,1,19364,The Heart of It All,63860
139,51195,VA,Wise County,7,8525,Sic semper tyrannis,60939
140,47077,TN,Henderson County,6,4777,Agriculture and Commerce,109540
141,31141,NE,Platte County,5,2920,Equality before the law,8765
142,6061,CA,Placer County,1,27340,Eureka,367309
143,13165,GA,Jenkins County,6,2606,"Wisdom, Justice, Moderation",9269
144,49049,UT,Utah County,2,66112,Industry,551891
145,28161,MS,Yalobusha County,7,2812,Virtute et armis,12373
146,34005,NJ,Burlington County,1,27083,Liberty and prosperity,450838
147,17019,IL,Champaign County,3,36364,"State sovereignty, national union",204897
148,13061,GA,Clay County,9,1040,"Wisdom, Justice, Moderation",10584
149,37053,NC,Currituck County,1,2616,Esse quam videri,24396
150,17011,IL,Bureau County,6,3775,"State sovereignty, national union",34056
151,31109,NE,Lancaster County,2,35993,Equality before the law,529600
152,39141,OH,Ross County,4,13224,The Heart of It All,77910
153,37107,NC,Lenoir County,4,11637,Esse quam videri,58914
154,30019,MT,Daniels County,9,176,Oro y Plata,1791
155,2110,AK,Juneau Borough,5,2334,North to the Future,
156,47091,TN,Johnson County,6,4038,Agriculture and Commerce,8628
157,48143,TX,Erath County,7,7361,Friendship,39658
158,20161,KS,Riley County,5,11709,Ad astra per aspera,75394
159,5077,AR,Lee County,6,2701,Regnat populus,661115
160,27103,MN,Nicollet County,5,2490,LՃtoile du Nord,33032
161,1091,AL,Marengo County,7,5003,Audemus iura nostra defendere,20155
162,30063,MT,Missoula County,3,17206,Oro y Plata,111807
163,48185,TX,Grimes County,6,4124,Friendship,26859
164,47167,TN,Tipton County,1,9698,Agriculture and Commerce,61586
165,26093,MI,Livingston County,1,10912,Si quaeris peninsulam amoenam circumspice,184443
166,48259,TX,Kendall County,1,3119,Friendship,37766
167,56039,WY,Teton County,7,1680,Equal Rights,22268
168,5093,AR,Mississippi County,4,10307,Regnat populus,44765
169,22019,LA,Calcasieu Parish,3,39035,,195296
170,48243,TX,Jeff Davis County,9,274,Friendship,2253
171,6027,CA,Inyo County,7,2184,Eureka,18467
172,48093,TX,Comanche County,7,2271,Friendship,124937
173,1001,AL,Autauga County,2,7444,Audemus iura nostra defendere,54571
174,19183,IA,Washington County,3,2161,Our liberties we prize and our rights we will maintain,32190
175,8003,CO,Alamosa County,7,3816,Nil sine numine,16253
176,31087,NE,Hitchcock County,9,360,Equality before the law,2872
177,29061,MO,Daviess County,8,1357,Salus populi suprema lex esto,98218
178,26025,MI,Calhoun County,3,21973,Si quaeris peninsulam amoenam circumspice,135012
179,9013,CT,Tolland County,1,9786,Qui transtulit sustinet,151377
180,29069,MO,Dunklin County,7,8089,Salus populi suprema lex esto,31712
181,24041,MD,Talbot County,6,3827,"Fatti maschii, parole femine",37931
182,13115,GA,Floyd County,3,14596,"Wisdom, Justice, Moderation",38728
183,48401,TX,Rusk County,3,7461,Friendship,53622
184,1065,AL,Hale County,3,3495,Audemus iura nostra defendere,15406
185,54013,WV,Calhoun County,8,1586,Montani semper liberi,135012
186,48043,TX,Brewster County,7,1365,Friendship,9286
187,1029,AL,Cleburne County,8,2527,Audemus iura nostra defendere,25686
188,4005,AZ,Coconino County,3,23116,Ditat Deus,136539
189,8023,CO,Costilla County,9,1128,Nil sine numine,3518
190,6075,CA,San Francisco County,1,87690,Eureka,805235
191,48019,TX,Bandera County,1,3138,Friendship,20601
192,17181,IL,Union County,7,2957,"State sovereignty, national union",25652
193,5087,AR,Madison County,2,2910,Regnat populus,7712
194,51133,VA,Northumberland County,9,1632,Sic semper tyrannis,94076
195,8061,CO,Kiowa County,9,189,Nil sine numine,9341
196,48165,TX,Gaines County,7,2982,Friendship,18921
197,6007,CA,Butte County,3,43428,Eureka,222090
198,13213,GA,Murray County,3,7055,"Wisdom, Justice, Moderation",13712
199,28111,MS,Perry County,3,2599,Virtute et armis,28010
200,51169,VA,Scott County,3,4103,Sic semper tyrannis,22015
201,26003,MI,Alger County,9,1140,Si quaeris peninsulam amoenam circumspice,9522
202,42063,PA,Indiana County,4,16198,"Virtue, liberty, and independence",87745
203,37137,NC,Pamlico County,9,2230,Esse quam videri,12953
204,37133,NC,Onslow County,3,23670,Esse quam videri,185220
205,20091,KS,Johnson County,1,32380,Ad astra per aspera,8628
206,39101,OH,Marion County,4,8673,The Heart of It All,323614
207,12107,FL,Putnam County,4,15220,In God We Trust,72577
208,28159,MS,Winston County,7,4070,Virtute et armis,24146
209,8029,CO,Delta County,6,5300,Nil sine numine,30483
210,55111,WI,Sauk County,4,6381,Forward,63162
211,18111,IN,Newton County,1,1666,The Crossroads of America,8064
212,12037,FL,Franklin County,6,2337,In God We Trust,71221
213,27117,MN,Pipestone County,6,975,LՃtoile du Nord,9270
214,19045,IA,Clinton County,4,6272,Our liberties we prize and our rights we will maintain,81591
215,37055,NC,Dare County,5,3909,Esse quam videri,35019
216,37099,NC,Jackson County,6,8051,Esse quam videri,208545
217,36103,NY,Suffolk County,1,111341,Excelsior,1499738
218,16039,ID,Elmore County,4,3531,Esto perpetua,26170
219,30033,MT,Garfield County,9,181,Oro y Plata,5083
220,5137,AR,Stone County,9,2697,Regnat populus,12581
221,51009,VA,Amherst County,3,4340,Sic semper tyrannis,32178
222,41069,OR,Wheeler County,9,258,Alis volat propriis,1381
223,5029,AR,Conway County,6,3903,Regnat populus,21245
224,17097,IL,Lake County,1,59478,"State sovereignty, national union",63860
225,51125,VA,Nelson County,3,1865,Sic semper tyrannis,14789
226,48477,TX,Washington County,6,4641,Friendship,32190
227,53027,WA,Grays Harbor County,4,10437,bye and bye,71078
228,35037,NM,Quay County,7,2044,Crescit eundo,8662
229,48451,TX,Tom Green County,3,15144,Friendship,114954
230,42061,PA,Huntingdon County,6,5522,"Virtue, liberty, and independence",45694
231,47123,TN,Monroe County,6,8753,Agriculture and Commerce,76351
232,27037,MN,Dakota County,1,23278,LՃtoile du Nord,408509
233,36049,NY,Lewis County,6,4191,Excelsior,75081
234,6015,CA,Del Norte County,7,5842,Eureka,27873
235,8119,CO,Teller County,2,2278,Nil sine numine,23275
236,29149,MO,Oregon County,9,2640,Salus populi suprema lex esto,10996
237,29161,MO,Phelps County,5,8126,Salus populi suprema lex esto,44807
238,31181,NE,Webster County,9,447,Equality before the law,8893
239,8033,CO,Dolores County,9,271,Nil sine numine,2029
240,13011,GA,Banks County,8,2845,"Wisdom, Justice, Moderation",18415
241,55019,WI,Clark County,8,4676,Forward,2027868
242,18005,IN,Bartholomew County,3,9336,The Crossroads of America,79587
243,17033,IL,Crawford County,6,2571,"State sovereignty, national union",24543
244,24037,MD,St. Mary's County,4,9977,"Fatti maschii, parole femine",109633
245,31023,NE,Butler County,6,702,Equality before the law,371272
246,16025,ID,Camas County,9,106,Esto perpetua,1042
247,38063,ND,Nelson County,8,333,Serit ut alteri saeclo prosit,14789
248,37015,NC,Bertie County,9,4438,Esse quam videri,20344
249,8014,CO,Broomfield County,1,3518,Nil sine numine,
250,56027,WY,Niobrara County,9,318,Equal Rights,2541
251,17163,IL,St. Clair County,1,39745,"State sovereignty, national union",160469
252,28121,MS,Rankin County,2,13745,Virtute et armis,146767
253,36085,NY,Richmond County,1,62030,Excelsior,202003
254,51185,VA,Tazewell County,7,7281,Sic semper tyrannis,44103
255,37167,NC,Stanly County,6,7733,Esse quam videri,60635
256,20165,KS,Rush County,9,360,Ad astra per aspera,17004
257,20043,KS,Doniphan County,3,989,Ad astra per aspera,7851
258,54071,WV,Pendleton County,8,1126,Montani semper liberi,7471
259,55097,WI,Portage County,4,7684,Forward,70380
260,19031,IA,Cedar County,6,1207,Our liberties we prize and our rights we will maintain,13913
261,48251,TX,Johnson County,1,18049,Friendship,8628
262,49009,UT,Daggett County,8,84,Industry,1127
263,28007,MS,Attala County,6,4428,Virtute et armis,19317
264,55027,WI,Dodge County,4,8012,Forward,88344
265,28005,MS,Amite County,8,2951,Virtute et armis,12899
266,47107,TN,McMinn County,4,8740,Agriculture and Commerce,52341
267,19153,IA,Polk County,2,50628,Our liberties we prize and our rights we will maintain,31569
268,31169,NE,Thayer County,9,551,Equality before the law,5189
269,21215,KY,Spencer County,1,1601,Deo gratiam habeamus,20944
270,5139,AR,Union County,5,7603,Regnat populus,25652
271,54049,WV,Marion County,4,9690,Montani semper liberi,323614
272,8099,CO,Prowers County,7,2421,Nil sine numine,12291
273,13125,GA,Glascock County,9,539,"Wisdom, Justice, Moderation",3102
274,21033,KY,Caldwell County,6,2523,Deo gratiam habeamus,81990
275,31025,NE,Cass County,2,1920,Equality before the law,28555
276,20111,KS,Lyon County,5,5212,Ad astra per aspera,51557
277,29171,MO,Putnam County,9,837,Salus populi suprema lex esto,72577
278,19069,IA,Franklin County,7,1157,Our liberties we prize and our rights we will maintain,71221
279,8103,CO,Rio Blanco County,9,591,Nil sine numine,6807
280,21195,KY,Pike County,7,18486,Deo gratiam habeamus,63380
281,29071,MO,Franklin County,1,10901,Salus populi suprema lex esto,71221
282,16067,ID,Minidoka County,7,3243,Esto perpetua,20292
283,17065,IL,Hamilton County,7,1144,"State sovereignty, national union",4773
284,20061,KS,Geary County,5,4031,Ad astra per aspera,37384
285,31017,NE,Brown County,9,401,Equality before the law,37749
286,39157,OH,Tuscarawas County,4,11525,The Heart of It All,92672
287,39033,OH,Crawford County,4,5753,The Heart of It All,24543
288,26141,MI,Presque Isle County,7,1852,Si quaeris peninsulam amoenam circumspice,13062
289,54077,WV,Preston County,3,5455,Montani semper liberi,33859
290,26033,MI,Chippewa County,5,5278,Si quaeris peninsulam amoenam circumspice,38696
291,51680,VA,Lynchburg city,3,12336,Sic semper tyrannis,
292,8053,CO,Hinsdale County,9,77,Nil sine numine,813
293,6031,CA,Kings County,3,23247,Eureka,150960
294,46129,SD,Walworth County,7,810,,102945
295,2261,AK,Valdez-Cordova Census Area,9,852,North to the Future,9763
296,39113,OH,Montgomery County,2,93949,The Heart of It All,1058810
297,42029,PA,Chester County,1,35349,"Virtue, liberty, and independence",509468
298,21115,KY,Johnson County,7,5814,Deo gratiam habeamus,8628
299,39093,OH,Lorain County,1,36828,The Heart of It All,302827
300,21207,KY,Russell County,9,4361,Deo gratiam habeamus,28264
301,54001,WV,Barbour County,7,3514,Montani semper liberi,16770
302,51019,VA,Bedford County,3,7445,Sic semper tyrannis,49055
303,36123,NY,Yates County,6,3340,Excelsior,25156
304,51027,VA,Buchanan County,9,5274,Sic semper tyrannis,23597
305,39099,OH,Mahoning County,2,41625,The Heart of It All,233869
306,1051,AL,Elmore County,2,10316,Audemus iura nostra defendere,26170
307,28049,MS,Hinds County,2,48244,Virtute et armis,244899
308,55125,WI,Vilas County,9,2676,Forward,21368
309,46101,SD,Moody County,8,676,,6404
310,13071,GA,Colquitt County,6,11252,"Wisdom, Justice, Moderation",46275
311,19013,IA,Black Hawk County,3,20556,Our liberties we prize and our rights we will maintain,132546
312,53001,WA,Adams County,6,3710,bye and bye,3828
313,13117,GA,Forsyth County,1,12468,"Wisdom, Justice, Moderation",361220
314,48137,TX,Edwards County,9,443,Friendship,1884
315,53017,WA,Douglas County,3,5260,bye and bye,106940
316,46083,SD,Lincoln County,3,2007,,5245
317,48077,TX,Clay County,3,1345,Friendship,10584
318,45083,SC,Spartanburg County,2,45637,Dum spiro spero,290969
319,2013,AK,Aleutians East Borough,9,487,North to the Future,3341
320,53009,WA,Clallam County,5,11110,bye and bye,72312
321,17193,IL,White County,6,2246,"State sovereignty, national union",78483
322,18009,IN,Blackford County,6,1530,The Crossroads of America,12481
323,1063,AL,Greene County,3,2845,Audemus iura nostra defendere,68267
324,48195,TX,Hansford County,7,730,Friendship,5555
325,26009,MI,Antrim County,9,2686,Si quaeris peninsulam amoenam circumspice,23370
326,48331,TX,Milam County,6,3959,Friendship,24167
327,22053,LA,Jefferson Davis Parish,6,5933,,31301
328,47187,TN,Williamson County,1,11292,Agriculture and Commerce,198901
329,13197,GA,Marion County,2,1975,"Wisdom, Justice, Moderation",323614
330,51159,VA,Richmond County,9,1399,Sic semper tyrannis,202003
331,51193,VA,Westmoreland County,7,2581,Sic semper tyrannis,362437
332,37105,NC,Lee County,4,9869,Esse quam videri,661115
333,47133,TN,Overton County,7,4066,Agriculture and Commerce,22075
334,5121,AR,Randolph County,7,3229,Regnat populus,29415
335,5037,AR,Cross County,6,3252,Regnat populus,17548
336,48131,TX,Duval County,7,2857,Friendship,885855
337,38015,ND,Burleigh County,3,6505,Serit ut alteri saeclo prosit,88457
338,12065,FL,Jefferson County,2,2398,In God We Trust,659479
339,40105,OK,Nowata County,6,1776,Labor omnia vincit,10555
340,13103,GA,Effingham County,2,5949,"Wisdom, Justice, Moderation",54456
341,16047,ID,Gooding County,7,2083,Esto perpetua,15080
342,27089,MN,Marshall County,8,903,LՃtoile du Nord,94760
343,48371,TX,Pecos County,7,2376,Friendship,15697
344,48411,TX,San Saba County,7,1062,Friendship,6012
345,22043,LA,Grant Parish,3,4160,,22030
346,36037,NY,Genesee County,4,6475,Excelsior,415376
347,46123,SD,Tripp County,7,928,,5498
348,18001,IN,Adams County,6,5271,The Crossroads of America,3828
349,18163,IN,Vanderburgh County,2,30462,The Crossroads of America,181398
350,49001,UT,Beaver County,9,572,Industry,6459
351,48155,TX,Foard County,9,207,Friendship,1277
352,5141,AR,Van Buren County,8,2737,Regnat populus,16932
353,54057,WV,Mineral County,3,4156,Montani semper liberi,4614
354,21149,KY,McLean County,3,1619,Deo gratiam habeamus,9517
355,18029,IN,Dearborn County,1,3988,The Crossroads of America,49904
356,26073,MI,Isabella County,5,15118,Si quaeris peninsulam amoenam circumspice,70436
357,47111,TN,Macon County,1,4117,Agriculture and Commerce,33857
358,24025,MD,Harford County,1,17769,"Fatti maschii, parole femine",249215
359,26039,MI,Crawford County,7,2892,Si quaeris peninsulam amoenam circumspice,24543
360,48467,TX,Van Zandt County,6,7921,Friendship,52481
361,2158,AK,Kusilvak Census Area,9,3033,North to the Future,7977
362,51063,VA,Floyd County,8,2129,Sic semper tyrannis,38728
363,29229,MO,Wright County,6,4355,Salus populi suprema lex esto,128470
364,39095,OH,Lucas County,2,83600,The Heart of It All,436393
365,39035,OH,Cuyahoga County,1,223636,The Heart of It All,1263154
366,17179,IL,Tazewell County,2,11526,"State sovereignty, national union",44103
367,18131,IN,Pulaski County,6,1435,The Crossroads of America,391284
368,40141,OK,Tillman County,6,1689,Labor omnia vincit,7711
369,28135,MS,Tallahatchie County,7,4430,Virtute et armis,15081
370,51115,VA,Mathews County,1,880,Sic semper tyrannis,8897
371,12111,FL,St. Lucie County,2,51657,In God We Trust,286832
372,30059,MT,Meagher County,9,322,Oro y Plata,1937
373,41053,OR,Polk County,2,9681,Alis volat propriis,31569
374,38053,ND,McKenzie County,9,981,Serit ut alteri saeclo prosit,9314
375,34017,NJ,Hudson County,1,104660,Liberty and prosperity,660282
376,48269,TX,King County,9,31,Friendship,2044449
377,37065,NC,Edgecombe County,3,12514,Esse quam videri,55574
378,18091,IN,La Porte County,3,16218,The Crossroads of America,111281
379,28085,MS,Lincoln County,6,6763,Virtute et armis,5245
380,26023,MI,Branch County,6,6969,Si quaeris peninsulam amoenam circumspice,43649
381,17187,IL,Warren County,7,2213,"State sovereignty, national union",65337
382,5071,AR,Johnson County,6,4699,Regnat populus,8628
383,31139,NE,Pierce County,9,674,Equality before the law,819743
384,50005,VT,Caledonia County,7,3929,Stella quarta decima fulgeat,31157
385,28103,MS,Noxubee County,7,3434,Virtute et armis,11089
386,37063,NC,Durham County,2,47269,Esse quam videri,288133
387,13231,GA,Pike County,1,2074,"Wisdom, Justice, Moderation",63380
388,26017,MI,Bay County,3,15716,Si quaeris peninsulam amoenam circumspice,106832
389,51073,VA,Gloucester County,1,3449,Sic semper tyrannis,290265
390,17131,IL,Mercer County,2,1581,"State sovereignty, national union",61984
391,56023,WY,Lincoln County,7,1631,Equal Rights,5245
392,18137,IN,Ripley County,6,3448,The Crossroads of America,14032
393,48341,TX,Moore County,6,2596,Friendship,91587
394,5143,AR,Washington County,2,34567,Regnat populus,32190
395,27029,MN,Clearwater County,8,1432,LՃtoile du Nord,8577
396,47113,TN,Madison County,3,17777,Agriculture and Commerce,7712
397,29179,MO,Reynolds County,9,1397,Salus populi suprema lex esto,6599
398,35033,NM,Mora County,8,1130,Crescit eundo,4704
399,46085,SD,Lyman County,9,860,,3892
400,13099,GA,Early County,6,3210,"Wisdom, Justice, Moderation",10542
401,13253,GA,Seminole County,6,1948,"Wisdom, Justice, Moderation",436041
402,6005,CA,Amador County,6,3846,Eureka,36519
403,18147,IN,Spencer County,8,1847,The Crossroads of America,20944
404,28063,MS,Jefferson County,7,2321,Virtute et armis,659479
405,47131,TN,Obion County,7,5604,Agriculture and Commerce,31131
406,17027,IL,Clinton County,1,3330,"State sovereignty, national union",81591
407,13139,GA,Hall County,3,26561,"Wisdom, Justice, Moderation",187745
408,46049,SD,Faulk County,9,298,,2386
409,38095,ND,Towner County,9,238,Serit ut alteri saeclo prosit,2317
410,13085,GA,Dawson County,1,2373,"Wisdom, Justice, Moderation",9445
411,46127,SD,Union County,3,981,,25652
412,48027,TX,Bell County,2,42739,Friendship,326843
413,13305,GA,Wayne County,6,6217,"Wisdom, Justice, Moderation",1775273
414,13023,GA,Bleckley County,6,2514,"Wisdom, Justice, Moderation",12771
415,30049,MT,Lewis and Clark County,5,6858,Oro y Plata,65338
416,50013,VT,Grand Isle County,3,609,Stella quarta decima fulgeat,6970
417,13153,GA,Houston County,3,22347,"Wisdom, Justice, Moderation",22911
418,5113,AR,Polk County,7,4660,Regnat populus,31569
419,37147,NC,Pitt County,3,36594,Esse quam videri,174263
420,29041,MO,Chariton County,9,966,Salus populi suprema lex esto,7628
421,48275,TX,Knox County,9,781,Friendship,39550
422,40087,OK,McClain County,1,4137,Labor omnia vincit,36511
423,29007,MO,Audrain County,6,4019,Salus populi suprema lex esto,25661
424,48391,TX,Refugio County,6,1128,Friendship,7305
425,20089,KS,Jewell County,9,363,Ad astra per aspera,3046
426,45045,SC,Greenville County,2,53113,Dum spiro spero,474266
427,17045,IL,Edgar County,6,2350,"State sovereignty, national union",17960
428,21091,KY,Hancock County,3,1100,Deo gratiam habeamus,54845
429,31037,NE,Colfax County,7,1005,Equality before the law,13094
430,48099,TX,Coryell County,2,8991,Friendship,76192
431,1061,AL,Geneva County,3,5495,Audemus iura nostra defendere,26727
432,17047,IL,Edwards County,9,715,"State sovereignty, national union",1884
433,13295,GA,Walker County,2,12349,"Wisdom, Justice, Moderation",65998
434,51089,VA,Henry County,4,9333,Sic semper tyrannis,49044
435,32005,NV,Douglas County,4,4631,All For Our Country,106940
436,5135,AR,Sharp County,7,3610,Regnat populus,17049
437,39007,OH,Ashtabula County,4,17202,The Heart of It All,99811
438,8113,CO,San Miguel County,9,811,Nil sine numine,7678
439,12021,FL,Collier County,2,41076,In God We Trust,339642
