d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,area
66,37075,NC,Graham County,9,1675,12020
67,1089,AL,Madison County,2,47081,9331
68,53073,WA,Whatcom County,3,32082,6485
69,20167,KS,Russell County,7,1002,1235
70,48395,TX,Robertson County,3,3097,2242
71,12081,FL,Manatee County,2,47042,2312
72,18171,IN,Warren County,8,731,2413
73,48123,TX,DeWitt County,6,3462,2358
74,48133,TX,Eastland County,6,3475,2414
75,26123,MI,Newaygo County,2,8101,2231
76,21227,KY,Warren County,3,22037,2413
77,5129,AR,Searcy County,9,1814,1728
78,12013,FL,Calhoun County,6,2742,1861
79,55035,WI,Eau Claire County,3,12783,1671
80,22057,LA,Lafourche Parish,3,16447,3831
81,19053,IA,Decatur County,9,1469,893
82,13195,GA,Madison County,3,4255,9331
83,51097,VA,King and Queen County,1,960,845
84,28033,MS,DeSoto County,1,17819,1287
85,21239,KY,Woodford County,2,3099,543
86,27141,MN,Sherburne County,1,5703,1168
87,5067,AR,Jackson County,6,3587,7257
88,45065,SC,McCormick County,8,1538,1020
89,31015,NE,Boyd County,9,283,419
90,38071,ND,Ramsey County,7,1556,441
91,55049,WI,Iowa County,2,2063,1989
92,13263,GA,Talbot County,8,1447,1235
93,26013,MI,Baraga County,9,1235,2768
94,12059,FL,Holmes County,6,4276,1266
95,21063,KY,Elliott County,9,1998,609
96,42099,PA,Perry County,2,4082,887
97,54103,WV,Wetzel County,6,3023,361
98,26087,MI,Lapeer County,1,9324,1717
99,6045,CA,Mendocino County,4,16366,10044
100,19113,IA,Linn County,3,21613,5983
101,54091,WV,Taylor County,6,2678,2550
102,31045,NE,Dawes County,7,1366,3628
103,40065,OK,Jackson County,5,4756,7257
104,13181,GA,Lincoln County,8,1479,27549
105,48167,TX,Galveston County,1,41747,2261
106,38007,ND,Billings County,9,83,2987
107,36091,NY,Saratoga County,2,14094,2185
108,1103,AL,Morgan County,3,18457,1552
109,46053,SD,Gregory County,9,655,2728
110,1127,AL,Walker County,1,13097,2086
111,27131,MN,Rice County,4,5673,1337
112,28035,MS,Forrest County,3,18514,1218
113,33015,NH,Rockingham County,1,12681,2056
114,25005,MA,Bristol County,1,58070,1790
115,48267,TX,Kimble County,7,848,3240
116,13211,GA,Morgan County,6,2358,1552
117,1105,AL,Perry County,8,3066,887
118,27053,MN,Hennepin County,1,132137,1571
119,8035,CO,Douglas County,1,11114,13297
120,42039,PA,Crawford County,4,11832,1926
121,45069,SC,Marlboro County,6,6743,1257
122,48299,TX,Llano County,7,2701,2502
123,53051,WA,Pend Oreille County,8,2103,3692
124,48487,TX,Wilbarger County,6,1981,2533
125,37191,NC,Wayne County,3,24889,1741
126,51199,VA,York County,1,3417,1270
127,27085,MN,McLeod County,6,2613,1310
128,48335,TX,Mitchell County,7,1473,575
129,2050,AK,Bethel Census Area,7,4502,45504
130,48291,TX,Liberty County,1,12164,3046
131,28125,MS,Sharkey County,9,1567,1126
132,6067,CA,Sacramento County,1,243760,2578
133,51031,VA,Campbell County,3,7220,12436
134,31053,NE,Dodge County,4,4131,2349
135,48389,TX,Reeves County,7,2943,6843
136,47103,TN,Lincoln County,6,5546,27549
137,40019,OK,Carter County,5,7799,8672
138,39085,OH,Lake County,1,19364,3443
139,51195,VA,Wise County,7,8525,2391
140,47077,TN,Henderson County,6,4777,971
141,31141,NE,Platte County,5,2920,5467
142,6061,CA,Placer County,1,27340,3892
143,13165,GA,Jenkins County,6,2606,913
144,49049,UT,Utah County,2,66112,5545
145,28161,MS,Yalobusha County,7,2812,
146,34005,NJ,Burlington County,1,27083,2122
147,17019,IL,Champaign County,3,36364,2584
148,13061,GA,Clay County,9,1040,571
149,37053,NC,Currituck County,1,2616,1361
150,17011,IL,Bureau County,6,3775,2262
151,31109,NE,Lancaster County,2,35993,2548
152,39141,OH,Ross County,4,13224,1795
153,37107,NC,Lenoir County,4,11637,1041
154,30019,MT,Daniels County,9,176,3695
155,2110,AK,Juneau Borough,5,2334,
156,47091,TN,Johnson County,6,4038,10812
157,48143,TX,Erath County,7,7361,2823
158,20161,KS,Riley County,5,11709,1611
159,5077,AR,Lee County,6,2701,3139
160,27103,MN,Nicollet County,5,2490,1209
161,1091,AL,Marengo County,7,5003,2546
162,30063,MT,Missoula County,3,17206,6781
163,48185,TX,Grimes County,6,4124,2077
164,47167,TN,Tipton County,1,9698,1230
165,26093,MI,Livingston County,1,10912,1516
166,48259,TX,Kendall County,1,3119,1717
167,56039,WY,Teton County,7,1680,10934
168,5093,AR,Mississippi County,4,10307,2382
169,22019,LA,Calcasieu Parish,3,39035,2834
170,48243,TX,Jeff Davis County,9,274,5865
171,6027,CA,Inyo County,7,2184,26488
172,48093,TX,Comanche County,7,2271,2807
173,1001,AL,Autauga County,2,7444,1566
174,19183,IA,Washington County,3,2161,8430
175,8003,CO,Alamosa County,7,3816,1874
176,31087,NE,Hitchcock County,9,360,1861
177,29061,MO,Daviess County,8,1357,1234
178,26025,MI,Calhoun County,3,21973,1861
179,9013,CT,Tolland County,1,9786,1080
180,29069,MO,Dunklin County,7,8089,1417
181,24041,MD,Talbot County,6,3827,1235
182,13115,GA,Floyd County,3,14596,1024
183,48401,TX,Rusk County,3,7461,2431
184,1065,AL,Hale County,3,3495,1700
185,54013,WV,Calhoun County,8,1586,1861
186,48043,TX,Brewster County,7,1365,16039
187,1029,AL,Cleburne County,8,2527,1533
188,4005,AZ,Coconino County,3,23116,48332
189,8023,CO,Costilla County,9,1128,3187
190,6075,CA,San Francisco County,1,87690,600.592202
191,48019,TX,Bandera County,1,3138,2066
192,17181,IL,Union County,7,2957,5280
193,5087,AR,Madison County,2,2910,9331
194,51133,VA,Northumberland County,9,1632,1236
195,8061,CO,Kiowa County,9,189,2669
196,48165,TX,Gaines County,7,2982,3892
197,6007,CA,Butte County,3,43428,4344
198,13213,GA,Murray County,3,7055,1101
199,28111,MS,Perry County,3,2599,887
200,51169,VA,Scott County,3,4103,1381
201,26003,MI,Alger County,9,1140,13077
202,42063,PA,Indiana County,4,16198,2161
203,37137,NC,Pamlico County,9,2230,1467
204,37133,NC,Onslow County,3,23670,2353
205,20091,KS,Johnson County,1,32380,10812
206,39101,OH,Marion County,4,8673,3093
207,12107,FL,Putnam County,4,15220,2142
208,28159,MS,Winston County,7,4070,1637
209,8029,CO,Delta County,6,5300,2975
210,55111,WI,Sauk County,4,6381,2197
211,18111,IN,Newton County,1,1666,2132
212,12037,FL,Franklin County,6,2337,1877
213,27117,MN,Pipestone County,6,975,1207
214,19045,IA,Clinton County,4,6272,2895
215,37055,NC,Dare County,5,3909,4044
216,37099,NC,Jackson County,6,8051,7257
217,36103,NY,Suffolk County,1,111341,6146
218,16039,ID,Elmore County,4,3531,8030
219,30033,MT,Garfield County,9,181,13489
220,5137,AR,Stone County,9,2697,1578
221,51009,VA,Amherst County,3,4340,1240
222,41069,OR,Wheeler County,9,258,4442
223,5029,AR,Conway County,6,3903,1468
224,17097,IL,Lake County,1,59478,3443
225,51125,VA,Nelson County,3,1865,1228
226,48477,TX,Washington County,6,4641,8430
227,53027,WA,Grays Harbor County,4,10437,5761
228,35037,NM,Quay County,7,2044,7464
229,48451,TX,Tom Green County,3,15144,3990
230,42061,PA,Huntingdon County,6,5522,2303
231,47123,TN,Monroe County,6,8753,9679
232,27037,MN,Dakota County,1,23278,1519
233,36049,NY,Lewis County,6,4191,6310
234,6015,CA,Del Norte County,7,5842,3185
235,8119,CO,Teller County,2,2278,1448
236,29149,MO,Oregon County,9,2640,2050
237,29161,MO,Phelps County,5,8126,1746
238,31181,NE,Webster County,9,447,556
239,8033,CO,Dolores County,9,271,2766
240,13011,GA,Banks County,8,2845,606
241,55019,WI,Clark County,8,4676,20955
242,18005,IN,Bartholomew County,3,9336,1060
243,17033,IL,Crawford County,6,2571,1926
244,24037,MD,St. Mary's County,4,9977,1582
245,31023,NE,Butler County,6,702,1218
246,16025,ID,Camas County,9,106,2795
247,38063,ND,Nelson County,8,333,1228
248,37015,NC,Bertie County,9,4438,1920
249,8014,CO,Broomfield County,1,3518,
250,56027,WY,Niobrara County,9,318,6806
251,17163,IL,St. Clair County,1,39745,2167
252,28121,MS,Rankin County,2,13745,2088
253,36085,NY,Richmond County,1,62030,851
254,51185,VA,Tazewell County,7,7281,1347
255,37167,NC,Stanly County,6,7733,1047
256,20165,KS,Rush County,9,360,1058
257,20043,KS,Doniphan County,3,989,1028
258,54071,WV,Pendleton County,8,1126,1808
259,55097,WI,Portage County,4,7684,2131
260,19031,IA,Cedar County,6,1207,1291
261,48251,TX,Johnson County,1,18049,10812
262,49009,UT,Daggett County,8,84,1873
263,28007,MS,Attala County,6,4428,1909
264,55027,WI,Dodge County,4,8012,2349
265,28005,MS,Amite County,8,2951,1895
266,47107,TN,McMinn County,4,8740,1119
267,19153,IA,Polk County,2,50628,5174
268,31169,NE,Thayer County,9,551,1490
269,21215,KY,Spencer County,1,1601,1039
270,5139,AR,Union County,5,7603,5280
271,54049,WV,Marion County,4,9690,3093
272,8099,CO,Prowers County,7,2421,4259
273,13125,GA,Glascock County,9,539,374
274,21033,KY,Caldwell County,6,2523,1228
275,31025,NE,Cass County,2,1920,6253
276,20111,KS,Lyon County,5,5212,5222
277,29171,MO,Putnam County,9,837,2142
278,19069,IA,Franklin County,7,1157,1877
279,8103,CO,Rio Blanco County,9,591,8347
280,21195,KY,Pike County,7,18486,2043
281,29071,MO,Franklin County,1,10901,1877
282,16067,ID,Minidoka County,7,3243,1976
283,17065,IL,Hamilton County,7,1144,4682
284,20061,KS,Geary County,5,4031,1047
285,31017,NE,Brown County,9,401,2478
286,39157,OH,Tuscarawas County,4,11525,1480
287,39033,OH,Crawford County,4,5753,1926
288,26141,MI,Presque Isle County,7,1852,6663
289,54077,WV,Preston County,3,5455,1687
290,26033,MI,Chippewa County,5,5278,6988
291,51680,VA,Lynchburg city,3,12336,
292,8053,CO,Hinsdale County,9,77,2909
293,6031,CA,Kings County,3,23247,3604
294,46129,SD,Walworth County,7,810,577
295,2261,AK,Valdez-Cordova Census Area,9,852,40340
296,39113,OH,Montgomery County,2,93949,1313
297,42029,PA,Chester County,1,35349,1968
298,21115,KY,Johnson County,7,5814,10812
299,39093,OH,Lorain County,1,36828,2391
300,21207,KY,Russell County,9,4361,1235
301,54001,WV,Barbour County,7,3514,888
302,51019,VA,Bedford County,3,7445,2635
303,36123,NY,Yates County,6,3340,974
304,51027,VA,Buchanan County,9,5274,1305
305,39099,OH,Mahoning County,2,41625,1097
306,1051,AL,Elmore County,2,10316,8030
307,28049,MS,Hinds County,2,48244,2272
308,55125,WI,Vilas County,9,2676,1018
309,46101,SD,Moody County,8,676,1350
310,13071,GA,Colquitt County,6,11252,1441
311,19013,IA,Black Hawk County,3,20556,1481
312,53001,WA,Adams County,6,3710,3548
313,13117,GA,Forsyth County,1,12468,1069
314,48137,TX,Edwards County,9,443,5491
315,53017,WA,Douglas County,3,5260,13297
316,46083,SD,Lincoln County,3,2007,27549
317,48077,TX,Clay County,3,1345,571
318,45083,SC,Spartanburg County,2,45637,2122
319,2013,AK,Aleutians East Borough,9,487,38880
320,53009,WA,Clallam County,5,11110,6917
321,17193,IL,White County,6,2246,2700
322,18009,IN,Blackford County,6,1530,428
323,1063,AL,Greene County,3,2845,1616
324,48195,TX,Hansford County,7,730,2384
325,26009,MI,Antrim County,9,2686,1559
326,48331,TX,Milam County,6,3959,1646
327,22053,LA,Jefferson Davis Parish,6,5933,1706
328,47187,TN,Williamson County,1,11292,584
329,13197,GA,Marion County,2,1975,3093
330,51159,VA,Richmond County,9,1399,851
331,51193,VA,Westmoreland County,7,2581,
332,37105,NC,Lee County,4,9869,3139
333,47133,TN,Overton County,7,4066,1126
334,5121,AR,Randolph County,7,3229,2693
335,5037,AR,Cross County,6,3252,1612
336,48131,TX,Duval County,7,2857,2378
337,38015,ND,Burleigh County,3,6505,4320
338,12065,FL,Jefferson County,2,2398,2911
339,40105,OK,Nowata County,6,1776,1504
340,13103,GA,Effingham County,2,5949,1250
341,16047,ID,Gooding County,7,2083,1901
342,27089,MN,Marshall County,8,903,1614
343,48371,TX,Pecos County,7,2376,12341
344,48411,TX,San Saba County,7,1062,2948
345,22043,LA,Grant Parish,3,4160,1721
346,36037,NY,Genesee County,4,6475,1682
347,46123,SD,Tripp County,7,928,4189
348,18001,IN,Adams County,6,5271,3548
349,18163,IN,Vanderburgh County,2,30462,611
350,49001,UT,Beaver County,9,572,6714
351,48155,TX,Foard County,9,207,1833
352,5141,AR,Van Buren County,8,2737,1876
353,54057,WV,Mineral County,3,4156,9876
354,21149,KY,McLean County,3,1619,6030
355,18029,IN,Dearborn County,1,3988,795
356,26073,MI,Isabella County,5,15118,1496
357,47111,TN,Macon County,1,4117,1345
358,24025,MD,Harford County,1,17769,1364
359,26039,MI,Crawford County,7,2892,1926
360,48467,TX,Van Zandt County,6,7921,2226
361,2158,AK,Kusilvak Census Area,9,3033,19673
362,51063,VA,Floyd County,8,2129,1024
363,29229,MO,Wright County,6,4355,714
364,39095,OH,Lucas County,2,83600,1543
365,39035,OH,Cuyahoga County,1,223636,3226
366,17179,IL,Tazewell County,2,11526,1347
367,18131,IN,Pulaski County,6,1435,2092
368,40141,OK,Tillman County,6,1689,2277
369,28135,MS,Tallahatchie County,7,4430,1689
370,51115,VA,Mathews County,1,880,653
371,12111,FL,St. Lucie County,2,51657,1782
372,30059,MT,Meagher County,9,322,6203
373,41053,OR,Polk County,2,9681,5174
374,38053,ND,McKenzie County,9,981,7410
375,34017,NJ,Hudson County,1,104660,162
376,48269,TX,King County,9,31,5974
377,37065,NC,Edgecombe County,3,12514,1312
378,18091,IN,La Porte County,3,16218,1588
379,28085,MS,Lincoln County,6,6763,27549
380,26023,MI,Branch County,6,6969,1345
381,17187,IL,Warren County,7,2213,2413
382,5071,AR,Johnson County,6,4699,10812
383,31139,NE,Pierce County,9,674,4679
384,50005,VT,Caledonia County,7,3929,1703
385,28103,MS,Noxubee County,7,3434,1813
386,37063,NC,Durham County,2,47269,771
387,13231,GA,Pike County,1,2074,2043
388,26017,MI,Bay County,3,15716,1634
389,51073,VA,Gloucester County,1,3449,873
390,17131,IL,Mercer County,2,1581,1090
391,56023,WY,Lincoln County,7,1631,27549
392,18137,IN,Ripley County,6,3448,1636
393,48341,TX,Moore County,6,2596,1828
394,5143,AR,Washington County,2,34567,8430
395,27029,MN,Clearwater County,8,1432,6444
396,47113,TN,Madison County,3,17777,9331
397,29179,MO,Reynolds County,9,1397,2109
398,35033,NM,Mora County,8,1130,5008
399,46085,SD,Lyman County,9,860,4421
400,13099,GA,Early County,6,3210,1337
401,13253,GA,Seminole County,6,1948,893
402,6005,CA,Amador County,6,3846,1566
403,18147,IN,Spencer County,8,1847,1039
404,28063,MS,Jefferson County,7,2321,2911
405,47131,TN,Obion County,7,5604,1438
406,17027,IL,Clinton County,1,3330,2895
407,13139,GA,Hall County,3,26561,1112
408,46049,SD,Faulk County,9,298,2605
409,38095,ND,Towner County,9,238,2698
410,13085,GA,Dawson County,1,2373,6172
411,46127,SD,Union County,3,981,5280
412,48027,TX,Bell County,2,42739,2818
413,13305,GA,Wayne County,6,6217,1741
414,13023,GA,Bleckley County,6,2514,568
415,30049,MT,Lewis and Clark County,5,6858,9059
416,50013,VT,Grand Isle County,3,609,504
417,13153,GA,Houston County,3,22347,3203
418,5113,AR,Polk County,7,4660,5174
419,37147,NC,Pitt County,3,36594,1696
420,29041,MO,Chariton County,9,966,1990
421,48275,TX,Knox County,9,781,2958
422,40087,OK,McClain County,1,4137,1503
423,29007,MO,Audrain County,6,4019,1805
424,48391,TX,Refugio County,6,1128,2120
425,20089,KS,Jewell County,9,363,2368
426,45045,SC,Greenville County,2,53113,2059
427,17045,IL,Edgar County,6,2350,1617
428,21091,KY,Hancock County,3,1100,6089
429,31037,NE,Colfax County,7,1005,9759
430,48099,TX,Coryell County,2,8991,2737
431,1061,AL,Geneva County,3,5495,1499
432,17047,IL,Edwards County,9,715,5491
433,13295,GA,Walker County,2,12349,2086
434,51089,VA,Henry County,4,9333,1023
435,32005,NV,Douglas County,4,4631,13297
436,5135,AR,Sharp County,7,3610,1570
437,39007,OH,Ashtabula County,4,17202,3544
438,8113,CO,San Miguel County,9,811,3337
439,12021,FL,Collier County,2,41076,5970
440,26117,MI,Montcalm County,6,9381,1967
441,40121,OK,Pittsburg County,5,6007,3569
442,8079,CO,Mineral County,9,68,9876
443,16075,ID,Payette County,6,3639,1062
444,42069,PA,Lackawanna County,2,28739,1203
445,28123,MS,Scott County,6,6303,1381
446,29223,MO,Wayne County,9,3370,1741
447,24510,MD,Baltimore city,1,128752,238.411179
448,31047,NE,Dawson County,7,2966,6172
449,42083,PA,Mc Kean County,7,6711,
450,16021,ID,Boundary County,7,1973,3311
451,29173,MO,Ralls County,9,1109,1253
452,16073,ID,Owyhee County,2,1942,19934
453,39001,OH,Adams County,6,5543,3548
454,2070,AK,Dillingham Census Area,9,965,20915
455,15009,HI,Maui County,5,15578,6213
456,1097,AL,Mobile County,2,79364,4258
457,17021,IL,Christian County,6,4013,1461
458,30035,MT,Glacier County,7,3792,7866
459,28099,MS,Neshoba County,7,6517,1481
460,37011,NC,Avery County,8,2985,640
461,27087,MN,Mahnomen County,8,941,1510
462,18073,IN,Jasper County,1,3032,2511
463,27025,MN,Chisago County,1,3554,1146
464,29185,MO,St. Clair County,8,1868,2167
465,13043,GA,Candler County,7,2647,644
466,31175,NE,Valley County,9,479,9670
467,22007,LA,Assumption Parish,6,4761,944
468,38061,ND,Mountrail County,9,964,5027
469,18141,IN,St. Joseph County,2,41889,1194
470,26035,MI,Clare County,7,6496,1490
471,13243,GA,Randolph County,6,2063,2693
472,20095,KS,Kingman County,6,778,2245
473,55099,WI,Price County,9,1482,3311
474,20121,KS,Miami County,1,2644,1060
475,55015,WI,Calumet County,3,2462,1028
476,17025,IL,Clay County,7,2085,571
477,21233,KY,Webster County,2,2311,556
478,36045,NY,Jefferson County,4,16468,2911
479,17175,IL,Stark County,2,652,1505
480,39065,OH,Hardin County,6,3906,1544
481,12019,FL,Clay County,1,19785,571
482,22055,LA,Lafayette Parish,3,42781,700
483,21213,KY,Simpson County,6,2663,1529
484,35023,NM,Hidalgo County,7,1129,8925
485,31099,NE,Kearney County,7,584,1337
486,51145,VA,Powhatan County,1,1779,680
487,56037,WY,Sweetwater County,5,4264,27172
488,51085,VA,Hanover County,1,5900,1228
489,37059,NC,Davie County,2,4820,691
490,22033,LA,East Baton Rouge Parish,2,86888,1220
491,21155,KY,Marion County,6,3750,3093
492,39153,OH,Summit County,2,72687,4874
493,35049,NM,Santa Fe County,3,20463,4944
494,8001,CO,Adams County,1,57811,3548
495,42087,PA,Mifflin County,4,6711,1074
496,19059,IA,Dickinson County,7,1332,987
497,25023,MA,Plymouth County,1,39977,2832
498,47159,TN,Smith County,1,2801,2459
499,31123,NE,Morrill County,9,775,3703
500,26061,MI,Houghton County,5,6762,3889
501,42051,PA,Fayette County,1,22645,1731
502,48029,TX,Bexar County,1,306859,3211
503,35017,NM,Grant County,7,6308,11731
504,28113,MS,Pike County,7,11649,2043
505,13255,GA,Spalding County,1,14243,517
506,47041,TN,DeKalb County,6,3760,702
507,27105,MN,Nobles County,7,2500,1871
508,19055,IA,Delaware County,6,1626,3802
509,34025,NJ,Monmouth County,1,43866,1723
510,41015,OR,Curry County,7,3171,5150
511,53041,WA,Lewis County,4,11155,6310
512,42043,PA,Dauphin County,2,30247,1444
513,29121,MO,Macon County,7,2416,1345
514,33013,NH,Merrimack County,4,10532,2477
515,17107,IL,Logan County,6,3450,1108
516,17183,IL,Vermilion County,3,15183,2337
517,31127,NE,Nemaha County,7,868,1863
518,17015,IL,Carroll County,7,1798,2570
519,19163,IA,Scott County,2,22602,1381
520,31049,NE,Deuel County,9,213,1649
521,48145,TX,Falls County,6,3915,2004
522,5005,AR,Baxter County,7,5144,1520
523,39131,OH,Pike County,7,5660,2043
524,16019,ID,Bonneville County,3,13072,4923
525,12007,FL,Bradford County,6,4392,3007
526,19115,IA,Louisa County,8,1253,1323
527,21123,KY,Larue County,3,2312,683
528,21205,KY,Rowan County,7,5389,741
529,55033,WI,Dunn County,6,5164,2238
530,16041,ID,Franklin County,3,1239,1877
531,48465,TX,Val Verde County,5,9703,8372
532,27061,MN,Itasca County,6,5898,7583
533,53013,WA,Columbia County,6,543,1783
534,38089,ND,Stark County,7,2433,1505
535,21131,KY,Leslie County,9,3265,1047
536,46009,SD,Bon Homme County,9,811,1506
537,50007,VT,Chittenden County,3,14667,1605
538,30017,MT,Custer County,7,1318,12786
539,37037,NC,Chatham County,2,8384,1638
540,1113,AL,Russell County,2,11108,1235
541,34021,NJ,Mercer County,2,39066,1090
542,48479,TX,Webb County,3,85150,8743
543,39167,OH,Washington County,3,8100,8430
544,16055,ID,Kootenai County,3,22165,3408
545,41061,OR,Union County,7,4058,5280
546,36113,NY,Warren County,3,7479,2413
547,18107,IN,Montgomery County,6,4157,1313
548,13311,GA,White County,8,4030,2700
549,47001,TN,Anderson County,2,10753,893
550,26095,MI,Luce County,7,1092,4952
551,19173,IA,Taylor County,9,751,2550
552,51127,VA,New Kent County,1,1202,579
553,54093,WV,Tucker County,9,1067,1091
554,40045,OK,Ellis County,9,523,2465
555,2020,AK,Anchorage Borough,2,21108,4420
556,48469,TX,Victoria County,3,12900,2302
557,31163,NE,Sherman County,9,368,2153
558,13111,GA,Fannin County,8,3485,1014
559,39151,OH,Stark County,2,48072,1505
560,35059,NM,Union County,9,705,5280
561,21025,KY,Breathitt County,7,4466,1283
562,19149,IA,Plymouth County,6,2091,2832
563,10005,DE,Sussex County,4,25212,3097
564,6105,CA,Trinity County,8,2668,8307
565,20125,KS,Montgomery County,5,5953,1313
566,26165,MI,Wexford County,7,5812,1491
567,20101,KS,Lane County,9,164,12229
568,5011,AR,Bradley County,6,2544,859
569,26129,MI,Ogemaw County,9,3564,1488
570,23017,ME,Oxford County,6,7565,5634
571,28155,MS,Webster County,9,2002,556
572,39061,OH,Hamilton County,1,126002,4682
573,42023,PA,Cameron County,7,655,3306
574,13183,GA,Long County,3,3365,1045
575,51775,VA,Salem city,2,2160,
576,41029,OR,Jackson County,3,31189,7257
577,18019,IN,Clark County,1,11983,20955
578,36017,NY,Chenango County,6,7248,2328
579,36093,NY,Schenectady County,2,17158,543
580,33011,NH,Hillsborough County,2,31972,2311
581,21171,KY,Monroe County,9,2409,9679
582,18077,IN,Jefferson County,6,4061,2911
583,21169,KY,Metcalfe County,9,2244,754
584,26135,MI,Oscoda County,9,1522,1480
585,12093,FL,Okeechobee County,4,7547,2309
586,5059,AR,Hot Spring County,6,4541,1611
587,27107,MN,Norman County,8,777,2271
588,42071,PA,Lancaster County,2,56082,2548
589,30071,MT,Phillips County,9,631,13499
590,46025,SD,Clark County,9,398,20955
591,12103,FL,Pinellas County,1,125923,1574
592,48365,TX,Panola County,6,3598,1826
593,1059,AL,Franklin County,6,6272,1877
594,48205,TX,Hartley County,9,452,3790
595,1045,AL,Dale County,4,9936,1457
596,22109,LA,Terrebonne Parish,3,23521,5387
597,32009,NV,Esmeralda County,9,117,9295
598,35011,NM,DeBaca County,9,378,6045
599,13079,GA,Crawford County,3,2355,1926
600,42033,PA,Clearfield County,4,10543,2988
601,13159,GA,Jasper County,1,2282,2511
602,1087,AL,Macon County,6,5183,1345
603,2240,AK,Southeast Fairbanks Census Area,8,804,25059
604,31159,NE,Seward County,2,1252,1491
605,17043,IL,DuPage County,1,64330,872
606,28037,MS,Franklin County,9,1554,1877
607,48359,TX,Oldham County,8,261,3889
608,8085,CO,Montrose County,7,6716,5808
609,25011,MA,Franklin County,2,6926,1877
610,46021,SD,Campbell County,9,131,12436
611,18149,IN,Starke County,6,3694,809
612,53059,WA,Skamania County,1,1543,4361
613,20011,KS,Bourbon County,6,2465,1655
614,13307,GA,Webster County,8,539,556
615,48449,TX,Titus County,7,4749,1103
616,54097,WV,Upshur County,7,4705,919
617,19005,IA,Allamakee County,6,1786,1706
618,47095,TN,Lake County,9,2151,3443
619,47163,TN,Sullivan County,3,25304,2582
620,41027,OR,Hood River County,6,2459,840
621,31155,NE,Saunders County,2,1524,1965
622,38069,ND,Pierce County,7,522,4679
623,21101,KY,Henderson County,2,7739,971
624,31111,NE,Lincoln County,5,3272,27549
625,20175,KS,Seward County,7,3017,1491
626,26127,MI,Oceana County,8,4630,3384
627,42121,PA,Venango County,4,7507,1769
628,32011,NV,Eureka County,9,189,10826
629,54031,WV,Hardy County,8,2096,1514
630,21137,KY,Lincoln County,7,5499,27549
631,6081,CA,San Mateo County,1,50438,1919
632,15007,HI,Kauai County,5,5716,3280
633,27057,MN,Hubbard County,7,2677,2588
634,42017,PA,Bucks County,1,40872,1611
635,18129,IN,Posey County,2,2192,1086
