d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,population
127,27085,MN,McLeod County,6,2613,35918
128,48335,TX,Mitchell County,7,1473,15328
129,2050,AK,Bethel Census Area,7,4502,17758
130,48291,TX,Liberty County,1,12164,76907
131,28125,MS,Sharkey County,9,1567,4708
132,6067,CA,Sacramento County,1,243760,1462131
133,51031,VA,Campbell County,3,7220,48176
134,31053,NE,Dodge County,4,4131,88344
135,48389,TX,Reeves County,7,2943,13965
136,47103,TN,Lincoln County,6,5546,5245
137,40019,OK,Carter County,5,7799,1174
138,39085,OH,Lake County,1,19364,63860
139,51195,VA,Wise County,7,8525,60939
140,47077,TN,Henderson County,6,4777,109540
141,31141,NE,Platte County,5,2920,8765
142,6061,CA,Placer County,1,27340,367309
143,13165,GA,Jenkins County,6,2606,9269
144,49049,UT,Utah County,2,66112,551891
145,28161,MS,Yalobusha County,7,2812,12373
146,34005,NJ,Burlington County,1,27083,450838
147,17019,IL,Champaign County,3,36364,204897
148,13061,GA,Clay County,9,1040,10584
149,37053,NC,Currituck County,1,2616,24396
150,17011,IL,Bureau County,6,3775,34056
151,31109,NE,Lancaster County,2,35993,529600
152,39141,OH,Ross County,4,13224,77910
153,37107,NC,Lenoir County,4,11637,58914
154,30019,MT,Daniels County,9,176,1791
155,2110,AK,Juneau Borough,5,2334,
156,47091,TN,Johnson County,6,4038,8628
157,48143,TX,Erath County,7,7361,39658
158,20161,KS,Riley County,5,11709,75394
159,5077,AR,Lee County,6,2701,661115
160,27103,MN,Nicollet County,5,2490,33032
161,1091,AL,Marengo County,7,5003,20155
162,30063,MT,Missoula County,3,17206,111807
163,48185,TX,Grimes County,6,4124,26859
164,47167,TN,Tipton County,1,9698,61586
165,26093,MI,Livingston County,1,10912,184443
166,48259,TX,Kendall County,1,3119,37766
167,56039,WY,Teton County,7,1680,22268
168,5093,AR,Mississippi County,4,10307,44765
169,22019,LA,Calcasieu Parish,3,39035,195296
170,48243,TX,Jeff Davis County,9,274,2253
171,6027,CA,Inyo County,7,2184,18467
172,48093,TX,Comanche County,7,2271,124937
173,1001,AL,Autauga County,2,7444,54571
174,19183,IA,Washington County,3,2161,32190
175,8003,CO,Alamosa County,7,3816,16253
176,31087,NE,Hitchcock County,9,360,2872
177,29061,MO,Daviess County,8,1357,98218
178,26025,MI,Calhoun County,3,21973,135012
179,9013,CT,Tolland County,1,9786,151377
180,29069,MO,Dunklin County,7,8089,31712
181,24041,MD,Talbot County,6,3827,37931
182,13115,GA,Floyd County,3,14596,38728
183,48401,TX,Rusk County,3,7461,53622
184,1065,AL,Hale County,3,3495,15406
185,54013,WV,Calhoun County,8,1586,135012
186,48043,TX,Brewster County,7,1365,9286
187,1029,AL,Cleburne County,8,2527,25686
188,4005,AZ,Coconino County,3,23116,136539
189,8023,CO,Costilla County,9,1128,3518
190,6075,CA,San Francisco County,1,87690,805235
191,48019,TX,Bandera County,1,3138,20601
192,17181,IL,Union County,7,2957,25652
193,5087,AR,Madison County,2,2910,7712
194,51133,VA,Northumberland County,9,1632,94076
195,8061,CO,Kiowa County,9,189,9341
196,48165,TX,Gaines County,7,2982,18921
197,6007,CA,Butte County,3,43428,222090
198,13213,GA,Murray County,3,7055,13712
199,28111,MS,Perry County,3,2599,28010
200,51169,VA,Scott County,3,4103,22015
201,26003,MI,Alger County,9,1140,9522
202,42063,PA,Indiana County,4,16198,87745
203,37137,NC,Pamlico County,9,2230,12953
204,37133,NC,Onslow County,3,23670,185220
205,20091,KS,Johnson County,1,32380,8628
206,39101,OH,Marion County,4,8673,323614
207,12107,FL,Putnam County,4,15220,72577
208,28159,MS,Winston County,7,4070,24146
209,8029,CO,Delta County,6,5300,30483
210,55111,WI,Sauk County,4,6381,63162
211,18111,IN,Newton County,1,1666,8064
212,12037,FL,Franklin County,6,2337,71221
213,27117,MN,Pipestone County,6,975,9270
214,19045,IA,Clinton County,4,6272,81591
215,37055,NC,Dare County,5,3909,35019
216,37099,NC,Jackson County,6,8051,208545
217,36103,NY,Suffolk County,1,111341,1499738
218,16039,ID,Elmore County,4,3531,26170
219,30033,MT,Garfield County,9,181,5083
220,5137,AR,Stone County,9,2697,12581
221,51009,VA,Amherst County,3,4340,32178
222,41069,OR,Wheeler County,9,258,1381
223,5029,AR,Conway County,6,3903,21245
224,17097,IL,Lake County,1,59478,63860
225,51125,VA,Nelson County,3,1865,14789
226,48477,TX,Washington County,6,4641,32190
227,53027,WA,Grays Harbor County,4,10437,71078
228,35037,NM,Quay County,7,2044,8662
229,48451,TX,Tom Green County,3,15144,114954
230,42061,PA,Huntingdon County,6,5522,45694
231,47123,TN,Monroe County,6,8753,76351
232,27037,MN,Dakota County,1,23278,408509
233,36049,NY,Lewis County,6,4191,75081
234,6015,CA,Del Norte County,7,5842,27873
235,8119,CO,Teller County,2,2278,23275
236,29149,MO,Oregon County,9,2640,10996
237,29161,MO,Phelps County,5,8126,44807
238,31181,NE,Webster County,9,447,8893
239,8033,CO,Dolores County,9,271,2029
240,13011,GA,Banks County,8,2845,18415
241,55019,WI,Clark County,8,4676,2027868
242,18005,IN,Bartholomew County,3,9336,79587
243,17033,IL,Crawford County,6,2571,24543
244,24037,MD,St. Mary's County,4,9977,109633
245,31023,NE,Butler County,6,702,371272
246,16025,ID,Camas County,9,106,1042
247,38063,ND,Nelson County,8,333,14789
248,37015,NC,Bertie County,9,4438,20344
249,8014,CO,Broomfield County,1,3518,
250,56027,WY,Niobrara County,9,318,2541
251,17163,IL,St. Clair County,1,39745,160469
252,28121,MS,Rankin County,2,13745,146767
253,36085,NY,Richmond County,1,62030,202003
254,51185,VA,Tazewell County,7,7281,44103
255,37167,NC,Stanly County,6,7733,60635
256,20165,KS,Rush County,9,360,17004
257,20043,KS,Doniphan County,3,989,7851
258,54071,WV,Pendleton County,8,1126,7471
259,55097,WI,Portage County,4,7684,70380
260,19031,IA,Cedar County,6,1207,13913
261,48251,TX,Johnson County,1,18049,8628
262,49009,UT,Daggett County,8,84,1127
263,28007,MS,Attala County,6,4428,19317
264,55027,WI,Dodge County,4,8012,88344
265,28005,MS,Amite County,8,2951,12899
266,47107,TN,McMinn County,4,8740,52341
267,19153,IA,Polk County,2,50628,31569
268,31169,NE,Thayer County,9,551,5189
269,21215,KY,Spencer County,1,1601,20944
270,5139,AR,Union County,5,7603,25652
271,54049,WV,Marion County,4,9690,323614
272,8099,CO,Prowers County,7,2421,12291
273,13125,GA,Glascock County,9,539,3102
274,21033,KY,Caldwell County,6,2523,81990
275,31025,NE,Cass County,2,1920,28555
276,20111,KS,Lyon County,5,5212,51557
277,29171,MO,Putnam County,9,837,72577
278,19069,IA,Franklin County,7,1157,71221
279,8103,CO,Rio Blanco County,9,591,6807
280,21195,KY,Pike County,7,18486,63380
281,29071,MO,Franklin County,1,10901,71221
282,16067,ID,Minidoka County,7,3243,20292
283,17065,IL,Hamilton County,7,1144,4773
284,20061,KS,Geary County,5,4031,37384
285,31017,NE,Brown County,9,401,37749
286,39157,OH,Tuscarawas County,4,11525,92672
287,39033,OH,Crawford County,4,5753,24543
288,26141,MI,Presque Isle County,7,1852,13062
289,54077,WV,Preston County,3,5455,33859
290,26033,MI,Chippewa County,5,5278,38696
291,51680,VA,Lynchburg city,3,12336,
292,8053,CO,Hinsdale County,9,77,813
293,6031,CA,Kings County,3,23247,150960
294,46129,SD,Walworth County,7,810,102945
295,2261,AK,Valdez-Cordova Census Area,9,852,9763
296,39113,OH,Montgomery County,2,93949,1058810
297,42029,PA,Chester County,1,35349,509468
298,21115,KY,Johnson County,7,5814,8628
299,39093,OH,Lorain County,1,36828,302827
300,21207,KY,Russell County,9,4361,28264
301,54001,WV,Barbour County,7,3514,16770
302,51019,VA,Bedford County,3,7445,49055
303,36123,NY,Yates County,6,3340,25156
304,51027,VA,Buchanan County,9,5274,23597
305,39099,OH,Mahoning County,2,41625,233869
306,1051,AL,Elmore County,2,10316,26170
307,28049,MS,Hinds County,2,48244,244899
308,55125,WI,Vilas County,9,2676,21368
309,46101,SD,Moody County,8,676,6404
310,13071,GA,Colquitt County,6,11252,46275
311,19013,IA,Black Hawk County,3,20556,132546
312,53001,WA,Adams County,6,3710,3828
313,13117,GA,Forsyth County,1,12468,361220
314,48137,TX,Edwards County,9,443,1884
315,53017,WA,Douglas County,3,5260,106940
316,46083,SD,Lincoln County,3,2007,5245
317,48077,TX,Clay County,3,1345,10584
318,45083,SC,Spartanburg County,2,45637,290969
319,2013,AK,Aleutians East Borough,9,487,3341
320,53009,WA,Clallam County,5,11110,72312
321,17193,IL,White County,6,2246,78483
322,18009,IN,Blackford County,6,1530,12481
323,1063,AL,Greene County,3,2845,68267
324,48195,TX,Hansford County,7,730,5555
325,26009,MI,Antrim County,9,2686,23370
326,48331,TX,Milam County,6,3959,24167
327,22053,LA,Jefferson Davis Parish,6,5933,31301
328,47187,TN,Williamson County,1,11292,198901
329,13197,GA,Marion County,2,1975,323614
330,51159,VA,Richmond County,9,1399,202003
331,51193,VA,Westmoreland County,7,2581,362437
332,37105,NC,Lee County,4,9869,661115
333,47133,TN,Overton County,7,4066,22075
334,5121,AR,Randolph County,7,3229,29415
335,5037,AR,Cross County,6,3252,17548
336,48131,TX,Duval County,7,2857,885855
337,38015,ND,Burleigh County,3,6505,88457
338,12065,FL,Jefferson County,2,2398,659479
339,40105,OK,Nowata County,6,1776,10555
340,13103,GA,Effingham County,2,5949,54456
341,16047,ID,Gooding County,7,2083,15080
342,27089,MN,Marshall County,8,903,94760
343,48371,TX,Pecos County,7,2376,15697
344,48411,TX,San Saba County,7,1062,6012
345,22043,LA,Grant Parish,3,4160,22030
346,36037,NY,Genesee County,4,6475,415376
347,46123,SD,Tripp County,7,928,5498
348,18001,IN,Adams County,6,5271,3828
349,18163,IN,Vanderburgh County,2,30462,181398
350,49001,UT,Beaver County,9,572,6459
351,48155,TX,Foard County,9,207,1277
352,5141,AR,Van Buren County,8,2737,16932
353,54057,WV,Mineral County,3,4156,4614
354,21149,KY,McLean County,3,1619,9517
355,18029,IN,Dearborn County,1,3988,49904
356,26073,MI,Isabella County,5,15118,70436
357,47111,TN,Macon County,1,4117,33857
358,24025,MD,Harford County,1,17769,249215
359,26039,MI,Crawford County,7,2892,24543
360,48467,TX,Van Zandt County,6,7921,52481
361,2158,AK,Kusilvak Census Area,9,3033,7977
362,51063,VA,Floyd County,8,2129,38728
363,29229,MO,Wright County,6,4355,128470
364,39095,OH,Lucas County,2,83600,436393
365,39035,OH,Cuyahoga County,1,223636,1263154
366,17179,IL,Tazewell County,2,11526,44103
367,18131,IN,Pulaski County,6,1435,391284
368,40141,OK,Tillman County,6,1689,7711
369,28135,MS,Tallahatchie County,7,4430,15081
370,51115,VA,Mathews County,1,880,8897
371,12111,FL,St. Lucie County,2,51657,286832
372,30059,MT,Meagher County,9,322,1937
373,41053,OR,Polk County,2,9681,31569
374,38053,ND,McKenzie County,9,981,9314
375,34017,NJ,Hudson County,1,104660,660282
376,48269,TX,King County,9,31,2044449
377,37065,NC,Edgecombe County,3,12514,55574
378,18091,IN,La Porte County,3,16218,111281
379,28085,MS,Lincoln County,6,6763,5245
380,26023,MI,Branch County,6,6969,43649
381,17187,IL,Warren County,7,2213,65337
382,5071,AR,Johnson County,6,4699,8628
383,31139,NE,Pierce County,9,674,819743
384,50005,VT,Caledonia County,7,3929,31157
385,28103,MS,Noxubee County,7,3434,11089
386,37063,NC,Durham County,2,47269,288133
387,13231,GA,Pike County,1,2074,63380
388,26017,MI,Bay County,3,15716,106832
389,51073,VA,Gloucester County,1,3449,290265
390,17131,IL,Mercer County,2,1581,61984
391,56023,WY,Lincoln County,7,1631,5245
392,18137,IN,Ripley County,6,3448,14032
393,48341,TX,Moore County,6,2596,91587
394,5143,AR,Washington County,2,34567,32190
395,27029,MN,Clearwater County,8,1432,8577
396,47113,TN,Madison County,3,17777,7712
397,29179,MO,Reynolds County,9,1397,6599
398,35033,NM,Mora County,8,1130,4704
399,46085,SD,Lyman County,9,860,3892
400,13099,GA,Early County,6,3210,10542
401,13253,GA,Seminole County,6,1948,436041
402,6005,CA,Amador County,6,3846,36519
403,18147,IN,Spencer County,8,1847,20944
404,28063,MS,Jefferson County,7,2321,659479
405,47131,TN,Obion County,7,5604,31131
406,17027,IL,Clinton County,1,3330,81591
407,13139,GA,Hall County,3,26561,187745
408,46049,SD,Faulk County,9,298,2386
409,38095,ND,Towner County,9,238,2317
410,13085,GA,Dawson County,1,2373,9445
411,46127,SD,Union County,3,981,25652
412,48027,TX,Bell County,2,42739,326843
413,13305,GA,Wayne County,6,6217,1775273
414,13023,GA,Bleckley County,6,2514,12771
415,30049,MT,Lewis and Clark County,5,6858,65338
416,50013,VT,Grand Isle County,3,609,6970
417,13153,GA,Houston County,3,22347,22911
418,5113,AR,Polk County,7,4660,31569
419,37147,NC,Pitt County,3,36594,174263
420,29041,MO,Chariton County,9,966,7628
421,48275,TX,Knox County,9,781,39550
422,40087,OK,McClain County,1,4137,36511
423,29007,MO,Audrain County,6,4019,25661
424,48391,TX,Refugio County,6,1128,7305
425,20089,KS,Jewell County,9,363,3046
426,45045,SC,Greenville County,2,53113,474266
427,17045,IL,Edgar County,6,2350,17960
428,21091,KY,Hancock County,3,1100,54845
429,31037,NE,Colfax County,7,1005,13094
430,48099,TX,Coryell County,2,8991,76192
431,1061,AL,Geneva County,3,5495,26727
432,17047,IL,Edwards County,9,715,1884
433,13295,GA,Walker County,2,12349,65998
434,51089,VA,Henry County,4,9333,49044
435,32005,NV,Douglas County,4,4631,106940
436,5135,AR,Sharp County,7,3610,17049
437,39007,OH,Ashtabula County,4,17202,99811
438,8113,CO,San Miguel County,9,811,7678
439,12021,FL,Collier County,2,41076,339642
440,26117,MI,Montcalm County,6,9381,63105
441,40121,OK,Pittsburg County,5,6007,44703
442,8079,CO,Mineral County,9,68,4614
443,16075,ID,Payette County,6,3639,22610
444,42069,PA,Lackawanna County,2,28739,213931
445,28123,MS,Scott County,6,6303,22015
446,29223,MO,Wayne County,9,3370,1775273
447,24510,MD,Baltimore city,1,128752,622104
448,31047,NE,Dawson County,7,2966,9445
449,42083,PA,Mc Kean County,7,6711,
450,16021,ID,Boundary County,7,1973,10853
451,29173,MO,Ralls County,9,1109,10192
452,16073,ID,Owyhee County,2,1942,11472
453,39001,OH,Adams County,6,5543,3828
454,2070,AK,Dillingham Census Area,9,965,5010
455,15009,HI,Maui County,5,15578,160202
456,1097,AL,Mobile County,2,79364,414079
457,17021,IL,Christian County,6,4013,80899
458,30035,MT,Glacier County,7,3792,13739
459,28099,MS,Neshoba County,7,6517,29507
460,37011,NC,Avery County,8,2985,17713
461,27087,MN,Mahnomen County,8,941,5532
462,18073,IN,Jasper County,1,3032,35649
463,27025,MN,Chisago County,1,3554,53761
464,29185,MO,St. Clair County,8,1868,160469
465,13043,GA,Candler County,7,2647,10937
466,31175,NE,Valley County,9,479,9606
467,22007,LA,Assumption Parish,6,4761,23187
468,38061,ND,Mountrail County,9,964,9376
469,18141,IN,St. Joseph County,2,41889,266709
470,26035,MI,Clare County,7,6496,30569
471,13243,GA,Randolph County,6,2063,29415
472,20095,KS,Kingman County,6,778,7844
473,55099,WI,Price County,9,1482,13802
474,20121,KS,Miami County,1,2644,103439
475,55015,WI,Calumet County,3,2462,49617
476,17025,IL,Clay County,7,2085,10584
477,21233,KY,Webster County,2,2311,8893
478,36045,NY,Jefferson County,4,16468,659479
479,17175,IL,Stark County,2,652,375432
480,39065,OH,Hardin County,6,3906,26034
481,12019,FL,Clay County,1,19785,10584
482,22055,LA,Lafayette Parish,3,42781,230845
483,21213,KY,Simpson County,6,2663,27500
484,35023,NM,Hidalgo County,7,1129,4654
485,31099,NE,Kearney County,7,584,6548
486,51145,VA,Powhatan County,1,1779,28259
487,56037,WY,Sweetwater County,5,4264,45237
488,51085,VA,Hanover County,1,5900,101330
489,37059,NC,Davie County,2,4820,41554
490,22033,LA,East Baton Rouge Parish,2,86888,445227
491,21155,KY,Marion County,6,3750,323614
492,39153,OH,Summit County,2,72687,38486
493,35049,NM,Santa Fe County,3,20463,147423
494,8001,CO,Adams County,1,57811,3828
495,42087,PA,Mifflin County,4,6711,46616
496,19059,IA,Dickinson County,7,1332,16955
497,25023,MA,Plymouth County,1,39977,501915
498,47159,TN,Smith County,1,2801,216080
499,31123,NE,Morrill County,9,775,4908
500,26061,MI,Houghton County,5,6762,36225
501,42051,PA,Fayette County,1,22645,45599
502,48029,TX,Bexar County,1,306859,1958578
503,35017,NM,Grant County,7,6308,7283
504,28113,MS,Pike County,7,11649,63380
505,13255,GA,Spalding County,1,14243,63829
506,47041,TN,DeKalb County,6,3760,713340
507,27105,MN,Nobles County,7,2500,21617
508,19055,IA,Delaware County,6,1626,46722
509,34025,NJ,Monmouth County,1,43866,629672
510,41015,OR,Curry County,7,3171,22339
511,53041,WA,Lewis County,4,11155,75081
512,42043,PA,Dauphin County,2,30247,270937
513,29121,MO,Macon County,7,2416,33857
514,33013,NH,Merrimack County,4,10532,146849
515,17107,IL,Logan County,6,3450,35987
516,17183,IL,Vermilion County,3,15183,80329
517,31127,NE,Nemaha County,7,868,10161
518,17015,IL,Carroll County,7,1798,47499
519,19163,IA,Scott County,2,22602,22015
520,31049,NE,Deuel County,9,213,4320
521,48145,TX,Falls County,6,3915,17493
522,5005,AR,Baxter County,7,5144,40957
523,39131,OH,Pike County,7,5660,63380
524,16019,ID,Bonneville County,3,13072,107517
525,12007,FL,Bradford County,6,4392,62316
526,19115,IA,Louisa County,8,1253,33945
527,21123,KY,Larue County,3,2312,14064
528,21205,KY,Rowan County,7,5389,23527
529,55033,WI,Dunn County,6,5164,44122
530,16041,ID,Franklin County,3,1239,71221
531,48465,TX,Val Verde County,5,9703,48623
532,27061,MN,Itasca County,6,5898,45564
533,53013,WA,Columbia County,6,543,49344
534,38089,ND,Stark County,7,2433,375432
535,21131,KY,Leslie County,9,3265,11019
536,46009,SD,Bon Homme County,9,811,7046
537,50007,VT,Chittenden County,3,14667,159515
538,30017,MT,Custer County,7,1318,4249
539,37037,NC,Chatham County,2,8384,278434
540,1113,AL,Russell County,2,11108,28264
541,34021,NJ,Mercer County,2,39066,61984
542,48479,TX,Webb County,3,85150,262495
543,39167,OH,Washington County,3,8100,32190
544,16055,ID,Kootenai County,3,22165,144265
545,41061,OR,Union County,7,4058,25652
546,36113,NY,Warren County,3,7479,65337
547,18107,IN,Montgomery County,6,4157,1058810
548,13311,GA,White County,8,4030,78483
549,47001,TN,Anderson County,2,10753,75542
550,26095,MI,Luce County,7,1092,6502
551,19173,IA,Taylor County,9,751,20610
552,51127,VA,New Kent County,1,1202,19507
553,54093,WV,Tucker County,9,1067,6968
554,40045,OK,Ellis County,9,523,155976
555,2020,AK,Anchorage Borough,2,21108,294356
556,48469,TX,Victoria County,3,12900,90028
557,31163,NE,Sherman County,9,368,1731
558,13111,GA,Fannin County,8,3485,23760
559,39151,OH,Stark County,2,48072,375432
560,35059,NM,Union County,9,705,25652
561,21025,KY,Breathitt County,7,4466,13545
562,19149,IA,Plymouth County,6,2091,501915
563,10005,DE,Sussex County,4,25212,206649
564,6105,CA,Trinity County,8,2668,13448
565,20125,KS,Montgomery County,5,5953,1058810
566,26165,MI,Wexford County,7,5812,32645
567,20101,KS,Lane County,9,164,356212
568,5011,AR,Bradley County,6,2544,101848
569,26129,MI,Ogemaw County,9,3564,21234
570,23017,ME,Oxford County,6,7565,57277
571,28155,MS,Webster County,9,2002,8893
572,39061,OH,Hamilton County,1,126002,4773
573,42023,PA,Cameron County,7,655,417276
574,13183,GA,Long County,3,3365,16624
575,51775,VA,Salem city,2,2160,
576,41029,OR,Jackson County,3,31189,208545
577,18019,IN,Clark County,1,11983,2027868
578,36017,NY,Chenango County,6,7248,49503
579,36093,NY,Schenectady County,2,17158,155333
580,33011,NH,Hillsborough County,2,31972,403985
581,21171,KY,Monroe County,9,2409,76351
582,18077,IN,Jefferson County,6,4061,659479
583,21169,KY,Metcalfe County,9,2244,9983
584,26135,MI,Oscoda County,9,1522,8379
585,12093,FL,Okeechobee County,4,7547,39330
586,5059,AR,Hot Spring County,6,4541,33500
587,27107,MN,Norman County,8,777,6631
588,42071,PA,Lancaster County,2,56082,529600
589,30071,MT,Phillips County,9,631,4179
590,46025,SD,Clark County,9,398,2027868
591,12103,FL,Pinellas County,1,125923,929048
592,48365,TX,Panola County,6,3598,34402
593,1059,AL,Franklin County,6,6272,71221
594,48205,TX,Hartley County,9,452,6100
595,1045,AL,Dale County,4,9936,49884
596,22109,LA,Terrebonne Parish,3,23521,112749
597,32009,NV,Esmeralda County,9,117,832
598,35011,NM,DeBaca County,9,378,1907
599,13079,GA,Crawford County,3,2355,24543
600,42033,PA,Clearfield County,4,10543,81174
601,13159,GA,Jasper County,1,2282,35649
602,1087,AL,Macon County,6,5183,33857
603,2240,AK,Southeast Fairbanks Census Area,8,804,6985
604,31159,NE,Seward County,2,1252,17089
605,17043,IL,DuPage County,1,64330,932126
606,28037,MS,Franklin County,9,1554,71221
607,48359,TX,Oldham County,8,261,2102
608,8085,CO,Montrose County,7,6716,40713
609,25011,MA,Franklin County,2,6926,71221
610,46021,SD,Campbell County,9,131,48176
611,18149,IN,Starke County,6,3694,23197
612,53059,WA,Skamania County,1,1543,11274
613,20011,KS,Bourbon County,6,2465,14852
614,13307,GA,Webster County,8,539,8893
615,48449,TX,Titus County,7,4749,32581
616,54097,WV,Upshur County,7,4705,24665
617,19005,IA,Allamakee County,6,1786,14169
618,47095,TN,Lake County,9,2151,63860
619,47163,TN,Sullivan County,3,25304,76665
620,41027,OR,Hood River County,6,2459,22675
621,31155,NE,Saunders County,2,1524,20929
622,38069,ND,Pierce County,7,522,819743
623,21101,KY,Henderson County,2,7739,109540
624,31111,NE,Lincoln County,5,3272,5245
625,20175,KS,Seward County,7,3017,17089
626,26127,MI,Oceana County,8,4630,26245
627,42121,PA,Venango County,4,7507,53907
628,32011,NV,Eureka County,9,189,2076
629,54031,WV,Hardy County,8,2096,13920
630,21137,KY,Lincoln County,7,5499,5245
631,6081,CA,San Mateo County,1,50438,747373
